,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return
4,BCRX,15.022592100569936,"BioCryst Pharmaceuticals, Inc.",16.940000534057617,16.1200008392334,375.56,22.17,357.38,-4.84
6,DAC,3.915015827708549,Danaos Corporation,93.62000274658203,95.12999725341797,97.88,1.05,99.89,2.05
1,GDEN,6.00982911028775,"Golden Entertainment, Inc.",54.779998779296875,53.5099983215332,150.25,2.74,146.62,-2.42
0,LQDA,4.794629800394615,Liquidia Corporation,7.429999828338623,6.21999979019165,119.87,16.13,100.33,-16.3
8,OBE,1.679139650798362,Obsidian Energy Ltd.,8.15999984741211,8.039999961853027,41.98,5.14,41.33,-1.55
9,SBLK,22.48608008228318,Star Bulk Carriers Corp.,29.889999389648438,30.1299991607666,562.15,18.81,566.75,0.82
2,SBOW,1.7681352874948388,"SilverBow Resources, Inc.",30.329999923706055,30.530000686645508,44.2,1.46,44.57,0.84
7,VIST,9.46183628292098,"Vista Oil & Gas, S.A.B. de C.V.",8.65999984741211,8.420000076293945,236.55,27.32,230.03,-2.76
5,VRTV,3.629494907966464,Veritiv Corporation,117.2300033569336,118.63999938964844,90.74,0.77,91.35,0.67
3,WFRD,31.23324694957533,Weatherford International plc,35.0,35.66999816894531,780.83,22.31,795.8,1.92
