rank,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return,rank
6,LQDA,10.0,Liquidia Corporation,6.989999771118164,7.360000133514404,250.0,35.77,263.27,5.31,1.0
4,SBOW,10.0,"SilverBow Resources, Inc.",28.280000686645508,29.770000457763672,250.0,8.84,263.17,5.27,2.0
9,GDEN,10.0,"Golden Entertainment, Inc.",51.150001525878906,53.810001373291016,250.0,4.89,263.13,5.25,3.0
3,WFRD,10.0,Weatherford International plc,32.7599983215332,33.779998779296875,250.0,7.63,257.74,3.1,4.0
8,BCRX,10.0,"BioCryst Pharmaceuticals, Inc.",17.989999771118164,18.450000762939453,250.0,13.9,256.46,2.58,5.0
2,VRTV,10.0,Veritiv Corporation,120.12999725341797,119.75,250.0,2.08,249.08,-0.37,6.0
5,DAC,10.0,Danaos Corporation,93.55000305175781,92.70999908447266,250.0,2.67,247.54,-0.98,7.0
7,VIST,10.0,"Vista Oil & Gas, S.A.B. de C.V.",8.300000190734863,8.170000076293945,250.0,30.12,246.08,-1.57,8.0
1,OBE,10.0,Obsidian Energy Ltd.,8.260000228881836,8.109999656677246,250.0,30.27,245.49,-1.8,9.0
10,SBLK,10.0,Star Bulk Carriers Corp.,30.450000762939453,28.959999084472656,250.0,8.21,237.76,-4.9,10.0
