,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return,rank
9,LSI,9.498979739607789,"Life Storage, Inc.",119.48,131.16,237.47,1.99,261.01,9.91,1.0
2,TRNS,2.418203324601468,"Transcat, Inc.",66.39,73.0,60.46,0.91,66.43,9.87,2.0
10,AFG,1.417952625598753,"American Financial Group, Inc.",125.74,136.34,35.45,0.28,38.18,7.7,3.0
1,LH,10.275354684170196,Laboratory Corporation of America Holdings,302.11,265.49,256.88,0.85,225.67,-12.15,4.0
6,DHR,16.254027818860155,Danaher Corporation,320.22,262.52,406.35,1.27,333.4,-17.95,5.0
7,INTU,14.134023512114059,Intuit Inc.,554.02,439.32,353.35,0.64,281.16,-20.43,6.0
8,CARR,23.805792022664377,Carrier Global Corporation,56.32,43.22,595.14,10.57,456.84,-23.24,7.0
5,NAVI,3.5601096647307027,Navient Corporation,22.12,16.63,89.0,4.02,66.85,-24.89,8.0
3,LCUT,3.985819016480077,"Lifetime Brands, Inc.",18.19,13.1,99.65,5.48,71.79,-27.96,9.0
4,NET,12.184184253828013,"Cloudflare, Inc.",124.02,88.72,304.6,2.46,218.25,-28.35,10.0
0,EPAM,2.465553337344403,"EPAM Systems, Inc.",633.32,200.14,61.64,0.1,20.01,-67.54,11.0
