date,CROX,YETI,portfolio
2021-07-26,1250.0,1250.0,2500.0
2021-07-27,1220.3193749051738,1230.2685526855269,2450.587927590701
2021-07-28,1244.594902139281,1236.1623616236163,2480.7572637628973
2021-07-29,1290.1115157032318,1239.8780237802378,2529.9895394834693
2021-07-30,1287.8356850250343,1234.240467404674,2522.0761524297086
2021-08-02,1295.7062661204673,1250.640631406314,2546.3468975267815
2021-08-03,1299.9734486420878,1282.159696596966,2582.1331452390536
2021-08-04,1331.645425580337,1277.6752767527676,2609.3207023331042
2021-08-05,1345.679714762555,1340.3290282902828,2686.008743052838
2021-08-06,1335.2488241541496,1298.1754817548174,2633.4243059089667
2021-08-09,1334.1109088150508,1298.6879868798687,2632.7988956949193
2021-08-10,1339.9901380670613,1306.2474374743747,2646.237575541436
2021-08-11,1348.4296768320437,1310.0912259122592,2658.520902744303
2021-08-12,1366.2570171445914,1306.8880688806887,2673.14508602528
2021-08-13,1390.058412987407,1306.8880688806887,2696.946481868096
2021-08-16,1388.7308450917917,1309.1943419434194,2697.925187035211
2021-08-17,1315.7146108329541,1252.3062730627305,2568.0208838956846
2021-08-18,1329.4644211803975,1238.2123821238213,2567.676803304219
2021-08-19,1319.6973145197996,1234.7529725297254,2554.4502870495253
2021-08-20,1345.8693673190717,1263.837638376384,2609.7070056954553
2021-08-23,1354.7830374753453,1245.89995899959,2600.682996474935
2021-08-24,1375.5499924138978,1275.8815088150882,2651.4315012289862
2021-08-25,1363.696707631619,1304.0692906929069,2667.7659983245258
2021-08-26,1356.9640418752845,1296.509840098401,2653.4738819736854
2021-08-27,1385.3170990744957,1304.0692906929069,2689.3863897674028
2021-08-30,1388.2567137005008,1301.250512505125,2689.5072262056256
2021-08-31,1354.3089060840541,1272.8064780647808,2627.115384148835
2021-09-01,1359.4295251099986,1282.6722017220172,2642.1017268320156
2021-09-02,1314.0077378243059,1281.5190651906519,2595.5268030149577
2021-09-03,1324.6282809892277,1287.2847478474785,2611.913028836706
2021-09-07,1292.292520103171,1244.3624436244363,2536.6549637276075
2021-09-08,1317.705962676377,1238.0842558425584,2555.7902185189355
2021-09-09,1342.0763161887423,1275.369003690037,2617.4453198787796
2021-09-10,1366.541495979366,1278.4440344403445,2644.9855304197104
2021-09-13,1305.9475041723563,1269.6033210332105,2575.550825205567
2021-09-14,1416.5149446214534,1275.7533825338253,2692.2683271552787
2021-09-15,1457.2902442724928,1298.3036080360803,2755.5938523085733
2021-09-16,1496.5483234714004,1287.669126691267,2784.2174501626673
2021-09-17,1471.5141860112276,1268.8345633456336,2740.348749356861
2021-09-20,1438.7042937338797,1233.3435834358345,2672.0478771697144
