"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",40463.13,33.54,24.97,2.40,6.40,7.38,25.69,38.14,0.64%,19.10%,3.94,71.00%,10.16%,22.90%,14.00%,8.50%,102.30%,11.90%,302.00,301.14,0.20%,-19.47%,90.70%,0.21%,1.42%,2.49,11.70%,24.30%,14.70%,2.20,1.70,0.51,0.51,53.90%,21.30%,19.10%,-5.30%,-17.02%,-14.92%,-13.48%,8.66%,-17.26%,1.04,4.18,3.72%,2.82%,-5.42%,-9.33%,-9.58%,-17.27%,4.40%,-23.67%,21.86%,36.63,3.05%,0.69%,,1713.45,1.27,137.06,3.76%,2174656,11/22/2021 4:30:00 PM,175.32,11/18/1999,137.06,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",11831.16,26.32,8.16,,0.97,2.80,8.15,,0.69%,0.00%,2.21,85.00%,-1.80%,28.00%,,-3.70%,769.80%,31.50%,187.00,185.26,0.10%,-69.87%,77.80%,0.50%,7.96%,1.81,3.00%,12.10%,5.00%,1.50,0.90,0.44,0.44,24.70%,8.10%,3.50%,-5.26%,-1.96%,26.45%,47.40%,213.68%,-2.60%,2.34,3.45,7.74%,5.42%,-4.23%,5.63%,27.62%,-10.83%,32.69%,-10.83%,222.93%,48.04,-1.03%,-0.05%,1.90,8130.64,0.85,57.40,-1.09%,6934056,1/19/2022 4:30:00 PM,65.30,10/18/2016,57.40,0.00%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.41%,-0.56%,-0.25%,-1.92%,-2.67%,-1.87%,,0.16,0.90%,0.73%,-1.72%,-1.03%,-0.99%,-4.31%,1.83%,-6.47%,6.47%,41.45,0.23%,-0.62%,,445.62,1.31,17.77,-0.39%,584853,,,8/15/2018,,
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1214.38,43.37,,,,1.30,1349.31,,,,0.22,,,,,,,,125.00,100.00,,,67.70%,0.07%,0.08%,0.26,,,,1.70,1.70,0.00,0.00,,,,-0.26%,-0.26%,-1.17%,-0.36%,,-0.26%,,0.03,0.27%,0.27%,-0.27%,-0.52%,-0.55%,-1.32%,0.21%,-2.80%,2.32%,40.43,0.21%,-0.15%,,308.54,0.11,9.72,0.05%,32932,,,3/25/2021,,
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",50.51,,,,1.68,1.60,4.24,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.50%,,0.01%,0.01,-17.50%,-49.20%,-48.20%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,-15.85%,31.62%,-32.46%,-51.27%,21.26%,43.86%,1.20,0.26,8.70%,21.30%,-15.83%,-5.26%,-37.81%,-47.28%,55.00%,-92.15%,55.00%,44.92,1.31%,-0.65%,1.50,650.31,0.04,1.55,0.65%,28506,11/10/2021 4:30:00 PM,32.50,1/29/2008,1.52,-1.94%
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",214.72,,,,,222.73,306.74,,,,-0.02,,,,,,,,21.91,17.41,25.41%,0.00%,42.00%,239.29%,0.02%,0.04,,,,4.40,4.40,0.00,0.00,,,,-0.51%,-0.31%,,,,0.10%,,0.03,0.24%,0.30%,0.26%,0.68%,0.68%,-0.50%,5.57%,-0.50%,5.57%,55.52,0.00%,0.61%,,72.32,0.00,9.86,0.61%,3,,,11/10/2021,,
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,226.14,,,,,-0.09,,,,,,,,,,,,87.84%,,,0.01,,,,,,,,,,,-1.11%,-0.36%,0.30%,,,-0.80%,,0.14,0.40%,0.62%,-2.34%,-1.71%,-1.32%,-6.74%,0.20%,-6.74%,0.61%,41.59,0.00%,-1.31%,,60.06,0.01,9.82,-1.31%,308,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,56.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41.70%,-50.35%,,,,-49.96%,,0.05,11.56%,7.00%,-48.65%,-49.82%,-49.82%,-62.66%,-10.63%,-62.66%,-10.63%,23.21,-16.62%,7.11%,,56.39,1.61,0.25,-10.70%,90662,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",402.01,,,,4020.10,1.17,2.49,,,,-11.63,82.30%,52.60%,30.90%,,,-705.00%,,20.89,12.38,0.10%,0.00%,53.00%,-2.50%,5.11%,3.00,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,-5.79%,-22.96%,-31.34%,-41.64%,-1.01%,-23.15%,1.52,1.63,9.31%,7.45%,-18.96%,-22.22%,-31.72%,-45.26%,3.73%,-64.28%,24.31%,32.53,-2.47%,-1.72%,1.60,210.74,0.91,17.79,-4.15%,192025,,48.75,8/8/2017,17.79,0.00%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.05%,-5.50%,-8.42%,-5.44%,-4.67%,-5.93%,,1.05,2.73%,1.22%,-3.18%,-3.20%,-6.33%,-6.97%,5.54%,-12.11%,5.54%,39.11,1.08%,-0.22%,,3.55,0.30,60.96,0.86%,1054,,,7/21/2010,61.01,0.08%
