no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,253305.04,34.09,11.82,8.36,4.59,18.69,20.68,23.59,3.94%,133.00%,4.2,-48.50%,-13.93%,-2.80%,4.08%,14.90%,37.60%,11.20%,1770.0,1765.83,0.10%,-22.68%,68.20%,-0.14%,0.81%,2.04,4.40%,49.90%,12.70%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,3.30%,4.99%,23.86%,25.92%,37.63%,5.76%,0.8,2.81,1.77%,2.10%,4.76%,8.62%,20.96%,-0.28%,24.41%,-0.28%,40.32%,72.46,-0.43%,0.22%,2.0,7023.56,0.85,143.2,-0.22%,5987115,2/2/2022 8:30:00 AM,146.71,12/10/2012,140.65,-1.78%,69.0,87,1.17,143.2,137.01,132.36,118.55,102.05,143.98,11.0,2.45,55.666666666666664,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,30167.55,18.56,12.37,1.79,0.14,123.21,8.52,16.78,1.29%,22.80%,7.7,144.40%,7.22%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.71,0.20%,-47.14%,65.00%,0.03%,1.25%,1.82,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,5.03%,6.15%,14.64%,19.86%,34.49%,7.55%,0.47,3.44,2.73%,2.48%,5.69%,10.28%,16.72%,-0.04%,25.72%,-0.04%,41.91%,70.43,0.31%,0.17%,2.2,1029.47,1.46,142.92,0.48%,1506066,2/2/2022 8:30:00 AM,153.5,4/4/1995,142.92,0.00%,63.0,86,1.15,142.92,135.55,130.05,122.57,100.71,143.56,10.0,7.4,53.0,True
119,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,43211.11,16.16,14.86,2.45,0.51,1.98,39.9,,1.92%,35.50%,4.78,24.80%,0.19%,1.00%,6.60%,-1.00%,130.80%,34.50%,564.0,556.9,0.20%,-24.75%,81.00%,-0.11%,0.84%,1.72,4.50%,11.00%,3.60%,1.6,1.0,0.37,0.41,7.00%,2.30%,2.70%,0.77%,10.51%,19.94%,25.66%,41.90%,14.34%,0.8,1.59,1.57%,2.24%,6.29%,12.98%,20.36%,0.23%,25.05%,0.23%,44.80%,73.1,0.10%,0.67%,1.9,2712.24,1.41,77.28,0.77%,3827348,1/25/2022 8:30:00 AM,73.23,12/24/1924,77.23,-0.06%,72.0,89,1.21,77.28,73.04,68.65,64.29,53.96,77.82,24.0,-5.24,61.666666666666664,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,50544.61,9.79,11.63,0.32,1.06,0.83,18.73,16.63,2.05%,19.90%,6.37,-286.60%,13.25%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-5.64%,93.30%,-0.34%,0.97%,1.64,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,3.59%,1.63%,6.21%,15.40%,47.09%,9.76%,1.33,1.78,2.34%,3.23%,4.75%,8.95%,15.47%,-1.11%,20.74%,-1.11%,51.59%,64.36,-0.70%,0.24%,2.2,4928.22,0.9,62.41,-0.46%,4459262,2/16/2022 4:30:00 PM,65.0,4/3/1972,62.41,0.00%,63.0,91,1.25,62.41,59.61,57.43,54.12,41.17,63.54,15.0,4.15,56.333333333333336,True
360,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,35263.99,13.84,10.78,0.52,2.62,6.51,4.52,168.73,1.42%,47.40%,23.06,-12.30%,15.31%,7.60%,26.39%,-0.40%,859.90%,-3.60%,116.4,111.62,0.30%,-25.84%,85.00%,-0.11%,0.82%,1.44,0.60%,18.70%,5.50%,,,0.88,4.19,47.50%,10.30%,7.90%,1.90%,0.16%,4.57%,17.63%,48.41%,5.80%,1.53,9.22,2.03%,3.17%,2.70%,4.75%,14.96%,-3.97%,14.52%,-3.97%,50.93%,58.95,-0.01%,1.23%,1.8,637.86,1.03,319.16,1.22%,655986,1/26/2022 4:30:00 PM,359.0,9/15/2005,319.18,0.01%,75.0,92,1.26,319.16,310.42,305.2,277.95,212.8,332.37,22.0,12.48,63.0,True
407,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,114999.42,18.93,14.51,1.47,0.83,3.19,20.95,24.21,0.97%,24.10%,24.72,-2.60%,13.23%,13.90%,12.86%,9.00%,602.40%,14.90%,243.4,241.16,0.20%,-0.78%,92.80%,0.29%,0.77%,1.65,4.50%,12.30%,9.10%,,,0.61,0.64,,4.60%,3.10%,5.37%,6.89%,8.81%,27.30%,56.96%,0.96%,1.06,12.11,2.69%,2.75%,4.85%,6.16%,15.98%,-0.43%,19.27%,-0.43%,63.18%,63.03,-0.21%,0.70%,1.9,1133.88,0.84,468.01,0.48%,949631,1/26/2022 8:30:00 AM,491.32,10/30/2001,468.01,0.00%,72.0,94,1.34,468.01,447.09,441.89,403.97,287.4,471.99,18.0,4.98,61.333333333333336,True
686,AXP,American Express Company,Financial,Credit Services,USA,150640.76,19.65,17.29,0.57,3.52,6.32,5.51,18.03,0.88%,20.00%,9.99,-52.90%,17.14%,-5.70%,34.57%,2.20%,73.70%,23.30%,786.0,766.95,0.10%,-38.77%,87.10%,0.05%,1.21%,2.23,3.70%,28.40%,2.10%,,,1.41,4.96,68.60%,21.40%,16.20%,6.65%,13.04%,9.20%,15.08%,53.16%,20.05%,1.15,5.27,2.51%,3.12%,12.41%,16.78%,17.22%,0.96%,31.03%,0.96%,55.78%,76.3,0.40%,0.84%,2.4,4181.75,1.1,196.4,1.24%,4613711,1/25/2022 8:30:00 AM,195.52,4/4/1972,196.74,0.17%,56.0,93,1.31,196.4,175.77,168.95,167.78,126.08,198.7,12.0,-0.45,53.666666666666664,True
713,BAC,Bank of America Corporation,Financial,Banks - Diversified,USA,387857.24,13.84,13.02,0.58,8.14,1.67,0.44,,1.70%,23.90%,3.56,-32.00%,16.11%,7.40%,23.89%,0.80%,69.00%,7.40%,8430.7,8103.31,0.10%,-1.64%,72.90%,0.26%,0.93%,1.48,0.90%,10.50%,7.30%,,,1.11,2.03,,89.10%,54.90%,5.10%,0.72%,5.12%,17.47%,49.42%,10.77%,1.41,1.32,2.34%,2.77%,5.09%,7.61%,14.17%,-1.60%,15.71%,-1.60%,51.40%,65.27,0.22%,-0.43%,2.4,51091.16,0.66,49.28,-0.20%,33836287,1/19/2022 8:30:00 AM,51.61,6/5/1979,49.29,0.02%,56.0,92,1.27,49.28,46.9,45.87,43.21,32.55,50.08,20.0,4.73,56.0,True
916,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,51687.46,16.09,11.06,1.27,17.12,1.38,0.26,,2.14%,31.20%,3.96,-15.10%,20.99%,7.20%,12.65%,4.30%,-2.80%,-15.50%,844.09,823.94,0.10%,0.00%,85.80%,-0.45%,0.86%,1.62,0.70%,8.50%,2.80%,,,0.66,0.66,,93.70%,,4.28%,1.37%,8.67%,16.23%,52.52%,9.61%,1.1,1.72,1.98%,3.23%,4.68%,7.97%,16.49%,-1.35%,17.68%,-1.35%,53.77%,65.78,-0.41%,0.47%,2.1,4341.8,0.77,63.66,0.06%,3345083,1/18/2022 8:30:00 AM,68.62,12/4/1969,63.5,-0.25%,66.0,93,1.3,63.66,60.84,59.1,54.73,41.58,64.53,29.0,7.79,62.666666666666664,True
930,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,28414.52,,16.11,,1.38,1.39,6.56,58.71,2.60%,,-0.36,2200.00%,35.22%,-27.10%,50.90%,5.60%,103.70%,0.90%,851.0,829.2,0.10%,-98.96%,93.30%,0.73%,6.43%,6.2,-0.10%,-0.20%,-70.90%,1.6,1.2,0.4,0.4,19.70%,3.00%,-0.20%,2.90%,6.06%,9.38%,28.54%,20.17%,14.92%,1.52,1.07,3.47%,4.44%,2.20%,8.39%,14.99%,-2.64%,21.46%,-2.64%,47.47%,59.32,0.80%,0.26%,2.0,8604.47,0.85,27.65,1.06%,7297485,1/20/2022 8:30:00 AM,32.14,10/3/1961,27.83,0.65%,69.0,75,1.02,27.65,27.09,25.59,24.08,18.75,28.4,4.0,16.24,49.333333333333336,True
