rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_sp500
58,64.66666666666667,GE,General Electric Company,15.0,2.1,100,12.85,105.82,121.78,15.08,$5.93,$107.36,103.82,60.1,24.28,79.0,True
59,64.66666666666667,CZR,"Caesars Entertainment, Inc.",25.0,1.9,85,1.56,119.49,126.91,6.21,$43.07,$113.46,96.34,94.4,90.26,84.0,True
79,63.5,ALGN,"Align Technology, Inc.",17.0,1.8,87,1.65,662.06,745.36,12.58,$297.44,$735.17,704.12,669.45,588.3,86.5,True
106,62.333333333333336,ULTA,"Ulta Beauty, Inc.",45.0,2.3,68,1.22,368.03,436.65,18.65,$200.50,$414.98,375.25,355.18,321.59,74.0,True
123,61.666666666666664,AMP,"Ameriprise Financial, Inc.",25.0,1.9,76,1.36,268.53,292.5,8.93,$141.82,$277.95,269.8,259.11,233.1,84.0,True
127,61.5,CRL,"Charles River Laboratories International, Inc.",15.0,1.8,83,1.53,416.69,448.0,7.51,$205.97,$450.84,432.14,408.1,322.68,86.5,True
130,61.333333333333336,CBRE,"CBRE Group, Inc.",22.0,2.1,83,1.53,100.45,116.43,15.91,$43.17,$99.24,95.23,91.68,79.52,79.0,True
143,60.833333333333336,TECH,Bio-Techne Corporation,12.0,1.8,84,1.54,493.82,540.67,9.49,$228.67,$521.46,491.66,476.6,402.1,86.5,True
144,60.833333333333336,EPAM,"EPAM Systems, Inc.",21.0,2.0,80,1.46,575.44,653.4,13.55,$305.83,$648.72,625.62,580.64,447.02,81.5,True
149,60.666666666666664,KEYS,"Keysight Technologies, Inc.",22.0,2.1,81,1.48,165.42,179.67,8.61,$90.62,$182.49,173.87,165.31,146.41,79.0,True
153,60.5,MS,Morgan Stanley,12.0,2.0,88,1.68,99.05,104.51,5.51,$45.86,$105.81,103.36,97.26,81.84,81.5,True
161,60.166666666666664,ZBRA,Zebra Technologies Corporation,15.0,2.2,89,1.72,510.98,580.0,13.51,$246.83,$594.77,577.35,556.93,480.45,76.5,True
162,60.166666666666664,RJF,"Raymond James Financial, Inc.",15.0,1.8,79,1.43,94.68,159.0,67.93,$67.66,$143.14,138.3,133.83,120.21,86.5,True
165,60.0,SCHW,The Charles Schwab Corporation,16.0,2.1,85,1.57,74.42,83.83,12.64,$33.79,$76.37,73.33,71.25,64.46,79.0,True
166,60.0,JCI,Johnson Controls International plc,24.0,2.1,77,1.39,69.02,81.25,17.72,$39.80,$76.83,74.13,71.91,60.65,79.0,True
168,60.0,INTU,Intuit Inc.,22.0,1.9,74,1.32,543.97,596.52,9.66,$295.37,$582.96,553.63,531.06,433.19,84.0,True
171,59.833333333333336,HCA,"HCA Healthcare, Inc.",18.0,2.0,80,1.44,247.79,266.62,7.6,$114.38,$261.68,248.74,237.74,196.5,81.5,True
