no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,12385.71,27.55,8.55,,1.02,2.93,8.53,,0.66%,0.00%,2.21,85.00%,-1.80%,28.00%,,-3.70%,769.80%,31.50%,187.0,185.26,0.10%,-51.12%,77.80%,0.50%,7.96%,1.8,3.00%,12.10%,5.00%,1.5,0.9,0.44,0.44,24.70%,8.10%,3.50%,1.88%,1.54%,22.60%,58.91%,225.56%,1.96%,2.34,3.38,7.71%,5.16%,1.35%,12.47%,35.89%,-5.62%,40.43%,-5.62%,251.16%,56.29,-0.90%,0.15%,1.9,8183.1,1.13,60.75,-0.75%,9246974,1/19/2022 4:30:00 PM,65.3,10/18/2016,60.26,-0.81%,72.0,99,2.81,60.75,60.02,54.19,44.85,17.3,64.37,12.0,7.49,61.0,True
377,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,1266.8,11.39,14.94,,5.11,1.57,5.92,21.92,0.17%,0.00%,3.03,-103.50%,13.86%,-16.20%,,4.60%,900.60%,-0.80%,37.13,20.0,0.80%,-10.31%,32.20%,0.82%,1.82%,2.95,0.50%,5.10%,20.10%,,,0.15,0.15,,88.40%,16.40%,4.14%,-0.78%,29.58%,54.55%,138.45%,-0.20%,1.4,1.55,6.73%,4.10%,0.41%,5.94%,34.44%,-6.10%,23.45%,-6.10%,152.99%,55.79,-1.32%,0.00%,1.8,123.54,1.19,34.48,-1.32%,146914,1/20/2022 8:30:00 AM,36.0,8/29/2018,34.48,0.00%,75.0,99,2.04,34.48,34.32,32.64,25.73,14.02,36.72,14.0,4.41,62.666666666666664,True
444,APR,"Apria, Inc.",Healthcare,Medical Instruments & Supplies,USA,1325.06,18.59,20.28,,1.16,56.36,6.12,17.46,,0.00%,2.0,195.30%,8.65%,18.20%,,0.30%,268.70%,3.80%,35.31,34.63,2.00%,-93.41%,89.00%,-12.71%,2.48%,1.52,10.50%,,14.00%,1.2,1.2,15.2,16.55,70.40%,9.30%,6.50%,0.05%,15.74%,7.02%,25.46%,,14.11%,,0.91,0.40%,2.06%,7.44%,16.15%,16.52%,-1.27%,33.38%,-7.00%,85.35%,67.1,-0.11%,0.16%,1.8,564.25,1.09,37.2,0.05%,614215,11/4/2021 4:30:00 PM,38.33,2/11/2021,37.2,0.00%,75.0,94,1.37,37.2,34.91,32.17,31.96,20.07,40.0,11.0,3.04,60.0,True
450,APTS,Preferred Apartment Communities,Real Estate,REIT - Residential,USA,880.81,,,,1.89,0.81,16.13,8.08,4.24%,,-3.06,-154.30%,34.00%,-48.80%,7.00%,35.70%,-15.10%,-12.30%,52.45,51.37,1.90%,-0.03%,52.90%,-0.08%,1.12%,1.02,-3.80%,-11.90%,-2.10%,,,2.24,2.24,73.50%,22.60%,-33.40%,-4.18%,-0.96%,34.67%,60.29%,127.10%,-8.58%,1.23,0.73,4.78%,3.78%,-6.44%,5.27%,34.64%,-14.32%,28.38%,-14.32%,134.52%,45.84,-3.45%,0.41%,2.3,562.37,0.61,16.51,-3.05%,340672,11/8/2021 4:30:00 PM,15.42,4/1/2011,17.0,2.97%,59.0,98,1.93,16.51,17.65,15.74,12.29,7.04,19.27,17.0,-6.6,58.0,True
463,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,5943.28,,5.75,,1.68,1.19,,4.21,,,-3.24,-319.20%,93.35%,-27.40%,,-2.50%,12.20%,40.30%,313.79,273.23,0.30%,-62.80%,78.00%,0.48%,7.55%,3.2,-7.80%,-18.60%,-11.40%,0.3,0.3,0.48,0.48,64.40%,-34.60%,-28.80%,-1.87%,-3.57%,-11.37%,33.16%,143.90%,5.09%,4.2,1.04,7.78%,5.62%,-0.65%,1.65%,18.09%,-12.01%,19.57%,-16.37%,174.07%,50.24,-1.45%,2.36%,2.2,6445.72,1.18,18.39,0.88%,7621429,2/16/2022 4:30:00 PM,27.56,10/10/2013,18.39,0.00%,63.0,99,2.1,18.39,18.49,18.07,15.62,6.71,21.99,17.0,49.86,59.666666666666664,True
473,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,USA,1500.38,94.12,2.4,,0.85,3.54,7.15,,1.04%,0.00%,1.02,-268.30%,114.84%,30.20%,,-10.60%,139.00%,55.50%,15.3,14.99,1.40%,-0.79%,,0.78%,29.24%,8.83,1.80%,10.00%,-41.40%,1.5,1.1,1.01,1.35,18.80%,3.10%,1.80%,-4.80%,4.10%,-1.06%,49.80%,99.56%,4.92%,0.92,4.95,6.82%,5.17%,1.86%,9.27%,30.55%,-8.49%,30.28%,-9.25%,145.55%,56.07,-0.69%,2.26%,2.0,496.39,1.03,95.81,1.55%,513730,10/26/2021 8:30:00 AM,126.83,10/5/2016,95.81,0.00%,69.0,97,1.72,95.81,94.25,87.89,73.65,39.02,105.58,7.0,32.38,57.666666666666664,True
584,ATLC,Atlanticus Holdings Corporation,Financial,Credit Services,USA,1020.74,10.05,7.25,0.5,2.07,3.77,6.11,,,0.00%,6.53,138.40%,6.31%,100.30%,20.00%,29.70%,14.10%,31.50%,15.12,5.74,7.70%,-10.05%,18.80%,11.77%,5.27%,2.84,10.10%,79.20%,9.50%,,,3.8,3.8,75.30%,38.20%,27.10%,2.18%,-8.29%,-8.66%,48.69%,172.54%,-8.02%,1.52,4.19,7.23%,6.57%,-3.27%,0.02%,25.15%,-22.72%,21.55%,-28.68%,177.97%,48.32,-1.56%,2.73%,2.0,106.66,0.62,65.6,1.13%,66161,,98.0,4/23/1999,65.6,0.00%,69.0,99,2.35,65.6,67.56,65.33,52.6,23.6,91.98,19.0,49.39,62.333333333333336,True
876,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,Healthcare,Biotechnology,USA,8702.04,,,,28.29,,16.72,,,,-13.76,-19.70%,52.40%,,,,19.70%,666.70%,65.39,56.09,6.20%,-3.26%,92.80%,0.08%,7.84%,6.76,-94.40%,202.60%,-198.10%,2.0,1.9,,,78.60%,,,9.60%,-8.13%,-10.85%,-1.01%,44.11%,-8.51%,1.11,6.91,7.35%,5.38%,-0.20%,5.49%,10.92%,-10.90%,28.63%,-16.78%,101.50%,53.37,7.16%,1.13%,1.8,650.49,1.94,126.08,8.37%,1259944,11/9/2021 8:30:00 AM,154.91,5/4/2017,126.08,0.00%,75.0,90,1.26,126.08,125.76,119.6,113.94,62.57,151.51,8.0,22.87,57.666666666666664,True
1186,BY,"Byline Bancorp, Inc.",Financial,Banks - Regional,USA,1040.63,12.18,15.91,1.22,4.26,1.26,6.15,7.41,1.31%,10.40%,2.26,-35.30%,-29.07%,30.70%,10.00%,23.50%,96.20%,7.90%,37.2,22.59,0.70%,-7.09%,44.20%,0.48%,1.42%,2.93,1.30%,10.90%,19.90%,,,0.14,0.14,,94.60%,35.70%,-1.92%,-0.07%,8.69%,19.80%,87.28%,0.66%,1.31,0.9,4.65%,2.85%,-1.84%,0.42%,11.74%,-5.56%,9.42%,-5.56%,88.69%,47.76,-1.50%,0.07%,2.4,109.48,0.56,27.53,-1.43%,60985,1/27/2022 4:30:00 PM,30.2,6/30/2017,27.53,0.00%,56.0,97,1.61,27.53,28.05,27.42,24.67,14.59,29.15,17.0,9.7,56.666666666666664,True
1279,CCB,Coastal Financial Corporation,Financial,Banks - Regional,USA,590.84,24.88,25.65,,7.82,3.64,0.87,26.03,,0.00%,1.96,14.60%,-10.06%,36.30%,,20.50%,59.80%,19.50%,12.0,9.61,2.90%,0.00%,55.70%,0.48%,1.95%,3.81,1.20%,16.20%,17.40%,,,0.17,0.0,,93.60%,32.20%,-1.87%,-5.66%,39.71%,64.55%,141.45%,-3.46%,1.25,2.41,6.44%,4.37%,-4.05%,2.33%,38.99%,-10.18%,24.92%,-10.18%,149.21%,46.96,-2.61%,1.99%,1.7,49.2,1.14,48.87,-0.67%,56305,,63.38,7/18/2018,48.87,0.00%,78.0,99,2.02,48.87,50.83,47.86,35.27,19.61,54.41,3.0,29.69,60.0,True
