no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,30423.34,19.13,12.73,1.85,0.14,126.98,8.59,16.92,1.25%,22.80%,7.7,144.40%,7.22%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-43.57%,65.90%,1.40%,1.30%,1.82,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,3.79%,8.25%,27.20%,17.86%,40.51%,10.84%,0.45,3.4,2.25%,2.22%,4.41%,8.09%,18.63%,1.08%,16.34%,1.08%,44.64%,69.49,2.65%,-1.35%,1064.59,1.0,147.3,1.26%,1059441.0,2/2/2022 8:30:00 AM,153.92,4/4/1995,147.53,0.16%,63.0,91,1.22,147.3,141.55,136.67,124.31,105.57,147.5,12.0,4.49,55.333333333333336,True
211,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,4016.04,11.14,13.7,3.71,4.9,0.66,33.47,,1.66%,16.10%,5.41,25.00%,18.97%,-4.40%,3.00%,-13.60%,106.20%,-8.90%,69.3,62.4,3.50%,-5.93%,97.20%,-4.46%,3.03%,3.95,2.30%,6.10%,5.80%,,,0.27,0.27,,63.80%,47.40%,-5.23%,10.62%,22.16%,25.20%,38.10%,20.14%,1.09,2.14,3.53%,3.10%,3.64%,10.54%,19.47%,-5.74%,30.17%,-5.74%,46.74%,58.03,1.41%,-2.19%,478.78,0.88,60.31,-0.81%,419763.0,2/24/2022 4:30:00 PM,62.67,4/23/2004,60.31,0.00%,78.0,90,1.21,60.31,58.5,54.81,50.55,41.1,63.98,36.0,3.91,68.0,True
407,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,113177.97,19.29,14.79,1.5,0.82,3.2,23.19,18.33,0.95%,18.10%,24.72,37.60%,13.23%,21.80%,12.86%,10.30%,111.10%,15.20%,242.3,239.89,0.20%,-1.30%,92.30%,-0.99%,0.92%,2.01,6.30%,17.40%,11.70%,,,0.59,0.64,,6.30%,4.40%,5.10%,7.36%,19.29%,24.52%,42.94%,2.87%,1.04,12.54,2.96%,2.63%,5.32%,5.77%,16.71%,1.02%,13.34%,1.02%,51.32%,65.71,3.45%,-1.72%,1092.8,1.13,476.84,1.67%,1234598.0,1/26/2022 8:30:00 AM,490.38,10/30/2001,477.29,0.09%,72.0,92,1.25,476.84,453.99,451.42,408.98,329.75,477.47,20.0,2.84,61.333333333333336,True
584,ATI,Allegheny Technologies Incorporated,Industrials,Metal Fabrication,USA,3333.88,,17.57,,1.19,4.84,4.85,,,,-0.34,97.60%,56.11%,45.00%,-4.50%,-2.20%,97.40%,16.30%,127.4,126.48,1.10%,0.00%,,-0.63%,14.76%,8.01,-0.90%,-7.00%,4.10%,2.7,1.5,2.5,2.69,11.90%,4.70%,-1.40%,2.32%,18.30%,78.67%,44.48%,28.58%,63.53%,1.38,1.13,4.76%,4.40%,7.56%,26.50%,36.09%,-3.34%,71.55%,-3.34%,88.09%,72.53,0.81%,-1.22%,2329.21,0.82,26.05,-0.42%,1913018.0,2/2/2022 8:30:00 AM,28.25,5/2/1966,26.05,0.00%,63.0,86,1.11,26.05,24.4,20.8,19.16,13.85,26.95,12.0,8.45,53.666666666666664,True
788,BCOR,"Blucora, Inc.",Financial,Asset Management,USA,968.44,134.29,7.64,8.95,1.09,2.82,7.18,148.99,,0.00%,0.15,102.20%,14.38%,39.00%,15.00%,14.20%,54.00%,14.90%,48.84,47.33,1.90%,8.50%,96.10%,3.53%,2.94%,3.47,0.70%,2.20%,4.40%,1.8,1.8,1.62,1.62,45.80%,3.50%,0.90%,1.33%,18.56%,21.93%,20.44%,20.29%,13.97%,1.58,0.75,3.40%,4.32%,5.85%,12.38%,16.86%,-4.17%,30.73%,-4.17%,38.92%,65.49,-0.25%,-1.00%,400.02,0.9,19.74,-1.25%,360361.0,2/16/2022 8:30:00 AM,23.67,12/15/1998,19.74,0.00%,69.0,80,1.04,19.74,18.82,17.61,16.91,14.21,20.6,15.0,19.91,54.666666666666664,True
1073,BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers,USA,19221.84,33.06,26.8,2.5,6.3,4.51,21.36,24.32,0.60%,18.30%,2.07,22.70%,9.10%,17.90%,13.22%,11.60%,4.90%,15.00%,276.58,233.61,2.20%,0.06%,75.70%,2.30%,2.38%,3.35,6.10%,14.30%,10.30%,1.2,1.2,0.47,0.48,,26.80%,18.80%,1.21%,0.48%,3.86%,16.48%,48.59%,-2.66%,0.74,1.9,2.21%,2.56%,2.05%,2.01%,13.35%,-3.31%,11.60%,-3.31%,53.59%,56.71,1.21%,-0.76%,1659.43,0.65,68.41,0.44%,1074840.0,1/24/2022 4:30:00 PM,71.12,11/1/1982,68.15,-0.38%,53.0,93,1.31,68.41,67.12,67.1,60.43,44.54,70.75,16.0,3.96,54.0,True
1277,CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,USA,4112.11,42.61,11.12,3.59,1.13,5.14,22.97,,2.06%,81.90%,1.69,199.60%,11.62%,13.30%,11.86%,7.20%,-252.90%,29.80%,56.8,56.15,1.10%,-4.49%,92.40%,-0.53%,2.65%,3.45,3.10%,11.30%,15.60%,1.2,0.8,0.9,1.65,22.30%,7.00%,2.70%,-2.94%,13.21%,34.42%,33.97%,41.57%,27.92%,1.46,2.33,2.57%,3.07%,1.83%,14.97%,25.57%,-3.98%,37.33%,-3.98%,51.06%,60.94,1.01%,-2.06%,432.13,0.89,71.89,-1.07%,385683.0,1/31/2022 4:30:00 PM,77.33,8/23/1968,71.89,0.00%,69.0,91,1.23,71.89,71.09,62.9,57.3,47.59,74.87,10.0,7.57,56.666666666666664,True
1571,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,49415.07,37.92,13.64,3.55,0.39,1.9,3.68,17.26,,0.00%,2.27,-0.60%,16.53%,16.60%,10.69%,37.30%,2.30%,11.40%,583.24,576.13,1.90%,-1.39%,95.50%,0.89%,1.24%,2.02,1.00%,2.80%,4.70%,,,0.7,0.71,,1.20%,0.60%,3.03%,9.17%,20.48%,33.18%,42.18%,4.43%,0.51,2.33,2.70%,2.76%,3.71%,6.12%,18.51%,-0.88%,15.56%,-0.88%,46.79%,63.32,3.67%,-2.10%,3539.33,0.68,86.05,1.50%,2403015.0,2/8/2022 8:30:00 AM,95.33,12/13/2001,86.05,0.00%,69.0,91,1.24,86.05,83.2,81.15,72.69,59.33,86.81,19.0,10.78,59.666666666666664,True
1605,CNXC,Concentrix Corporation,Technology,Information Technology Services,USA,10486.98,25.06,14.25,1.61,1.88,3.79,57.62,28.72,0.52%,0.00%,7.69,141.20%,11.77%,,15.60%,28.60%,88.80%,12.70%,51.56,43.26,0.60%,-13.83%,85.30%,0.88%,1.33%,2.16,7.90%,15.80%,12.30%,1.6,1.6,0.31,0.31,35.30%,10.20%,7.20%,-2.93%,-4.98%,13.32%,8.70%,57.66%,7.91%,,7.39,4.22%,3.33%,-3.58%,3.17%,11.68%,-7.55%,24.99%,-7.55%,63.44%,47.77,-3.54%,-0.32%,266.24,0.95,192.74,-3.85%,253265.0,1/18/2022 4:30:00 PM,215.67,11/24/2020,192.74,0.00%,100.0,93,1.3,192.74,199.54,187.24,172.81,122.37,208.48,15.0,11.9,69.33333333333333,True
1643,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA,3749.92,3.01,6.8,,1.13,1.1,4.19,1.45,,0.00%,16.46,418.00%,30.02%,35.50%,-8.54%,261.20%,4.90%,-33.80%,74.56,72.3,1.80%,-7.47%,87.40%,-3.52%,5.27%,3.96,6.80%,44.00%,13.70%,,,2.28,2.72,,49.90%,42.70%,-3.00%,29.73%,21.76%,24.04%,48.60%,19.03%,1.5,1.69,2.84%,3.62%,4.44%,12.45%,24.02%,-5.37%,32.19%,-5.37%,62.23%,59.05,-0.74%,-1.83%,962.28,0.97,49.53,-2.56%,932357.0,2/11/2022 8:30:00 AM,59.14,3/28/2012,49.53,0.00%,66.0,94,1.32,49.53,47.99,44.23,40.02,30.53,52.34,18.0,19.4,59.333333333333336,True
