rank,my_score,ticker,company,sentiment_score,analyst_recom,rs_rating,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,in_sp1500
2,79.16666666666667,OPCH,"Option Care Health, Inc.",57.0,91.5,89,1.77,27.0,32.0,18.52,$10.52,$28.21,24.55,22.51,19.37,True
3,75.83333333333333,VRTV,Veritiv Corporation,22.0,106.5,99,4.6,133.3,160.0,20.03,$12.30,$98.16,86.28,71.84,45.3,True
8,73.16666666666667,DAR,Darling Ingredients Inc.,41.0,91.5,87,1.63,73.26,98.75,34.79,$31.45,$79.65,74.93,70.76,67.52,True
9,72.83333333333333,ONTO,Onto Innovation Inc.,40.0,86.5,92,1.94,92.65,105.0,13.33,$28.08,$79.45,72.55,70.74,62.91,True
12,71.5,LQDT,"Liquidity Services, Inc.",13.0,106.5,95,2.39,26.31,32.5,23.53,$6.63,$30.00,23.96,22.51,19.78,True
14,70.83333333333333,CEIX,CONSOL Energy Inc.,32.0,81.5,99,4.24,23.94,29.33,22.51,$3.66,$26.14,22.63,20.75,13.12,True
15,70.83333333333333,RWT,"Redwood Trust, Inc.",46.0,91.5,75,1.35,13.89,15.41,10.94,$7.01,$12.71,12.38,12.09,10.41,True
18,69.83333333333333,PRFT,"Perficient, Inc.",24.0,91.5,94,2.16,139.49,149.83,7.41,$37.42,$121.97,110.3,96.08,68.97,True
20,69.16666666666667,DVN,Devon Energy Corporation,26.0,86.5,95,2.32,45.09,49.97,10.82,$7.73,$31.99,28.18,27.48,22.9,True
27,68.66666666666667,UTHR,United Therapeutics Corporation,39.0,84.0,83,1.53,200.18,235.33,17.56,$98.37,$216.90,206.58,194.71,177.03,True
28,68.5,OLN,Olin Corporation,21.0,86.5,98,3.2,60.04,72.69,21.07,$11.12,$52.01,47.73,45.91,37.39,True
30,68.33333333333333,ASIX,AdvanSix Inc.,18.0,94.0,93,2.1,48.17,58.0,20.41,$11.62,$38.15,36.0,33.11,27.94,True
31,68.16666666666667,OPRX,OptimizeRx Corporation,21.0,86.5,97,2.7,69.22,103.0,48.8,$17.01,$73.88,63.68,59.32,48.75,True
