no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
18,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,14463.66,23.28,17.58,1.39,1.32,4.52,23.92,21.97,1.74%,25.10%,9.88,4.40%,10.26%,2.20%,16.70%,0.70%,25.90%,3.10%,62.85,62.08,0.20%,-4.77%,,,5.60%,5.74,5.50%,19.10%,11.80%,1.2,0.3,0.32,0.0,45.10%,8.00%,5.90%,1.21%,-0.03%,15.12%,16.25%,50.86%,46.04%,1.26,6.22,3.48%,2.45%,1.62%,4.54%,15.12%,-3.33%,14.46%,-3.33%,64.13%,57.06,1.32%,0.81%,2.2,606.14,1.24,234.95,2.14%,754343,11/15/2021 4:30:00 PM,254.38,11/29/2001,234.95,0.00%,63.0,82,1.21,234.95,231.56,225.07,204.44,143.15,243.05,17.0,8.27,54.0,True
255,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,34926.72,36.16,28.34,2.68,4.4,4.12,12.77,34.8,1.15%,39.30%,4.63,19.40%,7.91%,15.30%,13.50%,5.40%,18.30%,15.60%,207.0,205.46,0.30%,-5.85%,85.10%,-0.37%,0.86%,1.81,3.70%,12.70%,9.80%,1.3,1.3,0.6,0.65,36.50%,15.20%,11.80%,1.60%,4.15%,16.54%,16.28%,44.33%,35.36%,0.69,3.62,2.64%,1.97%,3.34%,5.49%,17.61%,0.17%,14.19%,0.17%,50.27%,63.28,0.55%,0.78%,2.3,969.33,0.93,169.68,1.33%,897484,10/28/2021 4:30:00 PM,178.58,6/20/1984,169.68,0.00%,59.0,79,1.15,169.68,164.64,161.19,144.5,112.92,171.18,13.0,5.25,50.333333333333336,True
273,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,30219.98,131.5,42.37,4.41,9.12,5.11,50.79,,0.63%,80.70%,1.89,-29.90%,46.14%,5.40%,29.83%,2.10%,-465.10%,11.20%,116.97,116.5,0.10%,-38.85%,83.00%,-2.37%,1.80%,1.73,2.00%,3.90%,5.60%,1.3,0.8,0.36,0.36,31.00%,27.80%,6.40%,-9.91%,-8.85%,4.09%,41.21%,78.52%,68.48%,1.59,11.55,5.81%,3.94%,-3.96%,4.54%,31.57%,-10.96%,23.30%,-10.96%,93.94%,48.64,2.48%,1.90%,2.4,1213.44,0.72,259.53,4.42%,876440,11/3/2021 4:30:00 PM,262.9,2/22/1994,260.0,0.18%,56.0,90,1.42,259.53,269.29,249.01,197.78,133.82,291.48,21.0,1.3,55.666666666666664,True
351,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,33486.71,15.84,11.92,0.63,2.6,5.99,4.29,265.77,1.54%,22.90%,18.54,-12.30%,10.68%,7.60%,25.18%,-0.40%,859.90%,-3.60%,116.4,111.63,0.30%,-18.73%,85.10%,-1.95%,2.07%,4.51,1.30%,39.30%,6.00%,,,0.88,4.19,42.30%,22.20%,17.40%,-0.02%,-4.26%,8.82%,11.27%,49.60%,51.10%,1.61,7.93,3.40%,2.30%,0.52%,3.03%,15.37%,-3.38%,14.72%,-3.38%,64.95%,54.54,1.01%,1.68%,1.9,513.96,0.89,301.58,2.70%,459756,10/26/2021 4:30:00 PM,338.22,9/15/2005,301.58,0.00%,72.0,84,1.24,301.58,299.75,293.2,261.77,182.83,312.15,26.0,12.15,60.666666666666664,True
384,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,38022.92,49.41,35.32,2.7,13.72,9.68,11.23,41.58,,0.00%,2.46,-24.90%,24.11%,36.70%,18.27%,22.60%,32.20%,23.70%,307.46,225.41,0.10%,-88.81%,65.90%,0.96%,1.70%,1.84,15.50%,21.90%,17.90%,5.1,4.4,0.0,0.0,63.90%,30.80%,28.30%,-3.91%,-7.11%,35.37%,37.18%,80.15%,67.46%,1.17,4.62,3.47%,2.88%,-1.31%,14.19%,38.53%,-5.83%,48.29%,-5.83%,92.78%,58.47,2.04%,1.75%,2.3,2084.5,0.84,126.31,3.83%,1760886,11/1/2021 4:30:00 PM,127.24,6/6/2014,127.0,0.55%,59.0,90,1.41,126.31,127.73,111.35,91.45,65.52,134.14,16.0,0.74,55.0,True
412,APA,APA Corporation,Energy,Oil & Gas E&P,USA,9610.77,16.3,5.12,,1.39,,25.49,3.35,0.39%,6.30%,1.59,-36.40%,24.29%,14.80%,,-7.40%,,83.80%,379.0,362.24,0.28%,-1.88%,89.10%,0.43%,3.49%,1.24,4.60%,-48.50%,-60.50%,1.2,0.9,,,64.30%,27.50%,8.70%,-3.65%,-11.11%,32.36%,11.71%,70.29%,82.17%,4.75,1.54,6.25%,5.01%,-2.93%,2.09%,25.40%,-13.65%,30.98%,-13.65%,92.55%,50.2,1.89%,2.09%,2.4,10239.3,0.76,26.89,4.02%,7791927,11/3/2021 4:30:00 PM,33.95,8/2/1963,26.87,-0.07%,56.0,91,1.44,26.89,27.51,26.41,21.48,13.97,31.14,16.0,26.26,54.333333333333336,True
685,AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,USA,39536.19,19.55,17.03,1.4,2.7,,33.75,13.65,,0.00%,96.17,32.30%,11.72%,18.50%,14.00%,6.60%,16.70%,8.10%,21.12,20.89,0.10%,-62.77%,93.50%,0.03%,2.12%,2.62,15.10%,-142.00%,63.10%,0.9,0.2,,,52.80%,20.10%,14.80%,2.25%,3.92%,23.18%,34.95%,61.70%,58.59%,0.85,37.27,2.44%,1.89%,8.55%,13.00%,30.06%,4.23%,23.82%,4.23%,86.36%,74.16,5.70%,1.83%,2.2,168.38,1.66,2023.57,7.64%,279707,12/7/2021 8:30:00 AM,1866.71,4/2/1991,2022.0,-0.08%,63.0,91,1.46,2023.57,1874.25,1797.38,1560.03,1085.85,2028.62,16.0,-7.75,56.666666666666664,True
1213,CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,USA,47881.32,22.38,23.43,1.39,2.39,7.03,17.93,61.78,0.86%,18.70%,2.5,-7.80%,7.97%,,16.06%,,-37.50%,6.80%,867.6,866.02,0.07%,-24.15%,88.20%,1.90%,0.75%,1.6,8.80%,33.70%,13.60%,1.9,1.5,1.39,1.4,29.60%,17.10%,11.10%,-0.23%,5.44%,-0.66%,20.47%,48.14%,48.06%,,1.39,3.16%,2.32%,2.13%,5.15%,15.63%,-2.29%,13.44%,-3.82%,65.57%,57.84,0.89%,0.52%,2.1,4038.8,0.9,56.64,1.41%,3651591,10/28/2021 8:30:00 AM,59.35,3/19/2020,56.64,0.00%,66.0,82,1.2,56.64,55.62,53.95,49.08,34.21,58.89,17.0,4.78,55.0,True
1289,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,USA,50921.3,71.43,49.75,3.92,17.12,18.4,50.23,54.19,,0.00%,2.48,-40.10%,13.37%,21.20%,18.20%,9.50%,9.80%,12.60%,273.19,272.86,0.60%,-18.78%,88.30%,0.23%,0.98%,2.26,17.00%,27.20%,21.20%,1.7,1.6,0.13,0.0,89.60%,25.80%,23.30%,-5.08%,-1.31%,7.41%,41.52%,49.75%,29.89%,1.08,6.26,4.63%,3.01%,0.54%,8.07%,23.99%,-3.85%,25.32%,-3.85%,60.61%,54.39,0.60%,2.52%,2.3,1180.64,1.29,182.77,3.14%,1524106,10/25/2021 4:30:00 PM,175.42,6/10/1987,182.99,0.12%,59.0,83,1.22,182.77,181.97,169.61,147.65,113.8,190.09,19.0,-4.02,53.666666666666664,True
1293,CDW,CDW Corporation,Technology,Information Technology Services,USA,26649.5,27.32,22.81,2.09,1.32,31.87,108.73,29.69,1.03%,22.20%,7.12,9.20%,9.09%,18.30%,13.10%,7.30%,43.30%,11.40%,137.3,133.3,0.20%,-29.87%,94.30%,-1.52%,1.11%,1.99,11.10%,93.00%,18.50%,1.4,1.2,4.82,4.86,17.20%,7.20%,5.00%,-0.22%,5.07%,-3.41%,16.76%,45.60%,47.49%,1.09,5.43,3.82%,2.65%,3.11%,5.81%,10.57%,-1.16%,15.08%,-2.75%,57.99%,58.35,0.92%,1.04%,2.1,743.64,0.72,198.21,1.97%,537397,11/3/2021 8:30:00 AM,206.12,6/27/2013,198.8,0.30%,66.0,81,1.18,198.21,192.87,187.44,179.47,125.46,203.82,17.0,3.99,54.666666666666664,True
1970,DHR,Danaher Corporation,Healthcare,Diagnostics & Research,USA,221489.73,39.56,30.28,1.77,7.89,5.46,86.79,34.96,0.27%,9.70%,7.76,49.80%,3.13%,14.60%,22.30%,9.10%,32.10%,22.90%,715.1,634.98,0.20%,-48.48%,81.10%,0.15%,0.82%,2.17,7.30%,14.90%,6.60%,1.5,1.1,0.59,0.59,60.40%,24.60%,20.40%,-6.01%,0.30%,-7.00%,27.77%,36.75%,38.16%,0.71,8.69,3.25%,2.56%,0.70%,1.94%,12.96%,-5.53%,10.92%,-6.17%,48.35%,51.31,-0.05%,2.16%,1.9,2395.29,0.9,313.35,2.10%,2153643,10/21/2021 8:30:00 AM,348.08,12/10/1969,313.35,0.00%,72.0,76,1.11,313.35,311.78,307.33,277.84,211.22,333.96,16.0,11.08,54.666666666666664,True
2061,DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,USA,24390.17,26.18,20.62,1.69,3.17,6.29,33.0,32.22,1.18%,30.30%,6.49,1.90%,9.48%,4.70%,15.49%,-0.80%,31.50%,15.40%,143.98,142.65,0.30%,-4.79%,85.40%,-1.50%,1.03%,2.09,9.90%,26.00%,12.00%,1.6,1.1,0.79,0.0,37.90%,16.20%,12.30%,-1.05%,-1.25%,-1.61%,11.82%,37.60%,34.65%,1.38,3.72,3.10%,1.99%,-0.06%,2.95%,10.41%,-3.40%,11.72%,-3.40%,48.65%,53.68,0.15%,1.18%,2.3,700.97,0.97,172.25,1.33%,676939,10/19/2021 8:30:00 AM,186.08,12/3/1956,172.25,0.00%,59.0,77,1.12,172.25,172.29,167.53,156.25,115.88,178.32,21.0,8.03,52.333333333333336,True
2074,DRE,Duke Realty Corporation,Real Estate,REIT - Industrial,USA,23171.32,25.06,77.24,4.18,20.92,3.87,2340.54,,1.68%,41.90%,2.43,-31.60%,-64.05%,8.50%,6.00%,4.60%,575.70%,7.00%,379.22,374.26,0.10%,-2.55%,98.40%,-1.23%,1.62%,4.02,9.60%,16.90%,4.60%,,,0.57,0.57,69.40%,92.40%,82.80%,2.25%,7.71%,14.70%,24.19%,57.65%,52.09%,0.62,1.21,2.57%,1.87%,5.01%,11.38%,25.36%,0.59%,29.54%,0.59%,63.25%,72.62,0.56%,0.44%,2.1,1510.27,1.06,61.4,1.00%,1598165,10/27/2021 4:30:00 PM,62.88,2/6/1986,62.0,0.98%,66.0,85,1.26,61.4,58.7,55.39,49.08,37.61,61.96,14.0,2.41,55.0,True
2139,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,28554.03,24.5,8.0,0.98,3.2,3.18,12.3,10.38,1.04%,26.40%,1.73,3266.70%,56.85%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.72,0.30%,-2.93%,91.80%,3.77%,2.69%,1.52,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,-3.55%,0.00%,47.74%,40.27%,160.82%,175.83%,3.08,2.2,6.11%,4.60%,5.73%,10.53%,53.01%,-0.97%,33.02%,-0.97%,223.92%,60.29,4.64%,1.79%,1.8,11375.73,1.12,45.12,6.52%,12767761,11/2/2021 4:30:00 PM,50.44,3/17/1992,45.12,0.00%,75.0,98,2.23,45.12,42.72,41.03,29.93,14.34,45.56,23.0,11.79,65.33333333333333,True
2273,EFX,Equifax Inc.,Industrials,Consulting Services,USA,35457.79,49.08,32.09,3.47,7.4,9.72,17.51,57.94,0.55%,26.80%,5.75,228.40%,15.67%,3.60%,14.15%,9.20%,-10.60%,14.50%,121.9,121.51,0.10%,-29.85%,93.10%,0.35%,1.87%,3.26,7.10%,21.00%,6.90%,1.5,1.5,1.4,1.55,59.60%,22.00%,14.80%,-0.67%,-0.85%,2.90%,22.82%,69.46%,46.31%,1.43,7.22,3.55%,2.45%,2.92%,7.00%,21.65%,-0.15%,21.55%,-0.15%,80.31%,58.54,2.14%,1.28%,2.3,698.91,1.55,291.86,3.44%,1080967,10/20/2021 4:30:00 PM,296.94,5/11/1971,291.86,0.00%,59.0,84,1.25,291.86,283.84,273.34,240.52,161.87,292.31,14.0,1.74,52.333333333333336,True
2304,EL,The Estee Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,USA,122708.66,41.39,39.97,2.81,7.2,20.34,30.72,72.39,0.62%,25.30%,8.25,318.10%,14.54%,21.40%,14.71%,7.60%,32.10%,23.30%,362.2,230.0,0.20%,-80.77%,90.70%,-0.82%,0.96%,1.79,14.60%,52.70%,18.60%,1.8,1.3,0.87,0.91,76.10%,16.70%,17.80%,0.44%,0.53%,1.18%,13.84%,39.91%,28.31%,1.01,9.2,3.21%,2.27%,2.83%,7.37%,12.22%,-1.17%,17.97%,-1.17%,52.45%,60.39,1.64%,1.87%,2.1,1231.44,1.05,353.64,3.54%,1288958,11/2/2021 8:30:00 AM,372.23,11/17/1995,353.64,0.00%,66.0,77,1.12,353.64,344.13,330.05,315.45,231.97,357.82,16.0,5.26,53.0,True
2367,ENPH,"Enphase Energy, Inc.",Technology,Solar,USA,31097.76,185.97,70.67,4.28,25.2,44.27,22.31,106.83,,0.00%,1.15,-22.90%,31.34%,31.30%,43.50%,16.70%,-44.40%,96.90%,134.72,126.42,1.10%,-17.92%,73.60%,1.45%,3.53%,1.91,8.60%,27.10%,24.70%,4.5,4.3,1.45,1.58,41.60%,14.70%,13.40%,-17.05%,-12.23%,26.20%,53.03%,63.22%,21.35%,1.33,14.75,7.86%,5.87%,-9.36%,6.98%,29.70%,-21.21%,55.15%,-21.21%,104.41%,45.21,-0.86%,5.42%,2.1,2328.42,0.83,222.56,4.52%,1938124,10/26/2021 4:30:00 PM,263.36,3/30/2012,223.2,0.29%,66.0,87,1.3,222.56,244.58,209.39,171.86,108.88,282.46,25.0,18.33,59.333333333333336,True
2388,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,51576.1,16.93,8.75,0.24,3.32,2.34,12.01,10.22,1.88%,31.00%,5.17,-122.20%,16.15%,33.90%,71.22%,4.80%,,105.70%,583.65,581.86,0.30%,2.06%,88.30%,-0.71%,1.36%,1.75,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,-0.93%,-3.66%,29.41%,1.48%,67.33%,77.83%,2.01,3.49,4.20%,3.29%,0.15%,0.78%,15.77%,-7.78%,13.33%,-7.78%,90.27%,52.76,1.75%,1.63%,2.1,4502.66,1.05,90.56,3.41%,4723520,11/4/2021 4:30:00 PM,111.36,10/4/1989,90.56,0.00%,66.0,89,1.37,90.56,90.1,90.04,78.82,48.2,98.2,13.0,22.97,56.0,True
2483,ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,67770.66,32.96,22.93,1.79,3.47,4.24,102.68,113.71,1.79%,58.00%,5.15,-33.60%,12.77%,-3.70%,18.45%,-3.10%,41.20%,8.80%,398.9,397.81,0.10%,-35.95%,82.90%,-0.32%,0.71%,1.8,6.00%,13.50%,6.80%,1.3,0.8,0.53,0.57,32.10%,15.20%,10.60%,1.46%,-1.25%,3.74%,15.44%,42.93%,41.36%,1.19,3.88,3.02%,1.90%,0.22%,4.31%,11.70%,-2.92%,15.77%,-2.92%,49.92%,55.88,-0.92%,1.38%,2.1,1568.9,1.19,170.59,0.45%,1861705,11/2/2021 8:30:00 AM,180.2,7/1/1923,170.59,0.00%,66.0,78,1.14,170.59,170.06,163.85,152.93,113.79,175.72,18.0,5.63,54.0,True
2614,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,19688.12,56.17,6.28,0.99,3.55,1.71,43.08,6.85,1.48%,82.70%,1.93,229.60%,52.95%,-27.70%,56.96%,44.50%,150.50%,165.30%,181.03,180.26,0.10%,-28.64%,88.80%,-2.31%,2.64%,1.64,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,-1.55%,-4.02%,44.44%,20.74%,129.20%,123.62%,2.54,5.76,5.87%,4.73%,6.49%,7.37%,32.80%,-1.80%,26.29%,-1.80%,175.21%,59.32,4.92%,1.79%,1.8,2896.34,1.01,115.59,6.80%,2936221,11/1/2021 4:30:00 PM,132.62,10/12/2012,115.55,-0.03%,75.0,97,1.98,115.59,108.54,108.05,87.26,42.0,117.71,24.0,14.73,65.33333333333333,True
3455,HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,USA,434049.01,27.8,25.61,1.92,2.94,419.9,85.66,82.91,1.59%,43.00%,14.95,16.50%,4.97%,16.90%,14.50%,8.30%,23.20%,9.80%,1049.0,1043.6,0.10%,-11.28%,72.20%,-0.70%,0.89%,2.83,22.20%,782.10%,34.90%,1.1,0.4,35.47,37.82,33.70%,15.10%,10.80%,2.18%,11.69%,26.37%,33.71%,57.47%,56.50%,0.99,8.58,2.42%,2.06%,5.47%,12.91%,26.89%,-1.05%,28.39%,-1.05%,68.77%,73.51,-0.20%,0.31%,2.1,3297.57,1.24,416.18,0.12%,4096829,11/16/2021 8:30:00 AM,402.97,9/22/1981,417.0,0.20%,66.0,85,1.26,416.18,396.98,370.08,328.72,246.59,420.61,22.0,-3.17,57.666666666666664,True
3976,INTU,Intuit Inc.,Technology,Software - Application,USA,189555.73,85.33,47.29,4.9,18.37,18.1,58.32,72.49,0.37%,30.80%,7.56,9.20%,16.59%,20.00%,17.40%,15.50%,10.20%,51.70%,273.0,265.44,0.20%,-14.62%,83.20%,-1.07%,0.68%,1.3,13.80%,21.80%,16.90%,2.1,2.1,0.21,0.0,82.10%,24.10%,20.30%,-7.10%,3.14%,15.14%,38.71%,75.08%,69.89%,1.05,23.32,3.57%,3.03%,3.96%,11.94%,34.49%,-6.08%,29.73%,-6.08%,88.36%,57.62,2.83%,1.46%,1.9,1390.81,1.15,673.3,4.33%,1594046,11/18/2021 4:30:00 PM,742.37,3/12/1993,673.35,0.01%,72.0,91,1.43,673.3,650.58,603.62,502.01,357.45,716.86,17.0,10.26,60.0,True
