no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,261147.67,34.93,11.96,8.52,4.73,19.16,21.32,24.32,3.84%,133.00%,4.2,11.50%,-13.34%,21.91%,4.10%,17.00%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.58%,69.70%,1.97%,0.91%,2.11,4.40%,49.90%,19.60%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,1.38%,11.05%,26.90%,22.63%,35.03%,8.39%,0.78,3.0,2.15%,2.07%,4.19%,7.67%,22.54%,-0.31%,18.63%,-0.31%,43.81%,71.51,0.45%,0.37%,7671.47,1.21,146.76,0.82%,9268268,2/2/2022 8:30:00 AM,149.45,12/10/2012,146.57,-0.13%,69.0,92,1.25,146.76,141.55,136.73,119.91,102.05,148.35,12.0,1.83,57.666666666666664,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29294.28,18.11,12.05,1.75,0.13,120.23,8.27,16.3,1.32%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-44.93%,65.70%,1.02%,1.13%,1.56,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,-1.42%,6.02%,15.15%,18.19%,32.58%,4.95%,0.46,3.11,1.82%,2.39%,0.61%,4.24%,13.04%,-3.29%,15.26%,-3.29%,38.49%,54.88,-1.25%,0.48%,1087.21,1.01,139.47,-0.78%,1095184,2/2/2022 8:30:00 AM,153.92,4/4/1995,139.47,0.00%,63.0,91,1.23,139.47,139.04,134.12,123.46,100.71,144.22,13.0,10.36,55.666666666666664,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,50806.81,9.66,10.09,0.31,1.07,0.78,23.12,9.78,2.08%,11.60%,6.37,257.40%,14.68%,77.40%,30.69%,-0.30%,478.80%,45.60%,833.65,829.46,0.10%,-1.74%,91.40%,-2.44%,0.98%,1.59,1.60%,14.50%,11.70%,,,0.46,0.46,,28.10%,19.60%,1.92%,7.10%,8.08%,13.21%,35.46%,8.23%,1.3,1.92,2.84%,3.28%,2.47%,5.10%,12.73%,-3.15%,18.69%,-3.15%,41.05%,57.17,-0.95%,0.84%,5135.25,0.99,61.54,-0.11%,5102256,2/16/2022 4:30:00 PM,65.62,4/3/1972,61.01,-0.86%,63.0,92,1.26,61.54,60.22,58.7,54.64,43.63,63.54,14.0,6.63,56.333333333333336,True
690,AXP,American Express Company,Financial,Credit Services,USA,144091.38,18.91,16.64,0.55,3.36,6.54,6.76,12.37,0.91%,17.20%,9.99,166.10%,17.14%,12.30%,34.57%,3.50%,24.50%,28.80%,768.0,758.29,0.10%,-39.00%,87.00%,-2.10%,1.33%,2.35,4.20%,32.80%,5.50%,,,1.74,5.65,68.60%,25.00%,18.50%,-4.56%,18.89%,10.56%,17.21%,35.07%,15.50%,1.11,5.14,2.00%,2.89%,0.72%,8.26%,11.57%,-5.31%,23.62%,-5.31%,41.23%,55.39,-2.78%,0.99%,4291.3,0.83,188.95,-1.81%,3561019,1/25/2022 8:30:00 AM,196.6,4/4/1972,188.5,-0.24%,56.0,92,1.25,188.95,188.4,174.97,169.51,133.79,199.55,13.0,4.05,53.666666666666664,True
935,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,30176.27,,16.84,,1.47,1.57,6.17,32.59,2.48%,,-0.36,98.20%,35.61%,46.90%,50.90%,15.80%,-56.50%,-0.20%,899.0,818.52,0.10%,-98.95%,88.90%,4.85%,8.21%,7.65,-0.60%,-1.30%,2.90%,1.7,1.2,0.4,0.41,19.70%,7.00%,-1.10%,0.90%,7.31%,28.26%,30.91%,15.51%,20.74%,1.47,1.18,3.57%,4.24%,4.13%,10.35%,19.22%,-3.50%,27.61%,-3.50%,54.93%,60.33,1.47%,0.10%,8775.18,0.82,29.05,1.57%,7211690,1/20/2022 8:30:00 AM,32.41,10/3/1961,29.05,0.00%,69.0,80,1.07,29.05,27.95,26.4,24.39,18.75,30.11,2.0,11.57,50.333333333333336,True
1375,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,16610.53,17.55,12.55,0.28,2.54,5.45,21.94,28.2,1.61%,56.60%,4.25,-33.80%,-51.56%,-13.10%,62.70%,-0.90%,-557.70%,60.80%,214.9,213.64,0.40%,-36.09%,92.20%,-2.28%,2.07%,1.34,3.80%,15.00%,8.90%,1.8,1.4,1.18,1.18,36.50%,13.60%,7.00%,3.13%,8.95%,14.57%,65.11%,53.22%,5.23%,1.02,4.08,5.89%,5.92%,2.31%,6.58%,29.40%,-3.61%,24.42%,-3.61%,72.47%,55.16,0.50%,0.38%,3299.75,1.04,74.48,0.88%,3429171,2/15/2022 4:30:00 PM,76.79,8/11/2005,74.3,-0.24%,66.0,96,1.42,74.48,72.95,70.15,57.66,43.19,77.27,14.0,3.1,58.666666666666664,True
1576,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,47902.13,35.85,12.87,3.35,0.38,1.79,3.57,16.73,,0.00%,2.27,-0.60%,16.82%,16.60%,10.69%,37.30%,2.30%,11.40%,583.24,576.76,1.90%,-1.36%,95.30%,0.74%,1.04%,1.63,1.00%,2.80%,4.70%,,,0.7,0.71,,1.20%,0.60%,-3.25%,4.93%,9.81%,25.97%,37.07%,-1.27%,0.52,2.17,1.96%,2.74%,0.60%,0.59%,12.77%,-6.29%,9.25%,-6.29%,40.07%,50.6,-0.72%,0.75%,3675.7,0.48,81.35,0.02%,1769232,2/8/2022 8:30:00 AM,96.16,12/13/2001,81.52,0.21%,69.0,93,1.27,81.35,81.11,80.93,72.2,58.08,86.81,19.0,18.21,60.333333333333336,True
1649,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,118357.02,14.54,11.33,8.19,2.58,2.56,21.62,12.71,1.72%,32.50%,6.07,342.80%,-13.67%,32.60%,1.78%,13.70%,376.60%,175.40%,1318.95,1317.17,0.10%,-19.84%,78.80%,-1.93%,1.30%,2.08,9.30%,18.30%,10.80%,1.3,1.2,0.41,0.44,48.20%,25.10%,17.60%,-1.62%,6.28%,23.07%,59.67%,61.83%,22.24%,1.43,3.25,3.29%,3.52%,-2.56%,7.32%,30.43%,-7.06%,33.93%,-7.06%,84.90%,50.45,0.26%,0.19%,8196.32,0.9,88.23,0.46%,7347170,2/3/2022 8:30:00 AM,102.29,1/13/1978,88.3,0.08%,75.0,97,1.5,88.23,90.6,82.56,67.94,47.85,94.93,10.0,15.94,60.666666666666664,True
1792,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,19050.3,26.56,6.79,0.36,11.33,3.99,249.68,63.86,1.94%,47.80%,0.87,-69.30%,16.97%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.27%,94.50%,69.70%,3.55%,3.48,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,1.27%,18.84%,10.73%,63.03%,24.82%,22.16%,-0.21,0.91,3.63%,3.95%,3.39%,9.36%,23.52%,-4.84%,26.21%,-4.84%,67.82%,58.52,1.98%,0.89%,8143.82,1.15,23.21,2.88%,9347754,2/23/2022 4:30:00 PM,27.56,2/8/1990,23.5,1.25%,59.0,85,1.12,23.21,22.59,21.27,19.14,14.28,24.39,30.0,18.74,58.0,True
1840,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,261669.79,16.67,14.66,,1.68,1.91,43.38,,3.95%,279.00%,8.13,-291.90%,-11.93%,-26.20%,-4.90%,-6.10%,,77.30%,1918.01,1897.83,0.04%,-62.87%,67.60%,0.35%,1.22%,1.84,1.50%,2.70%,-2.10%,1.3,1.0,0.27,0.27,42.70%,2.80%,2.30%,0.96%,6.58%,19.00%,38.54%,31.21%,15.51%,1.15,3.51,2.49%,2.59%,0.59%,7.05%,22.23%,-2.79%,22.41%,-2.79%,45.97%,57.5,2.11%,0.26%,12603.22,1.28,135.55,2.38%,16127162,1/28/2022 8:30:00 AM,141.26,6/24/1921,135.48,-0.06%,63.0,90,1.22,135.55,134.91,126.97,111.03,92.86,139.44,10.0,4.21,54.333333333333336,True
