no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
17,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,14269.61,23.7,17.88,1.42,1.3,4.6,23.6,21.67,1.71%,25.10%,9.88,4.40%,10.47%,2.20%,16.70%,0.70%,25.90%,3.10%,62.85,62.08,0.10%,-2.41%,,-1.70%,4.89%,4.9,5.50%,19.10%,11.80%,1.2,0.3,0.32,0.0,45.10%,8.00%,5.90%,1.78%,-1.82%,16.38%,16.67%,48.50%,48.64%,1.26,6.06,2.35%,2.48%,1.69%,3.71%,14.32%,-3.15%,14.55%,-3.15%,64.44%,55.38,0.52%,0.02%,2.2,620.64,1.25,235.39,0.54%,773132,11/15/2021 4:30:00 PM,254.06,11/29/2001,235.39,0.00%,63.0,82,1.17,235.39,231.53,226.99,205.91,143.15,243.05,16.0,7.93,53.666666666666664,True
23,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2485.13,5.04,6.65,0.5,0.65,0.95,,3.37,,0.00%,17.07,218.90%,-26.13%,115.40%,10.00%,12.00%,40.70%,25.50%,29.02,27.16,0.40%,-19.51%,,1.17%,13.77%,6.77,8.20%,20.50%,7.80%,0.8,0.8,0.64,0.9,57.00%,16.90%,13.20%,-1.19%,0.86%,14.30%,17.64%,55.91%,57.88%,1.11,2.75,2.39%,2.91%,-1.61%,2.82%,19.41%,-7.99%,13.98%,-7.99%,74.05%,51.19,2.10%,-0.58%,2.0,552.51,1.1,87.41,1.51%,605857,11/3/2021 8:30:00 AM,105.57,7/21/2004,87.45,0.05%,69.0,87,1.24,87.41,88.91,85.04,73.21,50.22,95.0,26.0,20.78,60.666666666666664,True
78,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,2107.75,28.03,17.65,1.4,3.64,4.16,7.77,21.4,,0.00%,2.26,190.80%,34.27%,24.70%,20.00%,9.50%,155.80%,60.10%,33.54,32.68,2.50%,-6.25%,89.40%,0.83%,2.23%,2.07,11.80%,15.70%,9.80%,4.2,2.7,0.09,0.09,43.20%,16.40%,13.40%,-0.06%,3.73%,28.80%,52.10%,123.59%,117.75%,1.49,3.32,5.38%,4.80%,-0.77%,10.96%,38.74%,-9.05%,40.61%,-9.05%,126.44%,53.21,1.26%,-1.15%,1.8,351.79,1.02,63.47,0.09%,359208,11/3/2021 4:30:00 PM,78.33,7/11/2000,63.47,0.00%,75.0,96,1.76,63.47,63.97,57.2,45.75,28.03,69.79,20.0,23.41,63.666666666666664,True
79,ACM,AECOM,Industrials,Engineering & Construction,USA,10443.07,37.31,19.02,2.04,0.78,3.9,8.5,18.37,,0.00%,1.97,83.70%,15.42%,26.20%,18.29%,-5.20%,-87.10%,-6.00%,143.81,140.52,0.20%,-17.23%,88.50%,-0.90%,1.70%,2.6,1.40%,6.20%,11.00%,1.1,1.1,0.8,0.82,6.00%,4.70%,1.30%,2.34%,3.98%,13.96%,15.79%,52.50%,47.57%,1.48,1.93,1.87%,2.60%,1.33%,6.20%,12.27%,-3.51%,18.38%,-3.51%,57.22%,57.13,0.15%,-0.39%,1.6,915.33,0.84,73.28,-0.25%,772368,11/15/2021 8:30:00 AM,84.44,5/10/2007,73.28,0.00%,81.0,86,1.22,73.28,72.31,69.0,65.27,46.61,75.94,19.0,15.23,62.0,True
81,ACN,Accenture plc,Technology,Information Technology Services,Ireland,242839.97,41.26,33.61,3.85,4.81,12.25,29.71,39.41,0.93%,37.80%,9.15,16.00%,10.93%,7.30%,10.72%,7.70%,10.30%,23.80%,633.52,633.22,0.10%,-9.19%,73.90%,0.08%,0.56%,1.69,14.40%,31.50%,29.90%,1.3,1.3,0.0,0.0,32.40%,15.10%,11.70%,4.28%,3.14%,10.86%,31.98%,53.65%,44.60%,1.13,7.12,1.43%,1.87%,0.75%,3.87%,17.77%,-3.00%,17.00%,-3.00%,52.95%,53.75,-1.24%,-0.88%,2.1,2114.74,1.16,369.73,-2.12%,2446871,12/16/2021 8:30:00 AM,383.96,7/19/2001,371.05,0.36%,66.0,84,1.19,369.73,366.59,355.81,313.91,241.73,379.93,27.0,3.85,59.0,True
131,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,1003.88,658.06,31.15,286.12,1.86,2.73,12.85,,1.76%,997.50%,0.03,104.40%,151.92%,-33.00%,2.30%,-3.30%,-289.50%,3.80%,48.61,48.2,1.30%,0.34%,92.20%,-0.87%,3.14%,4.44,0.30%,0.50%,-0.30%,2.6,1.7,0.0,0.0,40.40%,-2.00%,0.30%,-0.78%,-1.78%,5.43%,-4.81%,44.99%,38.12%,1.31,0.82,3.51%,3.90%,-1.50%,4.51%,4.79%,-8.32%,18.88%,-16.32%,49.39%,51.32,2.12%,-0.54%,1.9,340.42,1.6,20.72,1.57%,545172,11/1/2021 4:30:00 PM,26.67,8/10/1994,20.72,0.00%,72.0,80,1.13,20.72,21.05,19.83,19.77,14.2,24.76,24.0,28.72,58.666666666666664,True
170,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA,11535.5,8.36,13.98,3.19,1.57,2.22,4.07,80.67,1.63%,7.30%,16.4,-16.70%,-6.04%,15.80%,2.62%,4.30%,158.50%,10.60%,84.8,66.68,0.20%,-33.12%,65.30%,-2.23%,1.01%,2.07,4.50%,38.40%,9.20%,,,0.37,0.37,,25.40%,31.70%,0.74%,0.00%,15.66%,21.49%,96.18%,92.64%,0.96,3.31,1.48%,2.28%,-0.14%,3.61%,19.79%,-5.03%,15.30%,-5.03%,115.00%,53.92,0.33%,0.56%,2.3,327.12,0.84,138.28,0.90%,275931,11/2/2021 4:30:00 PM,160.33,11/14/1978,138.28,0.00%,59.0,87,1.25,138.28,138.54,137.88,128.91,79.21,146.63,19.0,15.95,55.0,True
252,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,34594.23,36.45,28.43,2.7,4.36,4.15,12.65,34.47,1.14%,39.30%,4.63,19.40%,8.73%,15.30%,13.50%,5.40%,18.30%,15.60%,207.0,205.46,0.30%,-5.85%,85.10%,-0.39%,0.86%,1.87,3.70%,12.70%,9.80%,1.3,1.3,0.6,0.65,36.50%,15.20%,11.80%,0.81%,3.76%,16.42%,16.79%,40.75%,36.46%,0.69,3.15,1.44%,1.93%,0.47%,2.43%,14.56%,-2.66%,11.80%,-2.66%,47.56%,53.31,-1.14%,-0.16%,2.3,951.84,1.35,166.62,-1.30%,1283408,10/28/2021 4:30:00 PM,178.58,6/20/1984,166.62,0.00%,59.0,76,1.07,166.62,165.74,162.62,145.43,112.92,171.18,13.0,7.18,49.333333333333336,True
334,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,161053.73,41.42,40.18,1.17,10.84,22.76,44.64,54.34,,0.00%,3.23,604.70%,26.38%,34.80%,35.32%,19.60%,133.20%,54.00%,1214.0,1202.52,0.50%,-17.62%,70.50%,1.04%,5.96%,1.36,38.90%,59.90%,40.90%,2.2,1.7,0.0,0.04,46.80%,19.90%,26.70%,-3.78%,-8.36%,26.55%,66.27%,45.99%,45.89%,1.91,7.71,4.29%,4.83%,-8.98%,2.31%,34.91%,-17.55%,35.84%,-17.55%,87.03%,43.76,2.99%,-1.60%,2.3,52505.48,0.96,135.6,1.35%,50319015,10/26/2021 4:30:00 PM,141.5,10/15/1979,135.68,0.06%,59.0,78,1.11,135.6,149.06,132.58,100.52,72.5,164.46,16.0,4.35,51.0,True
345,AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,USA,5105.36,23.6,17.68,1.22,1.57,4.97,37.27,23.41,,0.00%,4.59,-38.10%,-13.35%,-2.40%,19.35%,10.30%,181.60%,59.10%,47.74,46.88,0.30%,-16.23%,96.60%,-0.08%,2.06%,1.94,8.50%,23.70%,7.60%,1.4,1.4,0.81,0.81,33.30%,10.40%,6.80%,-2.51%,-0.05%,-3.48%,12.06%,59.80%,58.89%,0.26,4.87,2.86%,3.62%,-2.90%,1.32%,13.38%,-11.49%,18.17%,-11.49%,65.37%,48.61,2.20%,-0.47%,1.7,498.47,0.76,110.3,1.72%,377467,11/4/2021 4:30:00 PM,133.33,11/13/2001,111.2,0.82%,78.0,88,1.27,110.3,113.69,108.9,97.29,66.7,124.62,17.0,20.88,61.0,True
