rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_sp1500
1,77.5,OPCH,"Option Care Health, Inc.",57.0,1.6,84,1.56,24.82,27.81,12.05,$11.40,$28.21,26.14,23.26,19.85,91.5,True
3,74.16666666666667,BNED,"Barnes & Noble Education, Inc.",43.0,2.0,98,3.18,10.15,11.5,13.3,$2.10,$11.40,9.6,8.69,7.53,81.5,True
5,73.33333333333333,GDEN,"Golden Entertainment, Inc.",35.0,1.7,96,2.62,49.26,61.5,24.85,$12.25,$54.86,46.74,46.38,34.03,89.0,True
6,72.83333333333333,ONTO,Onto Innovation Inc.,40.0,1.8,92,1.97,73.06,90.2,23.46,$28.25,$79.99,76.28,72.07,64.88,86.5,True
7,72.33333333333333,SGH,"SMART Global Holdings, Inc.",51.0,1.7,77,1.41,45.28,69.0,52.39,$23.60,$58.39,48.22,47.42,45.47,89.0,True
10,71.83333333333333,LQDT,"Liquidity Services, Inc.",13.0,1.0,96,2.53,21.68,32.5,49.91,$6.63,$30.00,24.2,22.62,20.49,106.5,True
11,71.5,RWT,"Redwood Trust, Inc.",48.0,1.6,75,1.37,13.16,14.04,6.69,$7.11,$12.75,12.5,12.21,10.61,91.5,True
13,70.83333333333333,PDCE,"PDC Energy, Inc.",29.0,1.8,97,3.0,43.38,60.06,38.45,$10.60,$49.92,42.24,40.26,35.53,86.5,True
17,69.83333333333333,FANG,"Diamondback Energy, Inc.",30.0,1.8,93,2.14,98.86,112.32,13.62,$23.63,$102.53,77.3,76.81,73.39,86.5,True
19,69.5,OLN,Olin Corporation,25.0,1.8,97,2.89,49.31,62.25,26.24,$11.51,$52.01,48.42,46.53,38.81,86.5,True
20,69.33333333333333,UTHR,United Therapeutics Corporation,39.0,1.7,80,1.48,185.9,231.89,24.74,$98.37,$216.90,207.55,199.51,181.14,89.0,True
24,68.66666666666667,ASIX,AdvanSix Inc.,18.0,1.5,94,2.24,42.13,44.5,5.63,$11.73,$38.39,36.58,34.58,28.85,94.0,True
30,67.5,KFY,Korn Ferry,15.0,1.4,91,1.91,74.85,97.75,30.59,$27.93,$76.50,72.16,69.29,61.7,96.5,True
31,67.33333333333333,CLH,"Clean Harbors, Inc.",41.0,1.9,77,1.41,107.41,114.5,6.6,$52.22,$105.51,101.17,98.66,89.32,84.0,True
36,67.0,IIPR,"Innovative Industrial Properties, Inc.",34.0,1.9,83,1.54,234.18,257.0,9.74,$112.25,$253.61,240.05,227.96,195.71,84.0,True
39,66.5,PGNY,"Progyny, Inc.",15.0,1.4,88,1.7,57.21,65.5,14.49,$23.56,$66.61,57.67,54.04,51.47,96.5,True
42,66.33333333333333,CASH,"Meta Financial Group, Inc.",17.0,1.7,93,2.04,54.21,63.0,16.21,$18.16,$54.65,49.96,49.38,46.14,89.0,True
46,66.0,SSTK,"Shutterstock, Inc.",22.0,1.7,87,1.66,116.29,126.0,8.35,$50.19,$120.13,114.66,108.04,90.38,89.0,True
47,66.0,CUBI,"Customers Bancorp, Inc.",22.0,2.1,97,2.75,43.5,49.13,12.94,$10.41,$43.86,39.26,38.52,32.21,79.0,True
49,65.66666666666667,TPX,"Tempur Sealy International, Inc.",30.0,2.1,88,1.72,46.53,53.33,14.61,$20.68,$49.88,46.61,43.57,36.77,79.0,True
53,65.16666666666667,JLL,Jones Lang LaSalle Incorporated,23.0,2.0,91,1.93,258.02,310.0,20.15,$90.86,$253.93,240.85,231.48,190.29,81.5,True
57,65.0,MMSI,"Merit Medical Systems, Inc.",39.0,1.9,72,1.32,72.52,76.22,5.1,$39.45,$73.85,71.63,67.99,61.45,84.0,True
58,65.0,GE,General Electric Company,16.0,2.1,100,11.92,105.82,121.78,15.08,$6.00,$107.36,103.58,60.01,24.26,79.0,True
64,64.66666666666667,AMN,"AMN Healthcare Services, Inc.",20.0,1.7,85,1.59,114.94,121.56,5.76,$52.61,$117.17,112.55,106.45,86.69,89.0,True
65,64.66666666666667,GPI,"Group 1 Automotive, Inc.",23.0,1.9,87,1.66,188.31,251.4,33.5,$82.35,$195.58,167.95,167.44,156.03,84.0,True
66,64.66666666666667,CROX,"Crocs, Inc.",19.0,2.1,96,2.69,141.13,157.7,11.74,$40.66,$161.28,145.92,138.9,99.34,79.0,True
72,64.33333333333333,THC,Tenet Healthcare Corporation,19.0,2.1,95,2.48,68.82,84.53,22.83,$21.34,$76.16,72.24,70.36,56.7,79.0,True
73,64.16666666666667,ACLS,"Axcelis Technologies, Inc.",20.0,1.8,86,1.64,47.81,57.17,19.58,$21.27,$52.80,49.25,43.75,39.5,86.5,True
74,64.16666666666667,NSA,National Storage Affiliates Trust,42.0,2.2,74,1.35,52.84,58.3,10.33,$31.82,$59.34,57.12,55.31,44.54,76.5,True
76,64.16666666666667,GNRC,Generac Holdings Inc.,11.0,1.6,90,1.85,404.95,497.0,22.73,$173.80,$466.92,439.47,427.68,339.67,91.5,True
79,64.0,CZR,"Caesars Entertainment, Inc.",28.0,1.9,80,1.48,119.49,126.91,6.21,$43.07,$113.46,104.37,95.68,91.89,84.0,True
81,63.833333333333336,ALGN,"Align Technology, Inc.",17.0,1.8,88,1.71,662.06,745.36,12.58,$297.44,$735.17,714.97,686.07,598.35,86.5,True
83,63.666666666666664,BOOT,"Boot Barn Holdings, Inc.",16.0,2.1,96,2.52,90.64,100.0,10.33,$25.91,$94.46,87.62,85.57,69.43,79.0,True
84,63.666666666666664,RCII,"Rent-A-Center, Inc.",14.0,1.5,83,1.54,56.53,75.25,33.12,$28.26,$67.76,62.34,59.76,54.27,94.0,True
93,63.333333333333336,DECK,Deckers Outdoor Corporation,17.0,1.5,79,1.46,365.47,486.5,33.12,$209.90,$451.49,421.19,417.72,350.81,94.0,True
95,63.333333333333336,TRGP,Targa Resources Corp.,11.0,1.9,95,2.46,50.77,53.43,5.24,$13.08,$49.20,44.65,43.4,36.53,84.0,True
97,63.166666666666664,ISBC,"Investors Bancorp, Inc.",24.0,2.0,84,1.56,15.44,16.45,6.54,$6.74,$15.71,14.04,13.81,13.34,81.5,True
98,63.166666666666664,JYNT,The Joint Corp.,14.0,2.2,99,4.54,95.92,124.6,29.9,$16.03,$111.06,102.83,94.01,60.24,76.5,True
99,63.166666666666664,DKS,"DICK'S Sporting Goods, Inc.",22.0,2.2,91,1.86,121.72,152.33,25.15,$50.88,$147.39,132.74,113.41,84.53,76.5,True
101,63.0,ULTA,"Ulta Beauty, Inc.",45.0,2.3,70,1.28,368.03,436.65,18.65,$200.50,$414.98,379.92,362.02,326.83,74.0,True
102,63.0,NVEE,"NV5 Global, Inc.",25.0,1.9,80,1.48,101.11,124.57,23.2,$48.63,$109.39,102.97,98.89,92.99,84.0,True
105,62.833333333333336,AMKR,"Amkor Technology, Inc.",17.0,2.0,90,1.81,25.1,28.5,13.55,$10.71,$29.50,27.59,25.84,21.93,81.5,True
107,62.833333333333336,BYD,Boyd Gaming Corporation,20.0,2.0,87,1.67,66.4,80.5,21.23,$27.20,$71.00,61.02,58.78,57.28,81.5,True
110,62.666666666666664,KSS,Kohl's Corporation,22.0,2.3,92,1.98,48.56,67.14,38.26,$18.28,$64.80,54.79,53.25,52.37,74.0,True
111,62.666666666666664,WD,"Walker & Dunlop, Inc.",10.0,1.7,89,1.76,116.24,134.0,15.28,$47.04,$115.52,109.38,104.17,99.87,89.0,True
115,62.5,AA,Alcoa Corporation,14.0,2.2,97,3.03,49.77,54.12,8.74,$10.98,$51.89,46.72,42.24,33.22,76.5,True
116,62.5,OMCL,"Omnicell, Inc.",20.0,2.0,86,1.65,153.26,166.8,8.83,$69.02,$162.86,158.0,153.72,137.86,81.5,True
119,62.5,HCA,"HCA Healthcare, Inc.",20.0,2.0,86,1.65,247.79,266.62,7.6,$114.38,$263.92,254.67,247.62,202.43,81.5,True
120,62.5,NAVI,Navient Corporation,17.0,2.2,94,2.27,19.12,21.35,11.66,$7.42,$23.80,22.94,21.67,16.03,76.5,True
122,62.5,CMTL,Comtech Telecommunications Corp.,26.0,1.8,75,1.37,26.16,30.0,14.68,$12.96,$30.40,25.36,25.06,24.34,86.5,True
123,62.333333333333336,SCSC,"ScanSource, Inc.",13.0,1.3,75,1.37,36.04,39.33,9.13,$18.46,$38.49,35.5,30.7,29.34,99.0,True
124,62.333333333333336,WIRE,Encore Wire Corporation,13.0,1.5,80,1.47,95.05,112.5,18.36,$45.34,$93.55,85.77,81.84,72.48,94.0,True
125,62.333333333333336,ROIC,Retail Opportunity Investments Corp.,39.0,2.3,74,1.35,17.99,19.35,7.56,$9.63,$18.86,17.65,17.48,16.33,74.0,True
126,62.166666666666664,VRTS,"Virtus Investment Partners, Inc.",17.0,2.0,88,1.73,314.8,400.0,27.06,$131.92,$326.96,314.23,297.82,262.01,81.5,True
127,62.166666666666664,KLIC,"Kulicke and Soffa Industries, Inc.",16.0,2.2,94,2.23,58.67,78.8,34.31,$21.86,$75.29,70.09,63.43,51.07,76.5,True
128,62.0,PACW,PacWest Bancorp,10.0,1.9,92,2.02,46.7,49.95,6.96,$15.62,$46.75,42.18,41.1,37.98,84.0,True
130,62.0,TTGT,"TechTarget, Inc.",23.0,2.1,84,1.58,83.12,99.13,19.26,$40.27,$101.12,80.07,77.21,72.27,79.0,True
131,61.666666666666664,PXD,Pioneer Natural Resources Company,29.0,1.9,72,1.31,174.68,207.44,18.75,$76.58,$175.37,150.42,147.08,144.51,84.0,True
133,61.5,ENVA,"Enova International, Inc.",22.0,2.0,81,1.5,35.9,43.25,20.47,$15.13,$41.06,32.52,32.25,31.79,81.5,True
138,61.333333333333336,BLDR,"Builders FirstSource, Inc.",16.0,1.5,74,1.34,52.96,67.71,27.85,$29.26,$55.17,53.3,49.21,45.09,94.0,True
139,61.333333333333336,MXL,"MaxLinear, Inc.",17.0,2.1,88,1.69,50.12,55.0,9.74,$21.86,$54.92,51.3,46.74,38.35,79.0,True
141,61.333333333333336,CBRE,"CBRE Group, Inc.",21.0,2.1,84,1.57,100.45,116.43,15.91,$43.17,$99.73,96.5,93.64,81.06,79.0,True
144,61.166666666666664,TECH,Bio-Techne Corporation,12.0,1.8,85,1.62,493.82,540.67,9.49,$228.67,$540.00,513.38,488.87,412.11,86.5,True
145,61.166666666666664,CRL,"Charles River Laboratories International, Inc.",14.0,1.8,83,1.55,416.69,448.0,7.51,$205.97,$450.84,441.06,418.83,331.94,86.5,True
147,61.166666666666664,STAA,STAAR Surgical Company,11.0,2.0,91,1.94,127.79,147.0,15.03,$52.66,$163.08,147.13,139.9,119.86,81.5,True
151,60.833333333333336,AMAT,"Applied Materials, Inc.",12.0,2.0,89,1.79,129.13,162.47,25.82,$56.65,$146.00,136.66,135.56,122.74,81.5,True
154,60.5,COP,ConocoPhillips,16.0,1.8,79,1.44,70.1,74.95,6.92,$27.53,$63.57,57.02,56.15,52.18,86.5,True
156,60.5,EPAM,"EPAM Systems, Inc.",21.0,2.0,79,1.45,575.44,653.4,13.55,$305.83,$648.72,625.22,598.13,460.31,81.5,True
158,60.5,GCO,Genesco Inc.,14.0,2.2,91,1.9,59.9,69.0,15.19,$17.54,$67.26,60.19,58.99,50.06,76.5,True
160,60.333333333333336,MRO,Marathon Oil Corporation,14.0,2.3,93,2.14,14.24,15.96,12.08,$3.73,$14.33,11.73,11.66,10.75,74.0,True
164,60.166666666666664,MS,Morgan Stanley,13.0,2.0,86,1.64,99.05,104.51,5.51,$45.86,$105.81,103.09,99.9,84.26,81.5,True
165,60.166666666666664,LPX,Louisiana-Pacific Corporation,27.0,2.4,82,1.52,62.56,74.44,18.99,$27.01,$76.35,62.25,58.45,54.13,71.5,True
168,59.833333333333336,JBL,Jabil Inc.,17.0,1.8,76,1.38,59.4,74.0,24.58,$31.41,$63.78,61.61,59.61,52.07,86.5,True
171,59.5,BSIG,BrightSphere Investment Group Inc.,18.0,2.2,84,1.56,26.12,28.75,10.07,$12.35,$27.68,26.93,25.94,22.32,76.5,True
172,59.5,ACHC,"Acadia Healthcare Company, Inc.",13.0,2.2,89,1.75,65.49,75.5,15.28,$27.07,$68.65,64.57,62.97,58.82,76.5,True
175,59.333333333333336,INTU,Intuit Inc.,19.0,1.9,75,1.37,543.97,596.52,9.66,$301.94,$582.96,563.01,542.42,442.67,84.0,True
176,59.333333333333336,KIM,Kimco Realty Corporation,21.0,2.3,83,1.54,21.74,24.15,11.09,$10.04,$22.45,21.69,21.31,19.17,74.0,True
177,59.333333333333336,JCI,Johnson Controls International plc,24.0,2.1,75,1.36,69.02,81.25,17.72,$39.80,$76.83,74.51,72.79,61.94,79.0,True
190,58.833333333333336,TRMB,Trimble Inc.,18.0,2.0,77,1.4,84.14,95.25,13.2,$46.78,$96.49,92.97,88.87,78.47,81.5,True
194,58.666666666666664,ETSY,"Etsy, Inc.",15.0,1.9,77,1.4,204.37,221.37,8.32,$109.52,$251.86,216.39,202.36,196.58,84.0,True
197,58.5,SPG,"Simon Property Group, Inc.",12.0,2.2,87,1.67,133.14,149.76,12.48,$59.35,$137.38,131.71,128.93,113.84,76.5,True
201,58.333333333333336,IQV,IQVIA Holdings Inc.,16.0,1.7,70,1.28,241.55,278.16,15.16,$146.00,$265.34,259.6,253.17,218.95,89.0,True
202,58.333333333333336,COOP,Mr. Cooper Group Inc.,19.0,2.1,77,1.41,41.57,44.29,6.54,$20.20,$41.14,38.74,36.48,32.86,79.0,True
203,58.333333333333336,KEYS,"Keysight Technologies, Inc.",22.0,2.1,74,1.35,165.42,179.67,8.61,$95.48,$182.49,178.4,169.36,148.98,79.0,True
204,58.166666666666664,SYNH,"Syneos Health, Inc.",14.0,1.8,74,1.35,87.36,100.4,14.93,$50.26,$97.47,93.85,90.29,81.84,86.5,True
208,57.5,FBC,"Flagstar Bancorp, Inc.",30.0,2.4,71,1.3,53.33,60.31,13.09,$27.79,$51.58,49.44,47.45,44.98,71.5,True
211,57.5,POWI,"Power Integrations, Inc.",13.0,2.2,83,1.53,100.45,105.67,5.2,$51.30,$110.66,107.86,98.32,86.65,76.5,True
212,57.5,LSI,"Life Storage, Inc.",13.0,1.8,73,1.33,115.56,129.4,11.98,$68.31,$129.87,124.33,120.38,97.09,86.5,True
217,57.333333333333336,PIPR,Piper Sandler Companies,15.0,2.3,83,1.53,142.19,158.0,11.12,$67.22,$146.50,138.36,133.69,117.44,74.0,True
220,57.333333333333336,RPT,RPT Realty,11.0,2.5,92,1.96,13.3,14.5,9.02,$4.79,$14.00,12.7,12.58,11.49,69.0,True
221,57.166666666666664,MTG,MGIC Investment Corporation,12.0,1.8,73,1.33,15.46,17.39,12.48,$8.29,$15.68,15.12,14.5,13.6,86.5,True
224,56.833333333333336,UMPQ,Umpqua Holdings Corporation,15.0,2.2,79,1.45,20.6,21.81,5.87,$10.03,$20.44,19.37,19.08,17.58,76.5,True
225,56.833333333333336,GRMN,Garmin Ltd.,24.0,2.4,75,1.36,155.11,163.29,5.27,$91.84,$178.81,171.71,164.39,138.97,71.5,True
226,56.666666666666664,CSL,Carlisle Companies Incorporated,15.0,1.9,71,1.3,201.59,234.29,16.22,$115.54,$215.41,204.39,202.79,177.01,84.0,True
227,56.666666666666664,NVT,nVent Electric plc,13.0,2.1,78,1.43,33.22,41.29,24.29,$16.92,$34.97,33.55,32.1,28.17,79.0,True
228,56.666666666666664,CTLT,"Catalent, Inc.",16.0,1.7,65,1.2,131.93,150.25,13.89,$79.65,$142.64,136.13,125.4,112.69,89.0,True
231,56.5,KLAC,KLA Corporation,11.0,2.2,82,1.51,335.02,387.53,15.67,$178.08,$374.60,349.15,334.81,310.86,76.5,True
232,56.5,CSR,Centerspace,16.0,1.8,67,1.23,96.97,104.22,7.48,$61.49,$108.19,100.82,95.77,77.24,86.5,True
