No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date,Target Price,IPO Date,After-Hours Close,After-Hours Change
1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,45112.79,47.04,31.79,3.46,7.34,9.25,31.59,43.55,0.01,0.23,3.21,-0.32,0.12,0.12,0.14,0.06,0.35,0.26,303,301.98,0,-0.13,0.9,0,0.01,1.69,0.1,0.2,0.1,2.1,1.6,0.55,0.58,0.54,0.2,0.16,-0.01,-0.04,-0.15,0.09,0.32,0.27,0.99,4.31,0.04,0.03,-0.04,-0.04,0.03,-0.13,0.03,-0.16,0.34,39.61,0.02,0,2,1482.79,1.02,150.99,0.02,1514128,44522.6875,175.88,36482,150.99,0
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,8403.75,10.44,6.61,,0.75,2.16,5.79,186.75,0.01,0,4.29,0.85,0.06,0.28,,-0.04,7.7,0.32,187,184.05,0,-0.52,0.76,-0.03,0.05,1.05,0.06,0.23,0.06,1.5,0.9,0.44,0.44,0.22,0.13,0.07,-0.11,-0.05,-0.04,0.15,1,0.94,2.41,2.64,0.06,0.05,-0.07,-0.08,0.13,-0.22,0.02,-0.22,1.59,41.83,0.01,0.02,2.2,8365.56,0.65,44.82,0.02,5452184,44483.6875,59.19,42661,44.82,0
3,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,-0.01,-0.02,-0.07,-0.03,-0.07,,0.19,0.01,0.01,-0.03,-0.01,-0.01,-0.05,0.03,-0.1,0.05,37.35,0,0,,236.4,1.18,17.58,-0.01,278397,,,43327,17.59,0
4,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1222.5,59.63,,,,1.31,1358.33,,,,0.16,,,,,,,,125,100,,,0.68,0.12,0,0.23,,,,1.7,1.7,0,0,,,,0,-0.01,0.01,0,,-0.01,,0.04,0,0,0,0,0,-0.01,0.01,-0.02,0.03,41.35,0,0,,363.88,0.05,9.78,0,19806,,,44280,9.79,0
5,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,51.49,,,,1.73,1.58,4.36,,,,-0.41,0.4,-0.06,-0.37,0.25,-0.17,-0.62,0.31,31.19,29.64,0.19,0,0.18,0.05,0,0.63,-0.18,-0.49,-0.48,0.3,0.3,0,0,0.47,-0.53,-0.51,-0.14,-0.37,-0.46,-0.54,0.28,0.26,1.67,0.11,0.07,0.05,-0.25,-0.32,-0.51,-0.48,0,-0.92,0.33,16.03,-0.07,0.07,1,47.46,0.35,1.5,0,16496,44510.6875,32.5,39476,1.5,0
6,AACI,Armada Acquisition Corp. I,Financial,Shell Companies,USA,,,,,,1955,,,,,,,,,,,,,,,0.25,,,,,2.28,,,,,,,,,,,0,,,,,0,,0.11,0,,0,0,0,-0.01,0.05,-0.01,0.05,,0,0,,133.06,0.33,9.77,0,43524,,,44510,9.76,0
7,AACIU,Armada Acquisition Corp. I,Financial,Shell Companies,USA,,,,,,2004,,,,,,,,,,,,,,,,,0.42,,,0.02,,,,,,,,,,,0,0.01,,,,0.02,,0.07,0.01,0.01,0,0.01,0.01,-0.05,0.02,-0.05,0.03,57.53,0,0,,132.89,0,10.02,0,100,,,44421,,
8,AACIW,Armada Acquisition Corp. I,Financial,Shell Companies,USA,,,,,,102.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,0.03,,0.04,0.05,,0.01,0.01,0.01,-0.14,0.04,-0.14,0.04,,0.04,-0.05,,110.59,0.13,0.51,-0.01,14300,,,44511,,
9,AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,USA,397.19,,,,3971.9,1.26,2.46,,,,-11.63,0.82,-0.31,0.31,,,-7.05,,9.51,,0,0,0.54,,,0.58,-1.35,-1.47,-0.15,14,14,0.04,0.04,,,,-0.12,-0.29,-0.29,-0.29,-0.23,0.36,1.41,2.08,0.08,0.1,-0.17,-0.24,-0.23,-0.39,0.01,-0.6,0.4,31.2,0.01,-0.01,2,123.77,0.76,20.05,0,94157,,47.67,42955,20.3,0.01
10,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,-0.05,-0.09,-0.04,0.1,0.02,,0.81,0.01,0.01,-0.03,-0.03,-0.04,-0.06,0.02,-0.1,0.08,38.88,0.01,0,,2.64,1.68,62.35,0.01,4442,,,40380,,
