no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,258496.35,34.58,11.84,8.43,4.69,18.96,21.1,24.07,3.88%,133.00%,4.2,11.50%,-13.34%,21.91%,4.10%,17.00%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.58%,69.70%,1.97%,0.91%,2.1,4.40%,49.90%,19.60%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,-0.41%,9.15%,22.20%,20.66%,35.35%,7.29%,0.78,3.05,2.04%,2.01%,2.63%,6.25%,21.15%,-2.08%,16.03%,-2.08%,42.35%,64.87,1.13%,-2.12%,7676.67,1.57,145.27,-1.02%,12069180,2/2/2022 8:30:00 AM,149.45,12/10/2012,145.47,0.14%,69.0,90,1.21,145.27,142.1,137.11,120.06,102.05,148.35,14.0,2.88,57.666666666666664,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,28956.11,17.9,11.91,1.73,0.13,118.84,8.18,16.11,1.33%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-44.49%,65.70%,1.02%,1.13%,1.57,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,-3.41%,5.19%,11.48%,16.74%,34.04%,3.74%,0.46,3.27,1.98%,2.36%,-0.85%,2.79%,11.67%,-4.41%,13.93%,-4.41%,36.89%,49.85,0.21%,-1.36%,1084.09,1.67,137.86,-1.15%,1807855,2/2/2022 8:30:00 AM,153.92,4/4/1995,137.29,-0.41%,63.0,90,1.2,137.86,139.41,134.43,123.55,100.71,144.22,13.0,11.65,55.333333333333336,True
212,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,3951.42,16.14,15.72,5.38,4.67,0.65,39.12,,1.57%,24.40%,3.48,4.40%,0.99%,-10.00%,3.00%,-15.80%,-77.50%,-32.90%,72.7,66.34,0.20%,-12.45%,91.70%,-4.66%,2.68%,3.94,1.60%,4.20%,4.30%,,,0.27,0.27,,34.50%,32.30%,-5.42%,7.54%,4.25%,11.53%,28.25%,11.95%,1.13,1.62,2.75%,2.67%,0.47%,6.07%,12.25%,-6.08%,25.06%,-6.08%,36.74%,52.84,2.72%,-3.49%,450.7,1.01,56.2,-0.86%,452959,2/24/2022 4:30:00 PM,61.0,4/23/2004,56.69,0.87%,78.0,87,1.15,56.2,56.16,53.16,50.11,41.1,59.84,37.0,8.54,67.33333333333333,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,49849.13,9.48,9.9,0.31,1.05,0.77,22.68,9.59,2.12%,11.60%,6.37,257.40%,14.68%,77.40%,30.69%,-0.30%,478.80%,45.60%,833.65,829.46,0.10%,-1.74%,91.40%,-2.44%,0.98%,1.6,1.60%,14.50%,11.70%,,,0.46,0.46,,28.10%,19.60%,0.07%,3.73%,2.51%,9.92%,37.38%,6.19%,1.3,2.06,3.31%,3.18%,0.26%,2.86%,10.51%,-4.97%,16.45%,-4.97%,38.39%,51.02,1.74%,-3.56%,5103.75,1.23,60.38,-1.88%,6276327,2/16/2022 4:30:00 PM,65.62,4/3/1972,59.68,-1.16%,63.0,91,1.23,60.38,60.36,58.83,54.69,43.63,63.54,14.0,8.68,56.0,True
363,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1309.1,38.12,18.58,1.52,3.17,3.08,11.42,29.42,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.86,0.60%,-32.27%,62.50%,4.81%,5.25%,6.94,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,3.92%,10.64%,30.12%,46.13%,54.05%,18.33%,0.69,1.17,3.70%,5.13%,6.75%,12.60%,31.78%,-1.22%,30.12%,-1.22%,62.98%,63.25,2.95%,-2.51%,278.94,1.68,27.56,0.36%,467309,,28.25,6/25/2014,27.56,0.00%,53.0,95,1.38,27.56,25.96,24.6,20.96,16.91,27.9,12.0,2.5,53.333333333333336,True
369,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA,784.39,3.8,10.02,,0.1,1.92,40.43,4.66,,0.00%,17.88,312.90%,-13.72%,68.70%,,2.30%,125.40%,28.20%,11.38,8.44,8.00%,-10.33%,43.90%,2.24%,2.32%,2.14,15.40%,51.30%,17.20%,1.5,0.6,0.23,1.18,3.40%,2.70%,2.30%,-7.67%,15.01%,-2.61%,45.74%,158.39%,11.34%,-0.48,3.06,4.63%,4.63%,0.74%,8.92%,18.76%,-11.65%,24.92%,-15.93%,168.04%,52.87,4.23%,-1.66%,91.63,0.92,68.03,2.50%,84217,2/8/2022 4:30:00 PM,93.5,3/17/2014,68.03,0.00%,69.0,99,2.23,68.03,67.97,62.62,58.16,26.24,80.93,55.0,37.44,74.33333333333333,True
393,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,1390.04,14.45,15.97,1.81,0.11,1.37,6.41,,1.70%,26.00%,2.94,-69.00%,-5.57%,18.80%,8.00%,13.90%,,59.00%,33.28,30.77,2.60%,-27.06%,81.30%,4.05%,1.61%,2.43,2.20%,9.00%,0.00%,1.4,0.9,0.53,0.9,4.70%,1.00%,0.70%,6.49%,12.38%,14.01%,37.35%,56.72%,9.71%,0.71,1.51,4.35%,3.80%,10.45%,10.95%,28.54%,1.53%,23.28%,1.53%,69.41%,70.72,3.56%,-1.35%,203.91,2.05,42.47,2.17%,418591,2/15/2022 4:30:00 PM,45.75,2/20/1996,42.54,0.16%,69.0,95,1.4,42.47,38.68,38.43,33.09,25.07,42.65,16.0,7.72,60.0,True
449,APR,"Apria, Inc.",Healthcare,Medical Instruments & Supplies,USA,1327.06,18.66,20.36,,1.16,56.58,6.13,17.48,,0.00%,2.0,195.30%,8.65%,18.20%,,0.30%,268.70%,3.80%,35.31,34.63,2.00%,-93.33%,88.97%,-1.10%,4.11%,2.33,10.50%,,14.00%,1.2,1.2,15.2,16.55,70.40%,9.30%,6.50%,0.24%,0.43%,23.23%,2.75%,64.57%,14.54%,,0.12,0.27%,0.33%,0.21%,6.99%,14.20%,-0.90%,30.67%,-6.65%,86.05%,66.08,0.40%,-0.40%,611.25,0.37,37.34,0.00%,225536,,38.33,2/11/2021,37.35,0.03%,75.0,96,1.47,37.34,37.27,35.02,32.74,20.07,40.0,10.0,2.65,60.333333333333336,True
468,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,6786.26,,6.73,,1.47,1.23,,4.18,,,-0.63,87.00%,-2.79%,26.80%,,22.90%,,82.90%,313.98,273.59,1.70%,-24.22%,76.70%,-1.12%,7.41%,2.67,-1.40%,-3.40%,-0.60%,0.3,0.3,0.37,0.37,72.40%,-2.70%,-4.00%,11.42%,23.59%,20.22%,75.33%,143.57%,28.74%,4.14,1.34,9.17%,6.51%,11.36%,18.60%,35.49%,-0.49%,40.99%,-0.49%,160.76%,63.99,0.94%,1.36%,7590.84,1.87,22.53,2.32%,14183507,2/16/2022 4:30:00 PM,29.19,10/10/2013,22.31,-0.98%,63.0,99,2.17,22.53,20.44,19.11,16.68,8.64,22.82,17.0,29.56,59.666666666666664,True
478,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,USA,1793.89,6.29,2.66,,0.81,2.57,5.28,,0.88%,1.10%,18.11,184.40%,124.57%,-17.40%,,2.30%,330.40%,123.40%,15.39,14.99,1.40%,-0.78%,,6.71%,33.17%,9.81,17.70%,79.50%,29.20%,1.7,1.4,0.5,0.83,28.50%,16.60%,15.30%,-2.81%,20.79%,40.39%,53.74%,127.80%,24.80%,0.85,6.26,5.11%,5.88%,5.73%,15.99%,43.63%,-9.00%,42.14%,-9.00%,192.10%,60.58,-2.91%,-0.51%,506.65,1.12,113.97,-3.40%,569794,2/15/2022 8:30:00 AM,143.17,10/5/2016,114.24,0.24%,69.0,99,2.03,113.97,108.71,98.86,79.65,39.02,125.25,7.0,25.62,58.333333333333336,True
