rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_russell_3k
1,74.16666666666667,GDEN,"Golden Entertainment, Inc.",38.0,1.8,98,3.38,49.26,61.5,24.85,$10.90,$54.86,45.71,45.25,29.16,86.5,True
2,73.0,CDMO,"Avid Bioservices, Inc.",33.0,1.7,97,2.81,21.09,28.25,33.95,$6.61,$28.20,25.75,24.81,17.63,89.0,True
3,73.0,SGH,"SMART Global Holdings, Inc.",52.0,1.7,78,1.36,45.28,69.0,52.39,$23.54,$58.39,48.75,48.02,42.72,89.0,True
4,70.33333333333333,AGO,Assured Guaranty Ltd.,36.0,1.7,86,1.56,47.53,58.0,22.03,$18.45,$52.28,47.18,47.13,40.5,89.0,True
7,69.66666666666667,AMRC,"Ameresco, Inc.",26.0,1.5,89,1.69,61.44,73.82,20.15,$28.50,$70.26,64.97,62.6,53.42,94.0,True
10,68.83333333333333,ORMP,Oramed Pharmaceuticals Inc.,16.0,1.6,99,4.02,20.93,23.0,9.89,$2.40,$21.99,14.6,13.81,8.85,91.5,True
11,68.66666666666667,EVC,Entravision Communications Corporation,13.0,1.5,99,4.11,7.45,10.5,40.94,$1.25,$7.10,6.17,5.86,3.94,94.0,True
12,68.66666666666667,WOW,"WideOpenWest, Inc.",41.0,2.5,96,2.47,19.89,25.4,27.7,$4.72,$23.92,22.1,19.84,13.79,69.0,True
13,68.33333333333333,GNRC,Generac Holdings Inc.,19.0,1.5,92,1.9,404.95,497.0,22.73,$164.24,$457.00,427.48,399.05,306.79,94.0,True
15,68.0,ASIX,AdvanSix Inc.,16.0,1.5,94,2.08,42.13,44.5,5.63,$11.62,$36.43,31.71,30.75,25.84,94.0,True
17,67.33333333333333,EPRT,"Essential Properties Realty Trust, Inc.",41.0,1.9,77,1.34,28.39,32.36,13.98,$16.18,$30.61,29.02,28.03,23.36,84.0,True
18,67.0,NET,"Cloudflare, Inc.",21.0,1.9,96,2.53,114.98,125.13,8.83,$32.69,$125.46,114.14,104.5,81.9,84.0,True
19,66.83333333333333,IIPR,"Innovative Industrial Properties, Inc.",34.0,2.0,85,1.52,234.18,257.0,9.74,$108.50,$230.64,212.62,199.39,180.69,81.5,True
20,66.66666666666667,UTHR,United Therapeutics Corporation,40.0,2.1,81,1.42,185.9,231.89,24.74,$98.37,$216.90,188.58,183.3,170.03,79.0,True
21,66.5,DOMO,"Domo, Inc.",18.0,1.8,95,2.34,84.96,106.25,25.06,$29.29,$93.52,87.61,80.71,62.94,86.5,True
22,66.33333333333333,RVLV,"Revolve Group, Inc.",18.0,1.9,97,2.61,63.45,70.94,11.8,$16.24,$74.82,68.02,65.0,44.35,84.0,True
24,66.0,COF,Capital One Financial Corporation,22.0,1.9,92,1.9,166.54,183.18,9.99,$63.39,$168.00,160.23,158.79,125.24,84.0,True
25,66.0,CRWD,"CrowdStrike Holdings, Inc.",15.0,1.7,94,2.06,249.27,310.62,24.61,$93.37,$272.63,258.26,247.66,206.33,89.0,True
26,66.0,RDNT,"RadNet, Inc.",14.0,1.3,85,1.53,29.1,43.67,50.07,$13.49,$38.84,34.9,33.46,23.6,99.0,True
27,65.83333333333333,ATLC,Atlanticus Holdings Corporation,17.0,2.0,99,4.6,54.49,63.0,15.62,$7.50,$48.93,44.3,41.76,29.63,81.5,True
28,65.83333333333333,BBCP,"Concrete Pumping Holdings, Inc.",12.0,1.4,89,1.68,8.67,10.75,23.99,$3.14,$9.31,8.49,8.41,6.36,96.5,True
30,65.5,WMS,"Advanced Drainage Systems, Inc.",33.0,2.2,87,1.6,110.21,130.25,18.18,$53.63,$124.98,118.43,113.77,98.1,76.5,True
31,65.5,AXON,"Axon Enterprise, Inc.",20.0,1.8,90,1.75,178.77,213.0,19.15,$78.28,$212.37,183.8,169.85,147.71,86.5,True
32,65.33333333333333,SKY,Skyline Champion Corporation,41.0,2.5,86,1.56,60.81,70.17,15.39,$23.69,$61.96,55.14,53.28,41.82,69.0,True
33,65.33333333333333,OMF,"OneMain Holdings, Inc.",17.0,1.7,90,1.74,57.04,72.0,26.23,$28.34,$63.19,56.53,55.91,46.6,89.0,True
34,65.16666666666667,AX,"Axos Financial, Inc.",21.0,1.6,83,1.48,52.65,56.0,6.36,$21.27,$54.36,47.29,47.23,42.96,91.5,True
35,65.16666666666667,CROX,"Crocs, Inc.",17.0,2.0,97,2.83,141.13,157.7,11.74,$36.84,$144.26,128.74,117.4,85.78,81.5,True
36,65.0,SHYF,"The Shyft Group, Inc.",20.0,1.7,86,1.56,39.65,49.5,24.84,$17.29,$43.75,38.8,38.42,33.4,89.0,True
38,65.0,CBNK,"Capital Bancorp, Inc.",17.0,1.7,89,1.67,24.46,26.25,7.32,$9.02,$24.92,21.6,21.31,17.51,89.0,True
39,64.83333333333333,NAVI,Navient Corporation,16.0,1.8,92,1.93,19.12,21.35,11.66,$7.42,$21.80,20.4,19.62,14.05,86.5,True
41,64.66666666666667,DECK,Deckers Outdoor Corporation,16.0,1.5,84,1.5,365.47,486.5,33.12,$192.58,$444.48,405.31,373.96,325.03,94.0,True
42,64.66666666666667,CTO,"CTO Realty Growth, Inc.",32.0,1.7,73,1.29,54.72,61.25,11.93,$32.26,$56.90,54.51,54.2,47.48,89.0,True
43,64.66666666666667,CLAR,Clarus Corporation,16.0,1.7,89,1.67,26.3,34.67,31.83,$11.54,$32.36,28.4,26.44,19.4,89.0,True
44,64.66666666666667,PACK,Ranpak Holdings Corp.,10.0,1.7,95,2.37,27.52,31.83,15.66,$8.41,$28.91,25.81,24.09,18.47,89.0,True
45,64.5,SSTK,"Shutterstock, Inc.",22.0,1.6,80,1.4,116.29,126.0,8.35,$45.70,$108.96,103.52,99.0,83.82,91.5,True
46,64.5,JLL,Jones Lang LaSalle Incorporated,20.0,2.0,92,1.92,258.02,310.0,20.15,$90.86,$253.90,213.49,206.54,172.45,81.5,True
47,64.0,ULTA,"Ulta Beauty, Inc.",49.0,2.3,69,1.22,368.03,436.65,18.65,$200.50,$356.64,340.29,339.71,307.56,74.0,True
48,64.0,MODV,ModivCare Inc.,15.0,1.5,83,1.48,187.05,211.88,13.27,$84.32,$184.71,169.36,166.02,149.7,94.0,True
49,64.0,BLFS,"BioLife Solutions, Inc.",25.0,2.1,88,1.66,42.58,62.14,45.94,$18.20,$50.45,46.62,43.17,38.23,79.0,True
50,64.0,MP,MP Materials Corp.,17.0,2.1,96,2.42,31.89,45.13,41.52,$10.80,$51.77,35.81,34.65,31.1,79.0,True
52,63.833333333333336,CLPT,"ClearPoint Neuro, Inc.",11.0,2.0,99,4.08,17.89,32.0,78.87,$3.48,$31.29,19.56,19.15,17.62,81.5,True
53,63.833333333333336,NSA,National Storage Affiliates Trust,43.0,2.2,72,1.27,52.84,58.3,10.33,$31.78,$55.49,53.98,51.43,41.28,76.5,True
54,63.666666666666664,BOOT,"Boot Barn Holdings, Inc.",15.0,2.1,97,2.77,90.64,100.0,10.33,$23.48,$93.25,83.16,80.66,61.85,79.0,True
55,63.5,BCRX,"BioCryst Pharmaceuticals, Inc.",11.0,2.0,98,3.24,13.73,21.27,54.92,$3.30,$18.48,16.55,16.44,11.02,81.5,True
56,63.5,CLH,"Clean Harbors, Inc.",43.0,2.0,66,1.17,107.41,114.5,6.6,$52.22,$101.99,94.28,92.99,84.0,81.5,True
57,63.5,CBRE,"CBRE Group, Inc.",22.0,2.0,87,1.61,100.45,116.43,15.91,$43.17,$98.93,90.11,88.48,74.89,81.5,True
58,63.5,WFC,Wells Fargo & Company,30.0,2.2,84,1.51,47.02,50.35,7.08,$20.76,$49.34,45.44,45.08,37.21,76.5,True
59,63.5,ENPH,"Enphase Energy, Inc.",21.0,2.2,93,1.96,155.36,197.73,27.27,$58.67,$229.04,178.94,168.8,158.01,76.5,True
60,63.333333333333336,RH,RH,22.0,2.1,89,1.68,646.45,764.79,18.31,$292.00,$733.05,672.97,670.12,550.29,79.0,True
61,63.333333333333336,GPI,"Group 1 Automotive, Inc.",25.0,1.9,81,1.43,188.31,251.4,33.5,$82.35,$181.95,167.51,161.18,148.63,84.0,True
62,63.333333333333336,AMN,"AMN Healthcare Services, Inc.",20.0,1.7,81,1.43,114.94,121.56,5.76,$49.87,$110.25,99.63,97.01,79.52,89.0,True
63,63.333333333333336,TPX,"Tempur Sealy International, Inc.",27.0,2.1,84,1.49,46.53,53.33,14.61,$19.88,$43.99,40.58,39.61,33.46,79.0,True
64,63.166666666666664,ALGN,"Align Technology, Inc.",18.0,2.0,90,1.72,662.06,745.36,12.58,$289.52,$714.15,652.85,624.23,561.34,81.5,True
65,63.166666666666664,OMCL,"Omnicell, Inc.",19.0,2.0,89,1.68,153.26,166.8,8.83,$66.04,$160.78,150.38,147.46,128.75,81.5,True
66,63.166666666666664,DFS,Discover Financial Services,21.0,2.2,92,1.87,127.19,135.94,6.88,$48.92,$130.93,124.38,122.0,99.71,76.5,True
68,63.166666666666664,TRNS,"Transcat, Inc.",13.0,1.8,90,1.76,65.36,70.5,7.86,$26.05,$65.74,61.82,58.68,45.69,86.5,True
69,63.0,TGT,Target Corporation,20.0,1.9,85,1.52,228.42,279.74,22.47,$131.25,$263.46,257.63,245.26,200.91,84.0,True
70,63.0,NTLA,"Intellia Therapeutics, Inc.",10.0,2.1,100,5.95,134.06,176.19,31.43,$16.54,$202.73,143.88,120.09,74.67,79.0,True
71,62.833333333333336,JYNT,The Joint Corp.,13.0,2.2,99,4.64,95.92,124.6,29.9,$16.03,$107.89,85.4,81.15,48.44,76.5,True
72,62.833333333333336,PHR,"Phreesia, Inc.",13.0,1.8,89,1.7,60.52,73.31,21.13,$27.42,$81.59,66.83,61.76,55.86,86.5,True
73,62.5,MCB,Metropolitan Bank Holding Corp.,15.0,2.0,91,1.79,86.47,107.5,24.32,$25.51,$77.26,67.23,64.55,50.2,81.5,True
75,62.333333333333336,DKS,"DICK'S Sporting Goods, Inc.",22.0,2.3,91,1.77,121.72,152.33,25.15,$44.38,$109.26,102.73,99.81,77.17,74.0,True
76,62.166666666666664,UHAL,AMERCO,26.0,2.0,79,1.38,655.33,740.0,12.92,$345.19,$657.86,587.37,573.51,525.78,81.5,True
77,62.166666666666664,EPAM,"EPAM Systems, Inc.",20.0,2.0,85,1.54,575.44,653.4,13.55,$291.51,$609.04,557.67,527.35,414.44,81.5,True
78,62.0,YETI,"YETI Holdings, Inc.",15.0,1.9,87,1.61,85.98,114.47,33.14,$43.09,$105.62,95.63,92.78,77.03,84.0,True
80,62.0,GOOG,Alphabet Inc.,12.0,1.5,80,1.4,2729.25,3103.33,13.71,$1406.55,$2800.22,2695.15,2588.61,2141.52,94.0,True
81,62.0,FND,"Floor & Decor Holdings, Inc.",20.0,1.7,77,1.35,118.75,138.15,16.34,$65.73,$128.50,116.69,107.1,98.53,89.0,True
82,62.0,BLDR,"Builders FirstSource, Inc.",18.0,1.5,74,1.3,52.96,67.71,27.85,$26.83,$53.99,44.23,43.68,42.33,94.0,True
83,61.833333333333336,ATKR,Atkore Inc.,15.0,2.2,94,2.06,89.27,103.75,16.22,$20.42,$90.08,74.58,73.59,60.63,76.5,True
84,61.833333333333336,MITK,"Mitek Systems, Inc.",13.0,1.6,81,1.42,19.26,25.0,29.8,$10.81,$22.93,19.91,19.06,16.29,91.5,True
85,61.666666666666664,MIDD,The Middleby Corporation,22.0,1.9,79,1.38,173.84,214.0,23.1,$85.92,$196.49,188.09,176.87,154.59,84.0,True
86,61.5,AMKR,"Amkor Technology, Inc.",16.0,2.0,87,1.63,25.1,28.5,13.55,$10.71,$27.71,24.13,23.4,19.85,81.5,True
87,61.5,ONEW,OneWater Marine Inc.,22.0,1.6,71,1.25,42.14,57.0,35.26,$18.01,$56.78,44.67,43.34,36.37,91.5,True
88,61.5,CRAI,"CRA International, Inc.",16.0,2.0,87,1.58,101.61,110.0,8.26,$36.32,$94.30,85.17,85.13,66.81,81.5,True
89,61.333333333333336,CLF,Cleveland-Cliffs Inc.,12.0,2.3,98,3.11,19.66,29.59,50.51,$5.48,$25.83,22.56,21.87,16.87,74.0,True
90,61.333333333333336,COOP,Mr. Cooper Group Inc.,19.0,2.1,86,1.57,41.57,44.29,6.54,$16.77,$39.30,35.7,34.52,31.31,79.0,True
91,61.166666666666664,TTGT,"TechTarget, Inc.",21.0,2.2,86,1.55,83.12,99.13,19.26,$37.24,$101.12,74.42,73.09,69.34,76.5,True
92,61.166666666666664,ADTN,"ADTRAN, Inc.",17.0,2.0,85,1.52,18.81,25.42,35.14,$9.66,$24.36,21.39,20.92,17.21,81.5,True
93,61.166666666666664,ESTC,Elastic N.V.,17.0,1.8,80,1.41,151.06,185.29,22.66,$80.18,$176.49,147.01,142.73,133.02,86.5,True
94,61.166666666666664,AMP,"Ameriprise Financial, Inc.",24.0,1.8,73,1.28,268.53,292.5,8.93,$141.82,$269.29,251.98,251.52,222.2,86.5,True
96,60.833333333333336,INTU,Intuit Inc.,19.0,1.8,77,1.34,543.97,596.52,9.66,$295.37,$540.63,521.03,494.45,409.92,86.5,True
98,60.833333333333336,RPD,"Rapid7, Inc.",13.0,1.8,83,1.48,113.68,125.14,10.08,$56.02,$120.00,110.81,99.85,84.55,86.5,True
99,60.833333333333336,PNFP,"Pinnacle Financial Partners, Inc.",12.0,2.0,89,1.67,96.09,102.18,6.34,$32.80,$96.73,89.43,89.06,77.56,81.5,True
100,60.833333333333336,LOB,"Live Oak Bancshares, Inc.",11.0,2.2,95,2.36,66.69,74.0,10.96,$18.65,$72.64,59.6,59.04,54.31,76.5,True
101,60.666666666666664,ABG,"Asbury Automotive Group, Inc.",21.0,2.1,82,1.46,197.77,230.86,16.73,$91.52,$216.88,194.55,183.45,168.9,79.0,True
102,60.5,CRL,"Charles River Laboratories International, Inc.",14.0,1.8,81,1.42,416.69,448.0,7.51,$197.33,$420.25,396.51,373.98,301.33,86.5,True
103,60.5,JCI,Johnson Controls International plc,26.0,2.2,79,1.38,69.02,81.25,17.72,$39.08,$72.66,70.67,68.64,57.26,76.5,True
104,60.333333333333336,TRMB,Trimble Inc.,17.0,1.9,80,1.4,84.14,95.25,13.2,$46.78,$90.25,83.97,81.6,72.91,84.0,True
105,60.333333333333336,HBIO,"Harvard Bioscience, Inc.",11.0,1.7,81,1.42,7.06,10.0,41.64,$2.74,$8.55,7.88,7.74,5.74,89.0,True
106,60.333333333333336,PAG,"Penske Automotive Group, Inc.",20.0,2.1,82,1.44,102.09,115.0,12.65,$45.58,$93.45,83.1,80.01,72.28,79.0,True
107,60.333333333333336,JBL,Jabil Inc.,18.0,1.7,74,1.3,59.4,74.0,24.58,$30.42,$61.23,57.48,57.38,48.36,89.0,True
109,60.166666666666664,FIVE,"Five Below, Inc.",15.0,2.0,84,1.49,173.65,231.84,33.51,$103.03,$211.42,192.95,191.11,181.14,81.5,True
110,60.166666666666664,GTYH,GTY Technology Holdings Inc.,21.0,2.0,78,1.37,7.4,9.5,28.38,$2.16,$8.28,7.06,6.87,5.92,81.5,True
111,60.166666666666664,AMAT,"Applied Materials, Inc.",10.0,2.0,89,1.67,129.13,162.47,25.82,$54.15,$146.00,137.47,137.23,113.17,81.5,True
112,60.0,VRT,Vertiv Holdings Co,21.0,1.7,70,1.24,24.54,31.86,29.83,$15.42,$28.45,27.4,26.83,21.91,89.0,True
113,60.0,KEYS,"Keysight Technologies, Inc.",23.0,1.9,73,1.29,165.42,179.67,8.61,$90.62,$168.17,160.94,154.58,139.58,84.0,True
114,60.0,ON,ON Semiconductor Corporation,15.0,2.1,86,1.57,45.61,53.42,17.12,$19.75,$46.29,39.19,38.38,36.37,79.0,True
115,59.833333333333336,ZBRA,Zebra Technologies Corporation,13.0,2.0,85,1.52,510.98,580.0,13.51,$246.83,$570.83,541.74,526.81,452.81,81.5,True
116,59.833333333333336,CARR,Carrier Global Corporation,16.0,2.0,82,1.46,52.46,59.82,14.03,$28.58,$57.90,52.51,49.14,41.87,81.5,True
117,59.833333333333336,MS,Morgan Stanley,12.0,2.0,86,1.55,99.05,104.51,5.51,$45.86,$100.99,94.88,91.72,76.88,81.5,True
118,59.833333333333336,LUNA,Luna Innovations Incorporated,11.0,2.0,87,1.58,9.4,13.25,40.96,$5.73,$13.05,11.53,11.0,10.43,81.5,True
119,59.666666666666664,KKR,KKR & Co. Inc.,16.0,1.9,79,1.39,61.68,76.95,24.76,$32.73,$67.81,62.15,59.45,48.67,84.0,True
120,59.666666666666664,NVEE,"NV5 Global, Inc.",27.0,1.9,68,1.2,101.11,124.57,23.2,$47.78,$109.39,94.07,92.82,87.57,84.0,True
121,59.666666666666664,GOOGL,Alphabet Inc.,11.0,1.7,79,1.39,2730.86,3141.61,15.04,$1402.15,$2765.94,2636.37,2518.05,2113.59,89.0,True
122,59.666666666666664,HCAT,"Health Catalyst, Inc.",15.0,1.5,70,1.24,49.51,66.0,33.31,$29.30,$59.50,56.53,56.35,48.37,94.0,True
123,59.5,BSIG,BrightSphere Investment Group Inc.,18.0,2.2,84,1.5,26.12,28.75,10.07,$12.35,$26.78,24.52,23.72,20.74,76.5,True
125,59.333333333333336,BURL,"Burlington Stores, Inc.",15.0,1.9,79,1.39,284.94,371.7,30.45,$179.28,$340.00,328.73,320.85,282.94,84.0,True
128,59.166666666666664,DE,Deere & Company,17.0,2.2,84,1.49,342.2,411.48,20.25,$184.40,$400.34,354.69,350.41,323.57,76.5,True
129,59.0,AGYS,"Agilysys, Inc.",17.0,2.5,91,1.78,55.2,62.0,12.32,$23.03,$64.09,55.96,55.64,47.76,69.0,True
131,59.0,FLGT,"Fulgent Genetics, Inc.",16.0,2.5,92,1.91,84.33,115.33,36.76,$26.03,$189.89,91.51,85.4,79.17,69.0,True
132,59.0,MAT,"Mattel, Inc.",16.0,2.1,82,1.45,18.71,26.78,43.13,$10.54,$23.31,20.66,20.42,18.96,79.0,True
134,59.0,EYE,"National Vision Holdings, Inc.",23.0,1.7,65,1.16,55.38,60.0,8.34,$33.47,$54.80,52.39,50.66,47.86,89.0,True
136,58.833333333333336,MSI,"Motorola Solutions, Inc.",20.0,1.8,70,1.24,234.31,253.36,8.13,$140.21,$231.89,222.42,217.12,187.74,86.5,True
137,58.833333333333336,HCA,"HCA Healthcare, Inc.",14.0,2.0,81,1.43,247.79,266.62,7.6,$114.38,$255.13,241.23,222.79,185.96,81.5,True
138,58.833333333333336,TECH,Bio-Techne Corporation,10.0,1.8,80,1.41,493.82,540.67,9.49,$228.67,$504.34,471.45,452.1,379.82,86.5,True
139,58.833333333333336,CSL,Carlisle Companies Incorporated,15.0,1.6,70,1.23,201.59,234.29,16.22,$115.54,$206.63,199.23,193.02,166.95,91.5,True
140,58.666666666666664,AFG,"American Financial Group, Inc.",17.0,2.5,90,1.74,127.47,145.0,13.75,$62.30,$141.25,126.38,123.22,98.24,69.0,True
141,58.5,LSI,"Life Storage, Inc.",11.0,1.8,78,1.37,115.56,129.4,11.98,$66.22,$121.61,116.0,110.39,89.43,86.5,True
143,58.5,TXT,Textron Inc.,19.0,2.2,80,1.41,71.03,83.75,17.91,$31.82,$72.80,68.71,68.14,55.8,76.5,True
144,58.5,CDW,CDW Corporation,21.0,2.0,73,1.29,185.71,201.6,8.56,$105.87,$192.72,181.08,174.9,155.99,81.5,True
146,58.333333333333336,BC,Brunswick Corporation,21.0,1.9,70,1.24,97.36,122.23,25.54,$56.50,$117.62,100.07,98.41,90.99,84.0,True
147,58.333333333333336,NVDA,NVIDIA Corporation,12.0,1.9,79,1.38,207.42,226.4,9.15,$107.96,$208.75,195.74,190.15,150.63,84.0,True
148,58.333333333333336,GMS,GMS Inc.,16.0,2.1,80,1.4,44.74,61.0,36.34,$21.41,$50.62,47.35,45.97,38.19,79.0,True
