,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return,rank
5,LQDA,7.487157066346049,Liquidia Corporation,6.429999828338623,6.900000095367432,187.18,29.11,200.86,7.31,1.0
1,CMRE,15.007104601595804,Costamare Inc.,14.3100004196167,14.8100004196167,375.18,26.22,388.32,3.5,2.0
8,BCRX,3.3555579844791783,"BioCryst Pharmaceuticals, Inc.",17.25,17.639999389648438,83.89,4.86,85.73,2.19,3.0
10,VRTV,1.4209203191605642,Veritiv Corporation,115.77999877929688,117.0199966430664,35.52,0.31,36.28,2.14,4.0
13,GSL,0.3934856268444639,"Global Ship Lease, Inc.",27.360000610351562,27.75,9.84,0.36,9.99,1.52,5.0
9,TECK,2.4811454803803694,Teck Resources Limited,38.70000076293945,38.779998779296875,62.03,1.6,62.05,0.03,6.0
0,MPC,22.953328232593726,Marathon Petroleum Corporation,76.61000061035156,76.22000122070312,573.83,7.49,570.89,-0.51,7.0
4,WES,9.771559733304187,"Western Midstream Partners, LP",25.540000915527344,25.170000076293945,244.29,9.56,240.63,-1.5,8.0
3,PXD,12.66805115313149,Pioneer Natural Resources Company,241.05999755859375,237.3699951171875,316.7,1.31,310.95,-1.82,9.0
6,VIST,7.388785659634933,"Vista Oil & Gas, S.A.B. de C.V.",8.65999984741211,8.430000305175781,184.72,21.33,179.81,-2.66,10.0
2,TRGP,13.028746311072249,Targa Resources Corp.,69.87000274658203,67.01000213623047,325.72,4.66,312.27,-4.13,11.0
7,EQT,4.04415783145699,EQT Corporation,26.969999313354492,25.610000610351562,101.1,3.75,96.04,-5.0,12.0
