no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
18,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,14752.91,23.75,17.93,1.42,1.35,4.61,24.4,22.41,1.70%,25.10%,9.88,4.40%,10.26%,2.20%,16.70%,0.70%,25.90%,3.10%,62.85,62.08,0.20%,-2.41%,,,5.60%,5.71,5.50%,19.10%,11.80%,1.2,0.3,0.32,0.0,45.10%,8.00%,5.90%,2.56%,0.96%,17.29%,17.64%,48.54%,48.96%,1.26,5.96,2.23%,2.44%,3.63%,6.30%,17.01%,-1.24%,16.94%,-1.24%,67.68%,61.7,1.96%,0.34%,2.2,609.26,1.14,240.04,2.31%,696018,11/15/2021 4:30:00 PM,254.38,11/29/2001,240.04,0.00%,63.0,82,1.18,240.04,231.72,226.44,205.55,143.15,243.05,17.0,5.97,54.0,True
24,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2499.27,5.08,6.7,0.51,0.66,0.96,,3.39,,0.00%,17.07,218.90%,-26.13%,115.40%,10.00%,12.00%,40.70%,25.50%,29.02,27.16,0.60%,-19.51%,,,13.42%,6.54,8.20%,20.50%,7.80%,0.8,0.8,0.64,0.9,57.00%,16.90%,13.20%,0.38%,2.95%,17.12%,16.79%,55.47%,58.95%,1.12,2.87,2.46%,2.91%,-1.72%,2.77%,19.63%,-8.21%,13.70%,-8.21%,73.64%,50.34,0.23%,0.36%,2.0,557.46,0.38,87.2,0.59%,213978,11/3/2021 8:30:00 AM,105.57,7/21/2004,87.2,0.00%,69.0,85,1.23,87.2,88.82,84.96,73.05,50.22,95.0,26.0,21.07,60.0,True
59,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,1194.34,54.23,13.64,2.49,1.94,7.47,,26.25,,0.00%,0.24,38.40%,25.07%,,21.74%,,39.50%,43.20%,94.0,59.8,5.30%,-9.45%,64.90%,-0.50%,2.72%,7.52,3.90%,15.90%,-1.70%,3.0,3.0,1.89,2.0,32.90%,6.70%,3.70%,3.81%,-4.81%,16.18%,2.51%,32.69%,29.41%,1.18,0.56,3.86%,3.83%,1.49%,2.49%,7.73%,-8.12%,10.59%,-8.12%,46.83%,52.84,-1.07%,0.15%,2.2,216.57,0.53,12.95,-0.92%,115043,11/3/2021 4:30:00 PM,17.1,8/24/2017,12.95,0.00%,63.0,76,1.09,12.95,12.75,12.65,12.03,8.82,14.1,37.0,32.05,58.666666666666664,True
79,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,2265.24,29.11,18.9,1.46,3.91,4.32,8.36,23.0,,0.00%,2.26,190.80%,30.19%,24.70%,20.00%,9.50%,155.80%,60.10%,33.54,32.68,2.50%,-6.25%,89.40%,0.81%,2.20%,2.09,11.80%,15.70%,9.80%,4.2,2.7,0.09,0.09,43.20%,16.40%,13.40%,2.91%,5.97%,35.19%,58.64%,133.10%,126.13%,1.49,3.21,5.65%,4.63%,3.74%,16.80%,45.11%,-5.43%,46.21%,-5.43%,137.75%,61.04,-1.77%,2.03%,1.8,343.45,1.3,66.0,0.23%,445836,11/3/2021 4:30:00 PM,68.5,7/11/2000,65.5,-0.76%,75.0,96,1.81,66.0,63.86,56.89,45.63,27.8,69.79,20.0,3.79,63.666666666666664,True
80,ACM,AECOM,Industrials,Engineering & Construction,USA,10446.3,37.07,18.9,2.03,0.78,3.87,8.5,18.38,,0.00%,1.97,83.70%,15.42%,26.20%,18.29%,-5.20%,,-6.00%,143.81,140.52,0.20%,-17.23%,88.60%,-0.84%,1.46%,2.28,1.40%,6.20%,11.00%,1.1,1.1,0.8,0.82,6.00%,4.70%,1.30%,4.12%,2.36%,11.77%,12.95%,48.40%,46.65%,1.48,2.01,2.30%,2.58%,1.32%,6.35%,12.13%,-3.85%,17.96%,-3.85%,56.66%,56.58,-0.42%,0.45%,1.6,902.54,0.88,73.02,0.03%,790496,11/15/2021 8:30:00 AM,84.44,5/10/2007,73.02,0.00%,81.0,82,1.18,73.02,72.18,68.86,65.2,46.61,75.94,19.0,15.64,60.666666666666664,True
132,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,1024.78,679.35,32.15,295.37,1.9,2.82,13.12,,1.71%,997.50%,0.03,104.40%,151.92%,-33.00%,2.30%,-3.30%,-289.50%,3.80%,48.61,48.14,1.50%,0.34%,93.10%,-0.83%,3.31%,4.71,0.30%,0.50%,-0.30%,2.6,1.7,0.0,0.0,40.40%,-2.00%,0.30%,4.88%,0.72%,7.45%,-1.36%,45.04%,42.59%,1.31,0.85,4.23%,3.81%,-0.24%,6.39%,6.44%,-7.04%,20.54%,-15.15%,51.48%,54.61,-1.32%,1.09%,2.0,338.61,0.8,21.01,-0.24%,270874,11/1/2021 4:30:00 PM,26.67,8/10/1994,21.01,0.00%,69.0,81,1.16,21.01,21.07,19.79,19.76,13.87,24.76,25.0,26.94,58.333333333333336,True
171,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,USA,11904.93,8.35,13.98,3.19,1.62,2.22,4.2,83.25,1.64%,7.30%,16.4,-16.70%,-6.04%,15.80%,2.62%,4.30%,158.50%,10.60%,84.8,66.68,0.20%,-33.12%,65.30%,-2.18%,1.03%,2.08,4.50%,38.40%,9.20%,,,0.37,0.37,,25.40%,31.70%,0.00%,0.14%,13.56%,21.60%,94.47%,92.54%,0.95,3.53,1.97%,2.25%,-0.40%,3.98%,20.08%,-5.21%,16.80%,-5.21%,114.60%,53.56,-0.03%,0.79%,2.3,332.19,0.52,138.02,0.76%,171371,11/2/2021 4:30:00 PM,160.33,11/14/1978,138.02,0.00%,59.0,85,1.22,138.02,138.62,137.66,128.77,79.21,146.63,19.0,16.16,54.333333333333336,True
330,AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,USA,7890.75,,107.48,,25.97,15.06,17.57,522.57,,,-0.83,-27.30%,22.79%,-22.50%,,-6.80%,54.10%,58.30%,36.44,34.76,5.20%,-4.49%,84.10%,3.50%,3.88%,1.72,-9.50%,-11.40%,-13.40%,6.2,5.8,0.0,0.0,62.10%,-18.40%,-18.20%,3.75%,3.03%,40.15%,105.57%,141.79%,126.39%,1.12,14.6,8.45%,6.69%,7.84%,14.82%,65.78%,-8.69%,41.85%,-8.69%,151.62%,59.36,-3.79%,3.91%,2.3,784.02,0.64,207.81,-0.03%,504370,11/30/2021 4:30:00 PM,210.81,10/10/2012,206.68,-0.54%,59.0,96,1.83,207.81,193.44,182.04,125.83,82.59,227.59,13.0,1.44,56.0,True
337,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,174494.88,42.76,41.47,1.21,11.75,23.49,48.36,58.87,,0.00%,3.23,604.70%,26.38%,34.80%,35.32%,19.60%,133.20%,54.00%,1214.0,1202.52,0.50%,-18.94%,70.50%,0.96%,6.28%,1.44,38.90%,59.90%,40.90%,2.2,1.7,0.0,0.04,46.80%,19.90%,26.70%,-8.35%,-7.27%,31.27%,69.84%,53.73%,50.58%,1.93,7.93,5.29%,4.88%,-7.66%,5.60%,38.54%,-15.75%,38.80%,-15.75%,91.10%,45.7,-1.95%,2.32%,2.3,52286.29,0.8,138.55,0.33%,41806203,10/26/2021 4:30:00 PM,141.5,10/15/1979,138.4,-0.11%,59.0,82,1.18,138.55,149.68,131.91,100.27,72.5,164.46,14.0,2.13,51.666666666666664,True
348,AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,USA,5336.42,24.11,18.05,1.25,1.64,5.07,38.95,24.47,,0.00%,4.59,-38.10%,-13.35%,-2.40%,19.35%,10.30%,181.60%,59.10%,47.74,46.88,0.30%,-17.62%,96.60%,-0.08%,1.86%,1.76,8.50%,23.70%,7.60%,1.4,1.4,0.81,0.81,33.30%,10.40%,6.80%,-1.54%,5.58%,-2.61%,15.70%,62.40%,62.29%,0.26,4.95,3.32%,3.63%,-2.04%,1.99%,14.76%,-10.74%,19.17%,-10.74%,66.76%,49.9,0.38%,0.05%,1.7,493.13,1.01,111.23,0.42%,498513,11/4/2021 4:30:00 PM,133.33,11/13/2001,111.23,0.00%,78.0,87,1.27,111.23,113.68,108.99,97.12,66.7,124.62,20.0,19.87,61.666666666666664,True
351,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,33909.79,16.04,12.07,0.64,2.63,6.06,4.35,269.13,1.52%,22.90%,18.54,-12.30%,10.68%,7.60%,25.18%,-0.40%,859.90%,-3.60%,116.4,111.63,0.30%,-18.73%,85.10%,-1.95%,2.07%,4.45,1.30%,39.30%,6.00%,,,0.88,4.19,42.30%,22.20%,17.40%,0.53%,-2.57%,11.48%,15.00%,53.88%,53.01%,1.61,7.4,2.13%,2.33%,-0.45%,1.18%,13.46%,-4.59%,13.28%,-4.59%,62.89%,50.74,-0.56%,0.72%,1.9,520.23,1.21,297.81,0.15%,631552,10/26/2021 4:30:00 PM,338.22,9/15/2005,297.81,0.00%,72.0,84,1.21,297.81,298.73,295.0,262.87,182.83,312.14,26.0,13.57,60.666666666666664,True
358,AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,USA,4534.7,63.6,44.63,3.87,4.07,6.27,79.42,,,0.00%,1.28,18.30%,27.94%,127.30%,16.45%,10.40%,-18.80%,-3.10%,51.46,30.99,3.10%,-22.04%,86.70%,2.22%,4.33%,3.98,3.50%,10.80%,8.20%,1.4,1.4,0.49,0.6,19.50%,7.90%,5.90%,-7.08%,-11.56%,17.12%,36.73%,93.24%,56.07%,0.62,4.69,5.53%,4.71%,-9.52%,1.97%,28.63%,-20.03%,42.96%,-20.03%,116.07%,40.92,-1.24%,1.17%,1.7,337.44,0.47,81.46,-0.09%,160121,11/1/2021 4:30:00 PM,88.18,7/22/2010,81.46,0.00%,78.0,92,1.45,81.46,89.3,80.35,63.45,37.7,101.86,30.0,8.25,66.66666666666667,True
