date,DVN,portfolio
2022-01-21,2500.0,2500.0
2022-01-24,2619.796343796208,2619.796343796208
2022-01-25,2778.62096209281,2778.62096209281
2022-01-26,2807.3505049304467,2807.3505049304467
2022-01-27,2804.640225321898,2804.640225321898
2022-01-28,2794.3408733159026,2794.3408733159026
2022-01-31,2741.2186072202494,2741.2186072202494
2022-02-01,2849.0894726015486,2849.0894726015486
2022-02-02,2885.9498542648307,2885.9498542648307
2022-02-03,2873.4821958595644,2873.4821958595644
2022-02-04,2865.893330243197,2865.893330243197
2022-02-07,2850.7155990104616,2850.7155990104616
2022-02-08,2774.826529284626,2774.826529284626
2022-02-09,2825.2385157717304,2825.2385157717304
2022-02-10,2830.659281769907,2830.659281769907
2022-02-11,2933.1093811530295,2933.1093811530295
2022-02-14,2832.8273813880983,2832.8273813880983
2022-02-15,2787.293980908813,2787.293980908813
2022-02-16,2919.01559633885,2919.01559633885
2022-02-17,2994.9046660646854,2994.9046660646854
2022-02-18,2969.4275828259547,2969.4275828259547
2022-02-22,2855.0520050279233,2855.0520050279233
2022-02-23,2902.7537119064796,2902.7537119064796
2022-02-24,2859.3886178264647,2859.3886178264647
2022-02-25,2992.194386456137,2992.194386456137
2022-02-28,3227.99222767821,3227.99222767821
2022-03-01,3211.7303432458393,3211.7303432458393
2022-03-02,3179.206574381098,3179.206574381098
2022-03-03,3190.047692815292,3190.047692815292
2022-03-04,3229.076380877845,3229.076380877845
2022-03-07,3246.422418509851,3246.422418509851
2022-03-08,3224.197794870026,3224.197794870026
2022-03-09,3194.9262788231113,3194.9262788231113
2022-03-10,3283.2828001731336,3283.2828001731336
2022-03-11,3178.6643943907407,3178.6643943907407
