no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
389,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,41931.72,54.09,38.45,2.96,15.13,10.6,12.38,45.86,,0.00%,2.46,-24.90%,24.78%,36.70%,18.27%,22.60%,32.20%,23.70%,307.46,225.42,0.10%,-88.99%,65.40%,-0.17%,1.74%,1.72,15.50%,21.90%,17.90%,5.1,4.4,0.0,0.0,63.90%,30.80%,28.30%,-3.95%,1.91%,42.08%,44.27%,68.43%,-7.35%,1.21,4.49,3.64%,3.47%,-3.24%,1.77%,34.52%,-10.36%,32.66%,-10.36%,103.27%,48.57,1.15%,0.10%,2.3,2273.8,0.49,133.18,1.25%,1107873,11/1/2021 4:30:00 PM,135.51,6/6/2014,133.46,0.21%,59.0,93,1.36,133.18,137.69,131.48,99.29,65.52,148.57,17.0,1.75,56.333333333333336,True
696,AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,USA,42260.7,19.38,17.1,1.38,2.79,,43.97,14.62,,0.00%,103.26,32.30%,10.63%,18.50%,14.00%,6.60%,38.10%,16.30%,20.99,20.52,0.40%,-50.42%,95.30%,0.29%,2.12%,2.77,15.90%,-126.70%,63.10%,0.8,0.2,,,52.60%,20.40%,15.10%,-3.81%,-0.10%,19.30%,26.65%,56.06%,-4.55%,0.89,51.88,2.48%,2.30%,-1.69%,3.42%,21.40%,-5.17%,13.21%,-5.17%,79.99%,49.64,-0.58%,0.00%,2.3,157.31,0.88,2000.98,-0.58%,138733,12/7/2021 8:30:00 AM,2194.94,4/2/1991,2004.7,0.19%,59.0,90,1.26,2000.98,2036.06,1939.15,1651.11,1111.71,2110.0,17.0,9.69,55.333333333333336,True
1262,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,USA,35546.74,24.52,18.66,2.23,1.36,4.43,12.84,18.02,,0.00%,4.29,-41.00%,6.45%,6.40%,11.00%,17.00%,134.80%,20.40%,335.37,332.46,0.50%,-39.32%,98.50%,0.11%,1.41%,3.48,7.90%,19.50%,6.80%,1.4,1.4,0.24,0.42,22.00%,5.40%,5.60%,-4.55%,1.52%,7.40%,26.10%,67.01%,-2.98%,1.43,2.74,2.96%,2.43%,-0.37%,1.66%,12.25%,-5.15%,11.25%,-5.15%,73.73%,50.68,1.59%,0.22%,2.1,1344.81,0.75,105.28,1.82%,1008581,10/28/2021 8:30:00 AM,128.17,6/10/2004,105.25,-0.03%,66.0,93,1.35,105.28,105.73,103.59,93.93,60.6,111.0,20.0,21.74,59.666666666666664,True
1631,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,107311.17,24.88,10.62,,2.96,2.52,10.21,18.63,1.82%,51.00%,3.36,-139.20%,33.64%,6.80%,-1.80%,-8.60%,526.20%,158.20%,1332.29,1317.83,0.10%,-10.33%,80.40%,0.04%,1.15%,1.97,5.90%,11.60%,-3.50%,1.9,1.8,0.42,0.45,46.70%,17.70%,12.90%,8.60%,13.74%,13.87%,44.95%,76.28%,15.81%,1.59,2.34,3.14%,2.84%,14.15%,14.50%,33.80%,2.99%,26.54%,2.99%,110.55%,74.69,2.21%,0.93%,1.8,7696.03,1.1,83.59,3.16%,8461470,2/3/2022 8:30:00 AM,91.8,1/13/1978,83.57,-0.02%,75.0,94,1.42,83.59,73.85,73.19,62.62,39.7,83.77,13.0,9.82,60.666666666666664,True
2173,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,33356.04,28.8,9.49,1.15,3.74,3.74,14.37,12.12,0.88%,26.40%,1.73,3855.60%,55.19%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.77,0.20%,-7.70%,90.40%,-1.83%,2.62%,1.58,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,4.49%,14.69%,31.14%,91.10%,168.85%,13.05%,3.03,2.01,4.37%,4.42%,14.29%,17.80%,59.91%,0.10%,40.08%,0.10%,229.03%,69.55,1.26%,1.40%,1.8,10630.65,1.23,49.8,2.68%,13113576,11/2/2021 4:30:00 PM,51.64,3/17/1992,49.73,-0.14%,75.0,98,2.04,49.8,44.01,43.25,32.42,16.11,50.11,28.0,3.69,67.0,True
2628,EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,USA,29366.39,39.04,37.73,6.51,19.53,9.39,447.66,81.85,2.38%,77.10%,5.38,14.70%,5.73%,18.90%,6.00%,11.60%,59.40%,20.30%,133.81,131.04,0.60%,-45.45%,96.00%,0.02%,1.67%,3.36,7.50%,25.00%,7.90%,,,1.87,1.87,74.00%,57.20%,47.50%,-5.20%,0.65%,18.91%,21.87%,87.72%,-7.35%,0.36,5.24,2.71%,2.31%,-3.43%,1.14%,19.60%,-8.20%,9.39%,-8.20%,91.98%,44.96,0.30%,0.45%,2.2,650.02,0.85,210.06,0.74%,554947,10/27/2021 4:30:00 PM,221.29,8/12/2004,210.06,0.00%,63.0,95,1.51,210.06,217.38,207.94,176.02,109.42,228.84,16.0,5.35,58.0,True
2654,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,22925.77,64.54,7.29,1.06,4.14,1.96,50.17,7.97,1.61%,82.70%,1.93,269.40%,51.72%,-27.70%,60.66%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.48%,89.00%,0.28%,3.28%,2.16,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,4.33%,11.85%,13.05%,47.03%,97.80%,15.31%,2.47,5.05,4.06%,4.10%,13.12%,13.22%,36.61%,-0.26%,30.88%,-0.26%,129.87%,66.82,1.75%,0.72%,1.9,2733.23,1.25,124.36,2.48%,3406912,11/1/2021 4:30:00 PM,135.03,10/12/2012,124.36,0.00%,72.0,96,1.6,124.36,110.82,110.18,91.28,56.13,124.92,23.0,8.58,63.666666666666664,True
2711,FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,USA,61094.81,16.35,12.11,0.57,2.89,4.73,7.96,9.35,0.70%,8.50%,2.63,344.60%,15.60%,15.30%,28.90%,-0.60%,321.30%,58.00%,1469.0,1459.85,0.20%,-8.66%,78.10%,0.16%,1.86%,1.54,8.80%,33.60%,7.00%,2.5,1.8,0.66,0.72,36.80%,36.70%,18.40%,1.99%,12.04%,24.21%,24.54%,38.72%,3.02%,2.07,1.4,4.10%,3.21%,6.72%,9.88%,14.85%,-1.67%,21.78%,-6.75%,73.98%,64.22,3.29%,0.00%,2.1,17641.76,0.98,42.99,3.29%,17246382,10/21/2021 8:30:00 AM,42.56,7/10/1995,42.94,-0.12%,66.0,83,1.12,42.99,40.55,39.23,37.49,24.71,46.1,15.0,-1.0,54.666666666666664,True
2809,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,33242.66,13.56,14.61,,6.35,1.68,0.87,,2.45%,30.30%,3.62,-45.10%,-10.17%,-1.80%,-2.98%,6.70%,24.20%,-2.80%,697.46,674.83,0.20%,-1.57%,84.10%,0.28%,1.42%,2.25,1.30%,12.50%,12.30%,,,0.56,0.56,,97.20%,49.60%,5.33%,12.09%,13.31%,31.22%,54.15%,12.63%,1.42,1.17,2.32%,2.29%,10.68%,11.35%,20.11%,-0.73%,21.50%,-0.73%,73.63%,74.69,-0.06%,0.57%,1.9,4281.65,0.94,49.05,0.51%,4021240,1/20/2022 8:30:00 AM,49.36,3/17/1980,49.3,0.51%,72.0,89,1.24,49.05,44.65,44.16,40.9,28.25,49.41,19.0,0.63,60.0,True
4797,LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,USA,26843.56,,137.28,,7.06,,5.8,34.97,,,-4.19,67.00%,130.60%,22.50%,,-23.80%,107.80%,1366.60%,216.89,150.41,1.70%,0.00%,75.20%,2.85%,9.02%,5.9,-7.60%,142.30%,-36.60%,1.2,1.2,,,32.90%,-15.70%,-23.60%,-3.91%,3.69%,15.93%,43.32%,58.10%,-3.08%,1.31,4.75,4.61%,4.20%,1.06%,3.46%,24.41%,-9.20%,17.77%,-9.20%,76.08%,52.78,0.85%,-0.26%,2.2,2297.99,0.75,116.0,0.59%,1718047,11/4/2021 4:30:00 PM,115.0,12/14/2005,116.0,0.00%,63.0,91,1.28,116.0,115.15,112.42,93.41,65.88,127.75,21.0,-0.86,58.333333333333336,True
