,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return,rank
9,LSI,23.665308216045826,"Life Storage, Inc.",117.99,131.16,591.63,5.01,657.11,11.07,1.0
10,AFG,9.695789583111692,"American Financial Group, Inc.",123.13,136.34,242.39,1.97,268.59,10.81,2.0
2,LH,2.197266345174137,Laboratory Corporation of America Holdings,301.65,265.49,54.93,0.18,47.79,-13.0,3.0
5,DHR,22.352736775874934,Danaher Corporation,308.47,262.52,558.82,1.81,475.16,-14.97,4.0
6,UTHR,13.916744492559959,United Therapeutics Corporation,204.34,173.0,347.92,1.7,294.1,-15.47,5.0
8,EVC,3.538600459423948,Entravision Communications Corporation,7.22,6.02,88.47,12.25,73.74,-16.65,6.0
1,CLAR,9.614703664128347,Clarus Corporation,28.69,23.14,240.37,8.38,193.91,-19.33,7.0
3,BBCP,0.622251144922902,"Concrete Pumping Holdings, Inc.",8.9,7.17,15.56,1.75,12.55,-19.34,8.0
7,TGT,8.223685369119073,Target Corporation,261.14,206.97,205.59,0.79,163.51,-20.47,9.0
4,NAVI,2.2965617370915647,Navient Corporation,21.69,16.63,57.41,2.65,44.07,-23.24,10.0
0,CDMO,3.876352212547618,"Avid Bioservices, Inc.",28.32,18.58,96.91,3.42,63.54,-34.43,11.0
