"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",46220.47,39.09,31.87,2.79,7.31,9.46,32.37,45.14,0.51%,24.40%,3.95,-31.60%,14.09%,12.00%,14.00%,5.70%,35.30%,25.80%,303.00,302.58,0.30%,-7.59%,90.30%,0.01%,1.44%,2.87,9.20%,19.00%,8.90%,2.10,1.60,0.55,0.58,53.90%,18.10%,14.60%,-1.28%,-2.20%,-10.95%,5.03%,31.45%,30.23%,1.00,4.23,2.38%,2.74%,-2.66%,-3.18%,1.79%,-8.98%,3.08%,-16.02%,34.08%,42.70,-2.27%,-0.01%,,1520.28,1.31,150.80,-2.27%,1992518,11/22/2021 4:30:00 PM,177.31,11/18/1999,150.80,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",9767.38,11.87,8.12,,0.87,2.46,6.73,217.05,0.78%,0.00%,4.29,85.00%,1.88%,28.00%,,-3.70%,769.80%,31.50%,187.00,184.14,0.10%,-48.95%,77.50%,-1.59%,5.28%,1.17,5.60%,23.00%,5.60%,1.50,0.90,0.44,0.44,22.00%,12.60%,7.30%,4.96%,0.67%,3.16%,51.79%,129.91%,121.13%,2.41,2.71,6.04%,5.12%,9.96%,8.38%,28.55%,-8.65%,21.57%,-8.65%,203.99%,60.99,1.13%,2.02%,1.80,8303.99,1.49,52.59,3.18%,12410212,10/14/2021 4:30:00 PM,59.02,10/18/2016,52.77,0.34%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34%,-4.59%,1.32%,0.28%,-4.22%,-6.65%,,0.16,0.64%,0.78%,0.34%,0.17%,0.37%,-3.69%,2.64%,-7.97%,7.19%,52.55,0.73%,0.45%,,234.89,1.17,17.89,1.19%,274193,,,8/15/2018,17.88,-0.06%
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1221.23,43.66,,,,1.31,1356.92,,,,0.22,,,,,,,,125.00,100.00,,,67.60%,11.78%,0.07%,0.25,,,,1.70,1.70,0.00,0.00,,,,-0.31%,-0.61%,0.31%,0.20%,,-0.91%,,0.03,0.25%,0.32%,-0.31%,-0.34%,-0.16%,-0.91%,0.31%,-2.30%,2.84%,41.03,-0.20%,0.10%,,286.51,0.52,9.77,-0.10%,150201,,,3/25/2021,9.77,0.00%
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",42.08,,,,1.41,1.40,3.57,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.50%,5.25%,0.08%,0.51,-17.50%,-49.20%,-48.20%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,-5.63%,-37.96%,-51.45%,-54.58%,11.67%,12.61%,1.74,0.16,16.09%,10.98%,-18.85%,-35.99%,-54.80%,-55.17%,17.81%,-93.42%,17.81%,28.88,-6.47%,3.73%,1.50,45.24,0.57,1.30,-2.99%,25903,11/10/2021 4:30:00 PM,32.50,1/29/2008,1.27,-2.31%
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",201.92,,,,,1950.00,,,,,,,,,,,,,20.71,,25.41%,0.00%,,,,0.00,,,,,,,,,,,-0.20%,0.00%,,,,0.00%,,0.07,0.17%,0.41%,-0.04%,-0.05%,-0.05%,-1.42%,4.39%,-1.42%,4.39%,,0.00%,0.00%,,92.98,0.06,9.75,0.00%,5954,,,11/10/2021,,
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,2002.00,,,,,,,,,,,,,,,,,87.84%,,,0.02,,,,,,,,,,,-0.20%,1.32%,,,,2.14%,,0.06,0.02%,0.52%,0.37%,0.89%,1.07%,-4.75%,2.35%,-4.75%,2.77%,58.85,0.00%,0.20%,,118.38,0.00,10.03,0.20%,73,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,99.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.43%,-0.01%,,,,-0.01%,,0.03,7.45%,5.89%,-3.46%,-3.33%,-3.33%,-18.35%,8.84%,-18.35%,8.84%,,2.06%,-3.99%,,70.65,0.06,0.49,-2.01%,4062,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",532.45,,,,5324.54,1.62,3.30,,,,-11.63,82.30%,48.40%,30.90%,,,-705.00%,,20.89,12.38,0.10%,0.00%,54.40%,418.41%,1.33%,1.21,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,17.13%,8.16%,-9.31%,-8.34%,50.35%,74.90%,1.45,2.02,7.63%,10.40%,11.90%,1.82%,-2.08%,-21.85%,35.47%,-49.00%,77.48%,58.78,-2.23%,1.05%,1.70,136.54,1.97,25.40,-1.21%,268506,,50.00,8/8/2017,25.40,0.00%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.67%,-6.15%,-8.67%,-9.39%,4.93%,1.00%,,0.78,0.68%,0.87%,-0.50%,-2.79%,-4.08%,-5.92%,2.45%,-9.99%,6.75%,45.56,-1.27%,2.81%,,2.81,0.74,62.43,1.51%,2070,,,7/21/2010,62.72,0.46%
