no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,258496.35,34.58,11.84,8.43,4.69,18.96,21.1,24.07,3.88%,133.00%,4.2,11.50%,-13.34%,21.91%,4.10%,17.00%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.58%,69.70%,1.97%,0.91%,2.1,4.40%,49.90%,19.60%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,-0.41%,9.15%,22.20%,20.66%,35.35%,7.29%,0.78,3.05,2.04%,2.01%,2.63%,6.25%,21.15%,-2.08%,16.03%,-2.08%,42.35%,64.87,1.13%,-2.12%,7676.67,1.57,145.27,-1.02%,12069180,2/2/2022 8:30:00 AM,149.45,12/10/2012,145.47,0.14%,69.0,90,1.21,145.27,142.1,137.11,120.06,102.05,148.35,14.0,2.88,57.666666666666664,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,28956.11,17.9,11.91,1.73,0.13,118.84,8.18,16.11,1.33%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-44.49%,65.70%,1.02%,1.13%,1.57,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,-3.41%,5.19%,11.48%,16.74%,34.04%,3.74%,0.46,3.27,1.98%,2.36%,-0.85%,2.79%,11.67%,-4.41%,13.93%,-4.41%,36.89%,49.85,0.21%,-1.36%,1084.09,1.67,137.86,-1.15%,1807855,2/2/2022 8:30:00 AM,153.92,4/4/1995,137.29,-0.41%,63.0,90,1.2,137.86,139.41,134.43,123.55,100.71,144.22,13.0,11.65,55.333333333333336,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,49849.13,9.48,9.9,0.31,1.05,0.77,22.68,9.59,2.12%,11.60%,6.37,257.40%,14.68%,77.40%,30.69%,-0.30%,478.80%,45.60%,833.65,829.46,0.10%,-1.74%,91.40%,-2.44%,0.98%,1.6,1.60%,14.50%,11.70%,,,0.46,0.46,,28.10%,19.60%,0.07%,3.73%,2.51%,9.92%,37.38%,6.19%,1.3,2.06,3.31%,3.18%,0.26%,2.86%,10.51%,-4.97%,16.45%,-4.97%,38.39%,51.02,1.74%,-3.56%,5103.75,1.23,60.38,-1.88%,6276327,2/16/2022 4:30:00 PM,65.62,4/3/1972,59.68,-1.16%,63.0,91,1.23,60.38,60.36,58.83,54.69,43.63,63.54,14.0,8.68,56.0,True
690,AXP,American Express Company,Financial,Credit Services,USA,143633.83,18.85,16.59,0.55,3.35,6.52,6.74,12.33,0.91%,17.20%,9.99,166.10%,17.14%,12.30%,34.57%,3.50%,24.50%,28.80%,768.0,758.29,0.10%,-39.00%,87.00%,-2.10%,1.33%,2.37,4.20%,32.80%,5.50%,,,1.74,5.65,68.60%,25.00%,18.50%,-5.06%,8.80%,10.24%,13.34%,37.40%,15.13%,1.11,5.44,2.83%,2.70%,-0.03%,7.65%,11.11%,-5.61%,23.23%,-5.61%,40.78%,54.42,4.54%,-4.65%,4253.74,1.38,188.35,-0.32%,5885808,1/25/2022 8:30:00 AM,196.6,4/4/1972,188.0,-0.19%,56.0,91,1.23,188.35,189.05,175.47,169.68,133.79,199.55,13.0,4.38,53.333333333333336,True
935,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,29833.47,,16.65,,1.46,1.55,6.1,32.22,2.51%,,-0.36,98.20%,35.61%,46.90%,50.90%,15.80%,-56.50%,-0.20%,899.0,818.52,0.10%,-98.95%,88.90%,4.85%,8.21%,7.69,-0.60%,-1.30%,2.90%,1.7,1.2,0.4,0.41,19.70%,7.00%,-1.10%,-3.33%,2.83%,20.88%,28.44%,16.13%,19.37%,1.47,1.22,3.96%,4.10%,2.74%,8.80%,17.76%,-4.60%,26.16%,-4.60%,53.17%,57.32,-2.68%,1.58%,8735.05,1.36,28.72,-1.14%,11865676,1/20/2022 8:30:00 AM,32.41,10/3/1961,28.71,-0.03%,69.0,78,1.04,28.72,28.01,26.48,24.41,18.75,30.11,1.0,12.85,49.333333333333336,True
1649,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,117686.29,14.46,11.27,8.14,2.57,2.54,21.5,12.64,1.73%,32.50%,6.07,342.80%,-13.67%,32.60%,1.78%,13.70%,376.60%,175.40%,1318.95,1317.17,0.10%,-19.84%,78.80%,-1.93%,1.30%,2.09,9.30%,18.30%,10.80%,1.3,1.2,0.41,0.44,48.20%,25.10%,17.60%,-2.75%,0.71%,19.24%,57.04%,65.89%,21.54%,1.43,3.41,3.95%,3.45%,-3.17%,6.32%,29.40%,-7.58%,33.17%,-7.58%,83.85%,49.04,-2.52%,2.01%,8167.61,1.41,87.73,-0.57%,11504069,2/3/2022 8:30:00 AM,102.29,1/13/1978,87.7,-0.03%,75.0,96,1.48,87.73,90.63,82.9,68.1,47.85,94.93,6.0,16.6,59.0,True
1792,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,18254.15,25.45,6.51,0.34,10.86,3.82,239.24,61.19,2.02%,47.80%,0.87,-69.30%,16.97%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.27%,94.50%,69.70%,3.55%,3.46,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,-2.75%,9.29%,5.90%,53.09%,21.44%,17.05%,-0.21,1.02,5.18%,4.22%,-1.56%,4.56%,18.17%,-8.82%,20.94%,-8.82%,60.81%,49.76,-4.63%,0.47%,8193.83,1.85,22.24,-4.18%,15144194,2/23/2022 4:30:00 PM,27.56,2/8/1990,22.23,-0.04%,59.0,79,1.05,22.24,22.69,21.3,19.16,14.28,24.39,30.0,23.92,56.0,True
1840,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,260318.5,16.58,14.58,,1.67,1.9,43.16,,3.97%,279.00%,8.13,-291.90%,-11.93%,-26.20%,-4.90%,-6.10%,,77.30%,1918.01,1897.83,0.04%,-64.07%,67.60%,0.35%,1.22%,1.83,1.50%,2.70%,-2.10%,1.3,1.0,0.27,0.27,42.70%,2.80%,2.30%,0.41%,1.70%,15.95%,36.89%,31.75%,14.91%,1.15,3.77,3.12%,2.54%,-0.04%,6.21%,21.45%,-3.29%,21.78%,-3.29%,45.22%,55.63,-2.06%,1.58%,12696.11,1.74,134.85,-0.52%,22091845,1/28/2022 8:30:00 AM,141.26,6/24/1921,134.6,-0.19%,63.0,89,1.18,134.85,135.01,127.35,111.17,92.86,139.44,5.0,4.75,52.333333333333336,True
2190,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,35337.22,12.61,9.46,1.18,2.97,3.76,15.56,9.94,0.83%,7.90%,4.18,161.70%,-1.38%,32.10%,10.72%,3.40%,,233.80%,660.0,641.02,0.80%,-2.20%,86.00%,-6.71%,2.69%,1.38,13.50%,31.90%,19.70%,1.4,1.4,0.73,0.73,49.00%,27.00%,23.40%,-2.04%,2.91%,25.51%,88.99%,162.90%,19.75%,2.85,2.91,5.94%,5.04%,0.16%,9.07%,48.01%,-9.10%,48.38%,-9.10%,176.55%,53.91,-1.77%,0.28%,12487.28,1.69,52.75,-1.49%,21046088,2/15/2022 4:30:00 PM,56.02,3/17/1992,52.55,-0.38%,75.0,99,2.21,52.75,52.71,48.6,36.73,20.14,58.03,24.0,6.2,66.0,True
2440,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,64984.32,21.29,10.35,0.29,4.19,2.94,15.14,12.88,2.72%,31.00%,5.17,-122.20%,23.15%,33.90%,73.84%,4.80%,,105.70%,585.09,583.05,0.30%,1.82%,87.70%,-0.64%,1.14%,1.53,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,-1.49%,2.95%,22.78%,63.92%,61.63%,23.94%,1.8,4.57,4.40%,3.72%,-1.66%,8.64%,30.00%,-5.87%,36.48%,-5.87%,79.90%,53.24,-2.57%,2.42%,4340.16,1.56,110.1,-0.21%,6771440,2/25/2022 8:30:00 AM,117.52,10/4/1989,110.0,-0.09%,69.0,95,1.39,110.1,112.09,101.83,86.46,62.81,116.97,18.0,6.74,60.666666666666664,True
