"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",45381.69,37.87,28.06,2.70,7.18,8.33,28.81,42.77,0.52%,19.10%,3.94,71.00%,9.79%,22.90%,14.00%,8.50%,102.30%,11.90%,304.70,302.06,0.20%,-19.58%,90.50%,-0.02%,1.33%,2.64,11.70%,24.30%,14.70%,2.20,1.70,0.51,0.51,53.90%,21.30%,19.10%,-7.31%,-3.04%,-3.99%,-0.61%,18.20%,-6.60%,1.00,3.90,2.97%,2.31%,-3.99%,-4.50%,-0.97%,-10.00%,0.95%,-16.96%,32.59%,38.57,0.18%,0.17%,2.00,1529.85,1.50,149.12,0.35%,2298277,11/22/2021 4:30:00 PM,177.31,11/18/1999,149.12,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",10868.19,13.61,9.43,,0.97,2.82,7.48,241.52,0.68%,0.00%,4.29,85.00%,1.76%,28.00%,,-3.70%,769.80%,31.50%,187.00,184.14,0.10%,-49.71%,77.50%,-1.61%,6.03%,1.28,5.60%,23.00%,5.60%,1.50,0.90,0.44,0.44,22.00%,12.60%,7.30%,-1.28%,24.52%,24.23%,56.12%,131.67%,-1.90%,2.46,2.74,4.60%,4.80%,5.76%,15.38%,36.46%,-6.64%,35.11%,-6.64%,237.86%,61.62,-0.93%,0.77%,2.20,8650.91,0.50,58.45,-0.17%,4335978,1/19/2022 4:30:00 PM,59.02,10/18/2016,58.66,0.36%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.61%,0.17%,1.78%,-1.20%,-6.72%,-2.26%,,0.16,0.64%,0.64%,-0.58%,-0.96%,-0.62%,-4.33%,1.83%,-7.80%,6.47%,45.15,-0.11%,-1.17%,,201.17,0.96,17.77,-1.28%,193213,,,8/15/2018,17.78,0.06%
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1220.00,59.51,,,,1.30,1355.56,,,,0.16,,,,,,,,125.00,100.00,,,67.60%,11.76%,0.10%,0.37,,,,1.70,1.70,0.00,0.00,,,,0.21%,-0.31%,0.00%,-0.41%,,0.21%,,0.03,0.32%,0.25%,-0.08%,-0.38%,-0.24%,-1.01%,0.31%,-2.40%,2.74%,45.91,-0.31%,0.00%,,269.74,0.14,9.76,-0.31%,38330,,,3/25/2021,9.75,-0.10%
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",60.27,,,,2.02,2.06,5.11,,,,-0.41,40.00%,-6.30%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.50%,5.42%,0.10%,0.07,-17.50%,-49.20%,-48.10%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,90.38%,29.41%,-12.78%,-27.47%,56.08%,84.96%,1.60,0.30,40.73%,18.88%,43.11%,13.28%,-25.38%,-25.00%,98.00%,-89.97%,98.00%,59.32,5.88%,-18.70%,1.00,408.07,5.01,1.98,-13.91%,2044022,11/10/2021 4:30:00 PM,32.50,1/29/2008,1.92,-3.03%
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",214.52,,,,,,306.46,,,,,0.00%,,0.00%,,,,,21.89,16.29,25.41%,0.00%,42.00%,240.03%,0.01%,0.02,,,,4.40,4.40,,,,,,-0.16%,0.20%,,,,0.10%,,0.06,0.30%,0.29%,-0.02%,0.20%,0.20%,-1.11%,4.93%,-1.11%,4.93%,49.65,-0.20%,-0.63%,,75.43,5.94,9.80,-0.83%,447937,,,11/10/2021,9.80,0.00%
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,,,,,,,,,,,,,,,,,,87.84%,,,0.02,,,,,,,,,,,1.21%,0.15%,2.03%,,,0.00%,,0.08,0.14%,0.53%,0.14%,0.67%,0.95%,-4.75%,2.35%,-4.75%,2.77%,52.18,0.00%,-0.57%,,67.63,0.00,10.03,-0.57%,100,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,119.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.56%,19.10%,,,,6.43%,,0.04,3.76%,9.26%,15.51%,16.00%,16.00%,-11.08%,32.30%,-11.08%,32.30%,60.29,6.34%,1.82%,,66.21,0.04,0.60,8.27%,2740,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",485.92,,,,4859.22,1.42,3.01,,,,-11.63,82.30%,-30.90%,30.90%,,,-705.00%,,9.51,,0.10%,0.00%,54.40%,347.87%,,1.30,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,-9.21%,7.12%,-15.97%,-39.79%,33.22%,-6.50%,1.48,1.48,5.70%,6.25%,-7.23%,-7.17%,-13.13%,-30.52%,20.43%,-54.66%,57.78%,42.27,-0.48%,0.00%,2.00,180.69,0.73,22.58,-0.48%,131714,,50.00,8/8/2017,22.58,0.00%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.68%,0.65%,0.43%,-4.59%,5.79%,-0.93%,,0.71,0.84%,0.70%,0.75%,-0.26%,-2.22%,-4.08%,4.66%,-8.22%,8.85%,51.28,0.07%,0.41%,,2.54,0.96,63.66,0.48%,2449,,,7/21/2010,,
