no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
17,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,14721.47,23.7,17.89,1.42,1.34,4.6,24.35,22.36,1.71%,25.10%,9.88,4.40%,10.26%,2.20%,16.70%,0.70%,25.90%,3.10%,62.85,62.08,0.20%,-2.41%,,-1.64%,4.89%,4.94,5.50%,19.10%,11.80%,1.2,0.3,0.32,0.0,45.10%,8.00%,5.90%,1.78%,-1.82%,16.38%,16.67%,48.50%,48.64%,1.26,6.06,2.35%,2.48%,1.04%,3.39%,13.90%,-3.67%,14.06%,-3.67%,63.55%,54.11,-2.35%,-0.12%,2.2,614.84,1.49,234.12,-2.47%,913439,11/15/2021 4:30:00 PM,254.06,11/29/2001,234.12,0.00%,63.0,82,1.16,234.12,231.47,226.96,205.9,143.15,243.05,17.0,8.52,54.0,True
23,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2482.55,5.04,6.65,0.5,0.65,0.95,,3.36,,0.00%,17.07,218.90%,-26.13%,115.40%,10.00%,12.00%,40.70%,25.50%,29.02,27.16,0.60%,-19.51%,,1.18%,13.78%,6.75,8.20%,20.50%,7.80%,0.8,0.8,0.64,0.9,57.00%,16.90%,13.20%,-1.19%,0.86%,14.30%,17.64%,55.91%,57.88%,1.12,2.75,2.39%,2.91%,-3.05%,1.35%,17.88%,-9.36%,12.28%,-9.36%,71.47%,46.91,-0.57%,-0.69%,2.0,554.35,0.64,86.11,-1.25%,353674,11/3/2021 8:30:00 AM,105.57,7/21/2004,86.11,0.00%,69.0,86,1.23,86.11,88.84,85.01,73.2,50.22,95.0,26.0,22.6,60.333333333333336,True
78,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,2181.3,28.03,18.2,1.4,3.77,4.16,8.05,22.15,,0.00%,2.26,190.80%,30.19%,24.70%,20.00%,9.50%,155.80%,60.10%,33.54,32.68,2.50%,-6.25%,89.40%,0.81%,2.23%,2.1,11.80%,15.70%,9.80%,4.2,2.7,0.09,0.09,43.20%,16.40%,13.40%,-0.06%,3.73%,28.80%,52.10%,123.59%,117.75%,1.49,3.32,5.38%,4.80%,-0.71%,11.46%,38.97%,-9.14%,40.47%,-9.14%,128.09%,53.06,-4.19%,0.27%,1.8,348.11,1.2,63.41,-3.92%,418937,11/3/2021 4:30:00 PM,78.33,7/11/2000,63.0,-0.65%,75.0,96,1.74,63.41,63.96,57.2,45.75,28.03,69.79,20.0,23.53,63.666666666666664,True
79,ACM,AECOM,Industrials,Engineering & Construction,USA,10512.13,37.31,19.02,2.04,0.79,3.9,8.55,18.49,,0.00%,1.97,83.70%,15.42%,26.20%,18.29%,-5.20%,-87.10%,-6.00%,143.81,140.52,0.20%,-17.23%,88.60%,-0.84%,1.70%,2.62,1.40%,6.20%,11.00%,1.1,1.1,0.8,0.82,6.00%,4.70%,1.30%,2.34%,3.98%,13.96%,15.79%,52.50%,47.57%,1.48,1.93,1.87%,2.60%,1.77%,6.68%,12.67%,-3.27%,18.68%,-3.27%,57.61%,57.88,-0.77%,1.38%,1.6,907.5,1.08,73.46,0.60%,977335,11/15/2021 8:30:00 AM,84.44,5/10/2007,72.92,-0.74%,81.0,86,1.23,73.46,72.32,69.0,65.27,46.61,75.94,20.0,14.95,62.333333333333336,True
81,ACN,Accenture plc,Technology,Information Technology Services,Ireland,250726.76,41.26,33.61,3.41,4.96,12.25,30.68,40.69,0.93%,37.80%,9.15,16.00%,10.96%,7.30%,12.11%,7.70%,10.30%,23.80%,633.52,633.22,0.10%,-9.19%,73.90%,0.07%,0.56%,1.7,14.40%,31.50%,29.90%,1.3,1.3,0.0,0.0,32.40%,15.10%,11.70%,4.28%,3.14%,10.86%,31.98%,53.65%,44.60%,1.13,7.12,1.43%,1.87%,3.02%,6.43%,20.54%,-0.58%,19.53%,-0.58%,56.26%,61.63,-0.45%,0.00%,2.1,2099.28,1.35,377.72,-0.45%,2823632,12/16/2021 8:30:00 AM,383.96,7/19/2001,378.0,0.07%,66.0,85,1.21,377.72,366.99,355.97,313.95,241.73,381.15,28.0,1.65,59.666666666666664,True
131,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,992.66,658.06,31.15,286.12,1.84,2.73,12.71,,1.76%,997.50%,0.03,104.40%,151.92%,-33.00%,2.30%,-3.30%,-289.50%,3.80%,48.61,48.14,1.50%,0.34%,93.10%,-0.83%,3.14%,4.45,0.30%,0.50%,-0.30%,2.6,1.7,0.0,0.0,40.40%,-2.00%,0.30%,-0.78%,-1.78%,5.43%,-4.81%,44.99%,38.12%,1.31,0.82,3.51%,3.90%,-3.19%,3.06%,3.24%,-9.73%,17.04%,-17.61%,47.08%,47.98,-2.49%,-0.43%,1.9,339.52,0.88,20.4,-2.90%,299900,11/1/2021 4:30:00 PM,26.67,8/10/1994,20.4,0.00%,72.0,79,1.12,20.4,21.04,19.83,19.77,13.87,24.76,25.0,30.74,58.666666666666664,True
252,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,35210.39,36.45,28.57,2.7,4.43,4.15,12.87,35.08,1.14%,39.30%,4.63,19.40%,7.91%,15.30%,13.50%,5.40%,18.30%,15.60%,207.0,205.46,0.30%,-5.85%,85.10%,-0.37%,0.86%,1.86,3.70%,12.70%,9.80%,1.3,1.3,0.6,0.65,36.50%,15.20%,11.80%,0.81%,3.76%,16.42%,16.79%,40.75%,36.46%,0.69,3.15,1.44%,1.93%,1.88%,3.99%,16.25%,-1.38%,13.57%,-1.38%,49.50%,59.07,-0.37%,-0.09%,2.3,954.58,1.0,168.81,-0.47%,957077,10/28/2021 4:30:00 PM,178.58,6/20/1984,168.81,0.00%,59.0,77,1.09,168.81,165.85,162.66,145.44,112.92,171.18,13.0,5.79,49.666666666666664,True
327,AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,USA,7491.41,,102.04,,24.66,14.3,16.68,496.12,,,-0.83,-27.30%,22.79%,-22.50%,,-6.80%,54.10%,58.30%,36.44,34.76,5.20%,-4.42%,84.10%,3.50%,3.57%,1.6,-9.50%,-11.40%,-13.40%,6.2,5.8,0.0,0.0,62.10%,-18.40%,-18.20%,1.32%,2.13%,34.65%,88.98%,123.10%,114.93%,1.12,14.48,7.19%,6.72%,2.02%,8.41%,56.84%,-13.29%,34.71%,-13.29%,138.95%,52.52,-5.45%,0.44%,2.3,773.62,0.72,197.35,-5.03%,556790,11/30/2021 4:30:00 PM,218.0,10/10/2012,199.07,0.87%,59.0,95,1.7,197.35,193.53,182.91,126.22,82.59,227.59,13.0,10.46,55.666666666666664,True
334,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,169061.66,41.42,40.18,1.17,11.38,22.76,46.86,57.04,,0.00%,3.23,604.70%,26.38%,34.80%,35.32%,19.60%,133.20%,54.00%,1214.0,1202.52,0.50%,-17.62%,70.50%,0.96%,5.96%,1.37,38.90%,59.90%,40.90%,2.2,1.7,0.0,0.04,46.80%,19.90%,26.70%,-3.78%,-8.36%,26.55%,66.27%,45.99%,45.89%,1.93,7.71,4.29%,4.83%,-10.61%,1.43%,33.43%,-18.64%,34.04%,-18.64%,84.55%,41.8,-3.23%,-0.21%,2.3,52436.64,0.8,133.8,-3.43%,41941930,10/26/2021 4:30:00 PM,141.5,10/15/1979,133.84,0.03%,59.0,78,1.1,133.8,148.97,132.54,100.51,72.5,164.46,15.0,5.75,50.666666666666664,True
355,AMRC,"Ameresco, Inc.",Industrials,Engineering & Construction,USA,4538.59,63.65,44.66,3.87,4.07,6.28,79.48,,,0.00%,1.28,18.30%,27.94%,127.30%,16.45%,10.40%,-18.80%,-3.10%,51.46,30.99,3.10%,-22.04%,86.70%,2.22%,3.48%,3.22,3.50%,10.80%,8.20%,1.4,1.4,0.49,0.6,19.50%,7.90%,5.90%,-0.61%,-15.13%,16.07%,31.87%,86.94%,56.20%,0.62,4.36,3.74%,4.64%,-8.62%,1.56%,28.60%,-19.89%,43.21%,-19.89%,116.45%,41.25,0.07%,0.10%,1.7,334.02,0.76,81.6,0.17%,254829,11/1/2021 4:30:00 PM,88.18,7/22/2010,81.6,0.00%,78.0,92,1.43,81.6,88.51,80.75,63.56,37.7,101.86,30.0,8.06,66.66666666666667,True
