,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp500
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,14813.12,76.5,18.0,77,1.22,232.55,240.65,3.48,1.42%,5.92%,13.52%,21.13%,56.02%,49.63%,231.73,,200.0,142.59,243.05,57.166666666666664,True
15,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,34266.57,84.0,26.0,79,1.26,302.41,333.78,10.37,1.14%,6.81%,16.92%,22.37%,65.98%,58.84%,303.89,,256.65,179.77,312.15,63.0,True
22,APA,APA Corporation,Energy,Oil & Gas E&P,10745.54,71.5,14.0,94,1.86,27.66,32.73,18.33,-1.30%,9.99%,78.43%,42.27%,165.89%,108.74%,28.37,,20.91,10.89,31.14,59.833333333333336,True
39,BAC,Bank of America Corporation,Financial,Banks - Diversified,390070.53,71.5,14.0,82,1.32,46.51,47.58,2.3,0.43%,1.73%,15.42%,12.18%,70.70%,55.33%,47.37,,40.7,26.63,48.69,55.833333333333336,True
62,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,34761.35,79.0,17.0,82,1.31,100.55,123.33,22.66,-2.10%,1.71%,13.01%,22.26%,73.21%,65.48%,104.26,,88.66,56.56,107.88,59.333333333333336,True
77,COP,ConocoPhillips,Energy,Oil & Gas E&P,95517.24,86.5,13.0,85,1.39,71.97,86.78,20.58,-4.11%,-2.50%,35.70%,30.69%,90.76%,81.65%,74.18,,58.83,38.38,77.98,61.5,True
105,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,29498.52,86.5,24.0,97,2.38,42.29,47.69,12.77,-1.27%,7.18%,68.39%,75.49%,256.82%,182.80%,41.95,,28.46,12.66,44.79,69.16666666666667,True
115,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,37878.52,81.5,18.0,89,1.52,665.73,780.53,17.24,-6.42%,6.04%,7.88%,48.70%,107.86%,87.25%,673.72,,518.32,311.82,725.4,62.833333333333336,True
130,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,19747.56,86.5,28.0,95,2.08,107.24,128.29,19.63,-2.49%,0.84%,57.83%,41.40%,206.65%,127.64%,110.54,,84.64,36.46,117.71,69.83333333333333,True
136,FITB,Fifth Third Bancorp,Financial,Banks - Regional,30715.28,81.5,17.0,81,1.3,44.2,48.58,9.91,1.68%,1.77%,19.51%,7.53%,70.78%,62.60%,44.37,,39.35,25.0,45.92,59.833333333333336,True
141,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,54892.38,76.5,19.0,96,2.23,341.35,367.7,7.72,-2.31%,4.37%,16.50%,64.26%,192.16%,129.59%,335.03,,248.75,115.17,355.35,63.833333333333336,True
170,IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,50840.63,89.0,16.0,75,1.19,264.45,288.22,8.99,6.25%,7.68%,4.92%,14.97%,53.99%,49.32%,255.84,,233.09,165.52,269.0,60.0,True
175,JCI,Johnson Controls International plc,Industrials,Engineering & Construction,55291.31,79.0,22.0,83,1.33,79.59,83.39,4.77,4.29%,10.53%,10.01%,25.99%,75.68%,71.05%,75.05,,67.04,44.91,80.04,61.333333333333336,True
183,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,14689.77,74.0,19.0,77,1.22,23.83,25.07,5.2,1.38%,2.79%,11.60%,15.03%,54.76%,57.03%,23.35,,20.87,14.03,24.95,56.666666666666664,True
191,LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,16974.51,94.0,17.0,81,1.29,59.63,65.89,10.5,2.98%,6.28%,16.72%,18.69%,60.46%,67.57%,56.95,,48.65,34.11,59.67,64.0,True
210,MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,26206.63,86.5,14.0,85,1.38,563.55,603.29,7.05,4.07%,17.47%,25.78%,80.10%,88.23%,57.27%,540.93,,413.16,300.45,576.7,61.833333333333336,True
212,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,13056.15,74.0,19.0,95,2.16,16.09,19.5,21.19,-3.13%,1.77%,50.09%,44.01%,205.11%,150.67%,16.67,,12.52,5.37,17.59,62.666666666666664,True
219,NDAQ,"Nasdaq, Inc.",Financial,Financial Data & Stock Exchanges,35068.32,71.5,20.0,81,1.29,209.94,215.46,2.63,0.55%,4.17%,13.42%,31.71%,68.86%,59.69%,207.73,,175.17,122.86,214.96,57.5,True
254,PNC,"The PNC Financial Services Group, Inc.",Financial,Banks - Regional,87714.04,74.0,15.0,75,1.19,202.46,212.52,4.97,-0.73%,2.34%,10.76%,6.55%,62.74%,37.94%,209.47,,188.13,126.25,217.6,54.666666666666664,True
257,PVH,PVH Corp.,Consumer Cyclical,Apparel Manufacturing,8871.02,71.5,13.0,75,1.19,122.64,129.89,5.91,0.37%,12.57%,16.14%,9.41%,63.22%,31.28%,116.94,,107.8,75.1,125.42,53.166666666666664,True
258,PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,16962.8,86.5,16.0,83,1.33,118.5,133.75,12.87,1.08%,6.05%,24.16%,30.92%,72.30%,65.91%,118.38,,97.45,66.63,124.69,61.833333333333336,True
259,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,44634.3,84.0,27.0,86,1.43,180.25,222.39,23.38,-2.28%,-3.61%,28.61%,19.58%,93.30%,60.74%,186.96,,159.11,93.0,196.64,65.66666666666667,True
263,RF,Regions Financial Corporation,Financial,Banks - Regional,23281.21,71.5,20.0,75,1.19,24.03,25.84,7.53,-0.37%,7.44%,22.41%,6.97%,55.35%,50.43%,24.07,,21.16,14.98,24.78,55.5,True
264,RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,20649.9,86.5,18.0,79,1.27,98.54,118.62,20.38,-0.32%,-0.79%,10.69%,12.88%,70.28%,56.13%,100.39,,88.24,58.13,103.46,61.166666666666664,True
276,SCHW,The Charles Schwab Corporation,Financial,Capital Markets,153332.39,79.0,16.0,82,1.32,81.42,91.54,12.43,1.28%,1.56%,13.63%,14.89%,74.47%,54.24%,81.92,,71.02,46.25,84.49,59.0,True
282,SIVB,SVB Financial Group,Financial,Banks - Regional,44177.21,74.0,21.0,90,1.61,745.26,808.33,8.46,0.56%,8.41%,35.65%,34.06%,112.81%,94.58%,738.8,,582.09,337.83,763.22,61.666666666666664,True
284,SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,46160.79,84.0,20.0,76,1.2,32.06,39.66,23.71,-3.66%,-3.72%,22.68%,2.78%,64.12%,50.66%,33.27,,29.83,19.55,36.87,60.0,True
294,STX,Seagate Technology Holdings plc,Technology,Computer Hardware,22468.31,71.5,14.0,85,1.38,100.89,104.48,3.56,4.40%,27.60%,16.43%,4.12%,85.31%,66.76%,95.11,,85.81,54.53,116.93,56.833333333333336,True
319,TXT,Textron Inc.,Industrials,Aerospace & Defense,16658.33,79.0,17.0,79,1.27,75.42,86.0,14.03,-0.92%,3.44%,6.03%,13.88%,65.49%,56.69%,75.18,,65.58,44.34,78.13,58.333333333333336,True
325,URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,27594.74,74.0,42.0,83,1.34,379.73,391.47,3.09,-2.51%,8.96%,12.20%,18.77%,75.21%,64.58%,377.75,,329.95,209.16,414.99,66.33333333333333,True
338,WFC,Wells Fargo & Company,Financial,Banks - Diversified,199378.56,76.5,28.0,87,1.46,49.84,52.0,4.33,0.96%,1.90%,5.00%,9.10%,102.29%,66.90%,50.74,,44.58,24.97,52.57,63.833333333333336,True
348,ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,31962.15,76.5,19.0,81,1.29,605.83,624.5,3.08,1.56%,14.82%,8.58%,24.81%,74.87%,57.42%,568.38,,519.68,333.06,614.1,58.833333333333336,True
