no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,20_day_ma,50_day_ma,200_day_ma,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
79,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,2350.22,29.68,18.35,1.48,4.06,4.4,8.67,23.86,,0.00%,2.26,190.80%,36.73%,24.70%,20.00%,9.50%,155.80%,60.10%,33.54,32.69,2.40%,-6.38%,89.30%,-0.09%,2.96%,2.28,11.80%,15.70%,9.80%,4.2,2.7,0.09,0.09,43.20%,16.40%,13.40%,-12.56%,1.94%,38.24%,79.83%,118.17%,-9.97%,1.53,3.77,7.10%,5.28%,-2.45%,3.79%,38.34%,-13.49%,31.76%,-13.49%,135.96%,47.97,-1.80%,-0.45%,1.8,423.04,1.38,67.13,-2.24%,584636,11/3/2021 4:30:00 PM,79.33,7/11/2000,67.38,0.37%,75.0,95,1.48,67.4,69.47,65.69,49.11,33.36,77.6,19.0,17.7,63.0,True
389,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,41415.37,53.43,37.97,2.92,14.94,10.46,12.23,45.29,,0.00%,2.46,-24.90%,24.78%,36.70%,18.27%,22.60%,32.20%,23.70%,307.46,225.42,0.10%,-88.99%,65.40%,-0.17%,1.74%,1.72,15.50%,21.90%,17.90%,5.1,4.4,0.0,0.0,63.90%,30.80%,28.30%,-7.52%,2.24%,39.35%,42.21%,73.67%,-8.49%,1.21,4.58,3.86%,3.43%,-4.40%,0.97%,33.22%,-11.46%,31.32%,-11.46%,100.76%,46.05,2.22%,-0.62%,2.3,2272.87,1.05,131.54,1.59%,2388340,11/1/2021 4:30:00 PM,135.51,6/6/2014,131.56,0.02%,59.0,93,1.38,133.05,137.79,132.1,99.58,65.52,148.57,17.0,1.85,56.333333333333336,True
417,APA,APA Corporation,Energy,Oil & Gas E&P,USA,10669.46,18.55,5.58,,1.55,,28.3,3.72,1.70%,6.30%,1.59,-36.40%,28.38%,14.80%,,-7.40%,,83.80%,379.0,362.22,0.20%,-2.68%,88.90%,0.10%,3.61%,1.36,4.60%,-48.50%,-60.50%,1.2,0.9,,,64.30%,27.50%,8.70%,4.85%,13.02%,20.48%,45.86%,76.59%,9.41%,4.68,1.29,4.36%,4.51%,9.92%,7.90%,32.69%,-5.52%,28.25%,-5.52%,109.69%,61.19,-0.44%,-0.40%,2.4,9643.23,1.07,29.42,-0.84%,10357771,11/3/2021 4:30:00 PM,35.12,8/2/1963,29.45,0.10%,56.0,95,1.45,32.65,27.62,27.54,22.37,14.03,33.09,16.0,7.57,55.666666666666664,True
696,AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,USA,42507.38,19.49,17.2,1.39,2.81,,44.23,14.7,,0.00%,103.26,32.30%,10.63%,18.50%,14.00%,6.60%,38.10%,16.30%,20.99,20.52,0.40%,-50.42%,95.30%,0.29%,2.12%,2.78,15.90%,-126.70%,63.10%,0.8,0.2,,,52.60%,20.40%,15.10%,-1.59%,2.38%,20.22%,29.24%,59.05%,-3.99%,0.89,52.12,2.48%,2.29%,-1.09%,4.27%,22.33%,-4.61%,13.87%,-4.61%,81.04%,51.26,0.75%,-0.85%,2.3,156.98,0.93,2012.66,-0.10%,146759,12/7/2021 8:30:00 AM,2194.94,4/2/1991,1998.23,-0.72%,59.0,92,1.34,2052.88,2038.73,1944.62,1654.25,1111.71,2110.0,16.0,6.92,55.666666666666664,True
837,BFS,"Saul Centers, Inc.",Real Estate,REIT - Retail,USA,1290.24,37.02,,4.87,5.4,4.96,108.42,28.29,4.23%,146.90%,1.46,-20.50%,,-2.50%,7.60%,2.00%,55.10%,2.60%,23.69,12.98,0.80%,-22.02%,46.50%,0.12%,1.13%,4.04,2.00%,14.50%,3.80%,,,4.41,4.41,74.00%,23.90%,14.40%,0.50%,3.73%,17.11%,19.65%,68.25%,1.74%,1.07,1.28,2.34%,2.30%,3.12%,4.82%,16.81%,-2.70%,18.45%,-2.70%,81.92%,59.37,0.28%,0.06%,2.3,36.49,0.87,53.94,0.33%,31796,11/4/2021 4:30:00 PM,54.33,8/19/1993,53.94,0.00%,59.0,93,1.36,53.32,52.79,51.94,46.43,29.65,55.44,13.0,1.89,55.0,True
942,BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,USA,15867.58,10.71,12.0,0.57,0.89,2.92,70.62,19.37,,0.00%,7.38,40.30%,-27.34%,69.60%,18.80%,19.10%,309.50%,140.00%,204.27,188.56,0.90%,-2.59%,,0.04%,3.73%,2.82,16.30%,33.20%,16.20%,2.1,1.3,0.44,0.44,28.30%,11.10%,8.00%,-5.37%,1.62%,43.13%,86.65%,99.37%,-7.82%,2.3,3.05,4.27%,3.24%,-2.40%,7.39%,43.93%,-8.64%,38.49%,-8.64%,110.92%,49.97,2.01%,-1.50%,1.5,2497.15,1.13,79.01,0.48%,2823220,11/4/2021 8:30:00 AM,95.0,6/22/2005,79.0,-0.01%,84.0,97,1.64,81.18,81.3,74.88,55.41,37.46,86.48,17.0,17.02,66.0,True
1262,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,USA,34911.98,24.08,18.33,2.19,1.34,4.36,12.61,17.7,,0.00%,4.29,-41.00%,6.45%,6.40%,11.00%,17.00%,134.80%,20.40%,335.37,332.46,0.50%,-39.32%,98.50%,0.11%,1.41%,3.49,7.90%,19.50%,6.80%,1.4,1.4,0.24,0.42,22.00%,5.40%,5.60%,-4.85%,0.68%,5.85%,24.29%,66.13%,-4.71%,1.43,2.69,2.53%,2.32%,-2.16%,-0.19%,10.39%,-6.85%,9.27%,-6.85%,70.63%,45.65,-0.67%,-0.65%,2.1,1340.86,0.92,103.4,-1.32%,1238646,10/28/2021 8:30:00 AM,128.17,6/10/2004,103.89,0.48%,66.0,94,1.39,106.48,105.91,103.69,94.07,60.6,111.0,21.0,20.37,60.333333333333336,True
1332,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,825.49,,4.63,,0.67,1.69,5.1,4.2,,,-1.93,-113.30%,1153.66%,-15.30%,,-6.50%,,25.70%,34.48,33.81,1.96%,0.00%,79.90%,-2.46%,4.47%,2.81,-2.80%,-12.70%,2.50%,0.7,0.6,1.34,1.46,92.50%,7.10%,-5.70%,1.15%,12.36%,-29.93%,26.99%,192.51%,4.84%,2.56,1.26,4.85%,5.61%,3.44%,1.61%,16.97%,-18.96%,19.41%,-34.28%,224.39%,53.37,1.67%,-0.43%,2.0,538.97,0.5,23.81,1.23%,271106,11/2/2021 8:30:00 AM,29.33,11/14/2017,23.81,0.00%,69.0,99,2.09,24.41,23.74,23.29,20.66,7.99,36.23,32.0,20.16,66.66666666666667,True
1631,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,104024.69,24.12,10.29,,2.87,2.45,9.9,18.06,1.88%,51.00%,3.36,-139.20%,33.64%,6.80%,-1.80%,-8.60%,526.20%,158.20%,1332.29,1317.83,0.10%,-10.33%,80.40%,0.04%,1.15%,1.96,5.90%,11.60%,-3.50%,1.9,1.8,0.42,0.45,46.70%,17.70%,12.90%,9.84%,11.69%,9.54%,36.28%,78.64%,12.26%,1.59,2.29,3.20%,2.79%,11.23%,11.17%,29.98%,0.12%,22.66%,0.12%,104.11%,70.8,0.47%,0.01%,1.8,7745.8,1.18,81.03,0.48%,9120953,2/3/2022 8:30:00 AM,91.8,1/13/1978,81.03,0.00%,75.0,95,1.44,84.4,74.54,73.38,62.78,39.7,84.54,13.0,8.77,61.0,True
1738,CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,USA,12624.29,37.26,18.65,2.48,2.81,4.89,42.71,39.87,0.91%,29.80%,6.38,-28.40%,38.66%,3.90%,15.00%,3.70%,13.20%,24.50%,52.3,51.69,0.60%,-36.36%,90.80%,0.17%,0.78%,1.74,6.10%,15.10%,8.60%,2.4,1.8,1.15,1.15,27.30%,11.00%,8.30%,-3.05%,-0.78%,16.15%,23.25%,52.52%,-4.13%,1.09,5.01,2.09%,2.00%,-1.54%,0.20%,15.44%,-4.94%,7.76%,-4.94%,65.75%,46.69,0.19%,-0.60%,1.9,231.71,0.79,237.88,-0.41%,183216,10/21/2021 4:30:00 PM,266.0,6/1/1960,237.88,0.00%,72.0,90,1.27,243.71,241.87,238.35,207.17,143.52,250.23,17.0,9.15,59.666666666666664,True
