Company,Recommendations
OCCI,1.0
BTI,1.0
IZEA,1.0
JAGX,1.0
JBSS,1.0
EBR,1.0
JOUT,1.0
KE,1.0
SAL,1.0
STLA,1.0
TEF,1.0
BCS,1.0
CNXC,1.0
RRBI,1.0
LFC,1.0
LAUR,1.0
LEXX,1.0
STLA,1.0
RGCO,1.0
TEF,1.0
VVR,1.0
CNXC,1.0
LNSR,1.0
LOTZ,1.0
MIXT,1.0
DXPE,1.0
LYRA,1.0
PTSI,1.0
ANIK,1.0
MNSB,1.0
BCS,1.0
BBVA,1.0
CNXC,1.0
JBSS,1.0
FNCH,1.0
WINT,1.0
YI,1.0
GANX,1.0
GASS,1.0
VNDA,1.0
VNDA,1.0
EVAX,1.0
VRTV,1.0
VCNX,1.0
VBIV,1.0
UFPT,1.0
GTEC,1.0
EIGR,1.0
BBGI,1.0
EH,1.0
HNNA,1.0
HOFT,1.0
DXPE,1.0
TESS,1.0
HSTO,1.0
IEC,1.0
IEP,1.0
IIIIU,1.0
CVGI,1.0
CTG,1.0
SQFT,1.0
IMNM,1.0
SNY,1.0
ISSC,1.0
HJLI,1.0
PFMT,1.0
SWM,1.0
VVR,1.0
NOTV,1.0
OXBR,1.0
VRTV,1.0
XL,1.0
ANIK,1.0
AUVI,1.0
NVCN,1.0
NM,1.0
TCMD,1.2
GLTO,1.2
SIEN,1.2
PRGS,1.2
IDCC,1.2
GMTX,1.2
AMTI,1.2
SSSS,1.2
MASS,1.2
BNGO,1.2
LVTX,1.2
BOLT,1.2
IEA,1.2
AVEO,1.2
BDSX,1.2
RADA,1.2
ORGO,1.2
GRTX,1.2
RXDX,1.2
TITN,1.2
PRGS,1.2
TARS,1.2
LINC,1.2
IDCC,1.2
PSTX,1.2
TCMD,1.2
VRDN,1.2
VTGN,1.2
BNGO,1.2
OPT,1.2
VRNA,1.2
PRGS,1.2
ORGO,1.2
SIEN,1.2
CPLP,1.2
CNTG,1.2
IMTX,1.3
QNST,1.3
SMP,1.3
QNST,1.3
RDNT,1.3
SLNO,1.3
KIRK,1.3
VOD,1.3
PRDO,1.3
COGT,1.3
ALG,1.3
RDNT,1.3
RETA,1.3
RLMD,1.3
RETA,1.3
TH,1.3
PETQ,1.3
GSL,1.3
XENE,1.3
WLDN,1.3
CNTB,1.3
PETQ,1.3
COGT,1.3
CRY,1.3
SESN,1.3
PRDO,1.3
IIN,1.3
CUE,1.3
MSON,1.3
OBSV,1.3
GSL,1.3
AGEN,1.3
KIRK,1.3
MGRC,1.3
AMSWA,1.3
MREO,1.3
GNOG,1.3
KIRK,1.3
IMRA,1.3
QNST,1.3
IAA,1.3
SSKN,1.3
SIOX,1.4
ARDX,1.4
QFIN,1.4
QFIN,1.4
NLTX,1.4
AVDL,1.4
CERS,1.4
ATRC,1.4
CSTL,1.4
HURN,1.4
CALT,1.4
HLF,1.4
ACET,1.4
TARA,1.4
TA,1.4
STIM,1.4
CGEN,1.4
TGLS,1.4
IDYA,1.4
KFY,1.4
NCNA,1.4
ZNTL,1.4
ZIXI,1.4
GNCA,1.4
LOVE,1.4
