"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research",45435.48,47.37,0.51%,12.00%,5.70%,303.00,0.20%,-14.71%,90.30%,-0.04%,1.53%,20.40%,-6.22%,-2.05%,-12.51%,10.09%,32.99%,28.34%,0.99,2.42%,-4.29%,-4.49%,4.01%,-14.26%,3.94%,-15.31%,35.21%,37.17,2.00,152.07,-0.59%,1632227,175.88
"AA","Alcoa Corporation","Basic Materials","Aluminum",8990.63,11.16,0.83%,28.00%,-3.70%,187.00,0.10%,-52.45%,76.10%,-3.40%,4.51%,12.60%,0.52%,4.49%,8.66%,20.87%,135.40%,108.03%,2.41,4.54%,-0.45%,-2.07%,22.02%,-16.71%,7.80%,-16.71%,177.17%,47.99,2.20,47.95,-4.97%,7291156,59.19
"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-4.05%,-0.75%,-1.91%,-6.31%,-1.28%,-6.28%,,0.73%,-2.06%,-0.24%,-0.41%,-4.44%,3.65%,-8.69%,6.35%,40.81,,17.75,-0.17%,333542,
"AAC","Ares Acquisition Corporation","Financial","Shell Companies",1225.00,59.76,,,,125.00,,,67.60%,11.78%,0.08%,,-0.20%,-0.31%,1.03%,0.31%,,-0.71%,,0.41%,-0.28%,0.08%,0.15%,-0.61%,1.03%,-2.00%,3.16%,45.38,,9.80,-0.18%,278790,
"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services",59.05,,,-36.60%,-17.20%,31.19,18.70%,0.00%,17.50%,4.78%,0.16%,-53.20%,-11.34%,-24.56%,-35.34%,-42.28%,35.43%,44.54%,1.67,4.38%,-19.63%,-24.86%,-45.28%,-40.69%,1.17%,-91.29%,52.21%,21.80,1.00,1.72,-1.71%,16885,32.50
"AACI","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,25.41%,,,,,,-4.69%,,,,,-4.21%,,,-4.51%,-4.51%,-4.51%,-5.26%,-3.91%,-5.26%,-3.91%,,,9.34,-4.60%,214,
"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,,,41.98%,,,,0.20%,1.42%,,,,2.35%,,0.55%,0.70%,1.09%,1.18%,-0.40%,2.35%,-0.40%,2.77%,59.18,,10.03,0.30%,400,
"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,,,,,,,-3.85%,,,,,0.02%,,,-2.42%,-2.42%,-2.42%,-16.65%,0.02%,-16.65%,0.02%,,,0.50,-3.83%,5050,
"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology",445.72,,,30.90%,,9.51,0.10%,0.00%,54.40%,,,,-4.17%,-16.76%,-13.46%,-11.76%,-3.85%,53.06%,1.41,8.91%,-11.49%,-17.13%,-14.67%,-31.80%,4.60%,-54.82%,57.22%,38.28,2.00,22.50,-1.79%,105217,47.67
"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund",,,0.33%,,,,,,,,,,-5.12%,-5.48%,-9.70%,-5.71%,6.52%,0.95%,,0.62%,-5.50%,-5.27%,-5.87%,-8.72%,-1.17%,-11.38%,8.09%,26.20,,61.47,-2.63%,576,
"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage",117.09,,,7.90%,,31.93,3.10%,2.62%,34.90%,-22.64%,0.82%,,-0.27%,-4.87%,-1.07%,-8.85%,12.08%,-1.85%,1.76,1.60%,-2.43%,-2.58%,-5.65%,-8.17%,1.09%,-16.06%,16.30%,39.93,2.70,3.71,-1.07%,95523,4.62
"AAL","American Airlines Group Inc.","Industrials","Airlines",11558.98,,,-29.60%,-15.80%,648.56,0.10%,0.00%,56.40%,4.18%,14.91%,-11.40%,-8.46%,-6.73%,-12.22%,-26.77%,18.81%,12.56%,1.66,3.42%,-12.57%,-12.43%,-16.39%,-20.58%,-5.84%,-31.97%,28.16%,29.85,3.10,17.75,-8.79%,84177492,19.03
"AAMC","Altisource Asset Management Corporation","Financial","Asset Management",38.76,0.50,,-41.60%,,2.05,1.60%,0.00%,24.50%,-8.71%,1.51%,,-19.55%,-27.41%,27.99%,2.03%,-19.51%,-23.20%,1.10,5.18%,-24.33%,-25.15%,-10.69%,-33.05%,-4.08%,-43.21%,44.41%,25.42,,18.11,-4.38%,15643,
"AAME","Atlantic American Corporation","Financial","Insurance - Life",80.37,6.28,0.50%,24.30%,3.30%,20.40,2.90%,0.00%,5.80%,-10.84%,3.72%,8.80%,-3.05%,-0.37%,4.34%,-8.43%,92.11%,92.48%,0.21,5.06%,-5.92%,-4.93%,-5.08%,-13.61%,10.01%,-75.17%,96.29%,41.21,,3.97,-1.12%,5823,
