,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return,rank
1,TRNS,13.199666602712895,"Transcat, Inc.",63.1,73.0,329.99,5.23,381.79,15.7,1.0
9,LSI,18.685718321736662,"Life Storage, Inc.",120.75,131.16,467.14,3.87,507.59,8.66,2.0
2,NVDA,17.00507632230593,NVIDIA Corporation,222.42,221.0,425.13,1.91,422.11,-0.71,3.0
7,RPD,3.5853181820224114,"Rapid7, Inc.",120.97,102.51,89.63,0.74,75.86,-15.36,4.0
8,EFX,21.464753221542914,Equifax Inc.,272.98,223.9,536.62,1.97,441.08,-17.8,5.0
4,INTU,8.360997364601568,Intuit Inc.,568.27,439.32,209.02,0.37,162.55,-22.23,6.0
3,NAVI,1.0583088625399064,Navient Corporation,23.01,16.63,26.46,1.15,19.12,-27.74,7.0
5,NOTV,3.386997831850922,"Inotiv, Inc.",30.6,20.74,84.67,2.77,57.45,-32.15,8.0
6,BSY,3.544406036102537,"Bentley Systems, Incorporated",69.15,36.44,88.61,1.28,46.64,-47.36,9.0
0,EPAM,9.708757254584254,"EPAM Systems, Inc.",622.71,200.14,242.72,0.39,78.05,-67.84,10.0
