,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp500
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,15204.04,76.5,17.0,75,1.21,235.69,240.65,2.1,6.14%,12.29%,16.43%,20.93%,57.08%,53.58%,231.44,,199.61,142.59,243.05,56.166666666666664,True
12,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,138473.98,81.5,13.0,90,1.63,157.86,163.37,3.49,2.16%,18.76%,21.33%,28.29%,114.63%,81.08%,144.36,,131.63,73.06,159.0,61.5,True
15,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,34155.56,84.0,26.0,80,1.29,308.68,333.78,8.13,0.24%,6.14%,14.49%,21.72%,66.42%,58.33%,303.6,,256.14,179.77,312.14,63.333333333333336,True
23,APA,APA Corporation,Energy,Oil & Gas E&P,10741.92,71.5,14.0,94,1.99,29.62,32.73,10.5,-3.42%,12.29%,75.52%,36.64%,186.92%,108.67%,28.36,,20.85,10.72,31.14,59.833333333333336,True
39,BAC,Bank of America Corporation,Financial,Banks - Diversified,389821.95,71.5,15.0,81,1.31,47.08,47.58,1.06,-0.61%,1.47%,14.50%,11.60%,74.26%,55.23%,47.4,,40.63,26.63,48.69,55.833333333333336,True
63,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,35029.28,79.0,16.0,81,1.32,103.79,123.33,18.83,-1.35%,3.07%,12.56%,22.13%,80.86%,66.76%,104.34,,88.48,56.56,107.88,58.666666666666664,True
101,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,29328.72,86.5,24.0,97,2.54,43.43,47.69,9.81,-2.13%,7.68%,62.63%,68.10%,277.36%,181.17%,41.88,,28.34,12.27,44.79,69.16666666666667,True
111,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,37295.39,81.5,18.0,88,1.55,671.01,780.53,16.32,-7.92%,6.74%,6.50%,47.98%,98.18%,84.37%,671.83,,516.86,311.82,725.4,62.5,True
127,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,19925.0,86.5,28.0,96,2.27,110.18,128.29,16.44,-3.92%,2.67%,54.66%,38.96%,230.86%,129.69%,110.73,,84.42,34.7,117.71,70.16666666666667,True
132,FITB,Fifth Third Bancorp,Financial,Banks - Regional,30571.39,81.5,17.0,81,1.32,44.83,48.58,8.36,0.81%,2.34%,18.36%,6.21%,75.74%,61.84%,44.44,,39.28,25.0,45.92,59.833333333333336,True
138,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,53945.88,76.5,19.0,95,2.21,341.01,367.7,7.83,-4.57%,6.29%,12.22%,64.08%,189.10%,125.63%,334.63,,247.8,115.17,355.35,63.5,True
174,JCI,Johnson Controls International plc,Industrials,Engineering & Construction,54347.71,79.0,22.0,83,1.37,79.69,83.39,4.64,5.18%,9.86%,7.30%,22.72%,75.43%,68.13%,74.73,,66.9,44.11,80.01,61.333333333333336,True
182,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,14876.74,74.0,19.0,75,1.2,23.57,25.07,6.36,2.36%,6.04%,11.75%,14.87%,67.86%,59.03%,23.32,,20.83,14.03,24.95,56.0,True
190,LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,16922.77,94.0,17.0,77,1.24,59.05,65.89,11.58,2.33%,6.55%,17.60%,18.05%,63.35%,67.05%,56.75,,48.54,34.11,59.6,62.666666666666664,True
211,MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,25614.68,86.5,14.0,86,1.46,575.97,603.29,4.74,2.66%,17.03%,24.36%,81.95%,83.40%,53.72%,537.81,,412.17,299.83,576.7,62.166666666666664,True
213,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,13079.57,74.0,19.0,96,2.33,16.72,19.5,16.63,-2.73%,3.52%,45.78%,40.40%,231.03%,151.12%,16.69,,12.48,5.21,17.59,63.0,True
219,NDAQ,"Nasdaq, Inc.",Financial,Financial Data & Stock Exchanges,34697.73,71.5,20.0,81,1.31,211.97,215.46,1.65,-0.93%,3.31%,10.39%,29.51%,66.69%,58.00%,207.19,,174.83,122.23,214.96,57.5,True
259,PNC,"The PNC Financial Services Group, Inc.",Financial,Banks - Regional,87411.03,74.0,15.0,77,1.24,205.53,212.52,3.4,-1.61%,2.86%,9.09%,5.63%,66.82%,37.46%,209.98,,187.88,123.27,217.6,55.333333333333336,True
262,PVH,PVH Corp.,Consumer Cyclical,Apparel Manufacturing,8681.02,71.5,13.0,75,1.2,123.26,129.89,5.38,-1.62%,9.64%,13.05%,3.39%,72.09%,28.47%,116.37,,107.63,73.82,125.42,53.166666666666664,True
