date,DVN,portfolio
2022-01-27,2500.0,2500.0
2022-01-28,2490.81936435821,2490.81936435821
2022-01-31,2443.467242670698,2443.467242670698
2022-02-01,2539.6211668062956,2539.6211668062956
2022-02-02,2572.47777113159,2572.47777113159
2022-02-03,2561.36435068937,2561.36435068937
2022-02-04,2554.599788208369,2554.599788208369
2022-02-07,2541.0706632463666,2541.0706632463666
2022-02-08,2473.4246697953477,2473.4246697953477
2022-02-09,2518.360902642574,2518.360902642574
2022-02-10,2523.1928646436486,2523.1928646436486
2022-02-11,2614.5148267781715,2614.5148267781715
2022-02-14,2525.125465123575,2525.125465123575
2022-02-15,2484.5379059170646,2484.5379059170646
2022-02-16,2601.9519098958804,2601.9519098958804
2022-02-17,2669.5979033468993,2669.5979033468993
2022-02-18,2646.8881427431065,2646.8881427431065
2022-02-22,2544.9360485267225,2544.9360485267225
2022-02-23,2587.4563925336633,2587.4563925336633
2022-02-24,2548.8016181275825,2548.8016181275825
2022-02-25,2667.1820145066135,2667.1820145066135
2022-02-28,2877.3674770600232,2877.3674770600232
2022-03-01,2862.871959697806,2862.871959697806
2022-03-02,2833.8809249733713,2833.8809249733713
2022-03-03,2843.544480334514,2843.544480334514
2022-03-04,2878.333869460238,2878.333869460238
2022-03-07,2893.7957792226703,2893.7957792226703
2022-03-08,2873.9851958195227,2873.9851958195227
2022-03-09,2847.8931539752293,2847.8931539752293
2022-03-10,2926.6523835479647,2926.6523835479647
2022-03-11,2833.3976366130123,2833.3976366130123
