Company,Recommendations
PRDO,1.3
NCNA,1.4
HTGC,1.5
EVRI,1.5
NUVB,1.5
VIVO,1.5
DNMR,1.5
KNSA,1.6
LRN,1.6
VNET,1.6
ARAY,1.6
LX,1.6
BTRS,1.6
PRPL,1.7
APR,1.7
BZUN,1.8
DAO,1.8
NEX,1.9
NR,2.0
PRVB,2.0
HTBK,2.0
PING,2.0
PLYA,2.0
KOS,2.0
IMAX,2.0
ERF,2.0
NDLS,2.0
ACRE,2.0
RAAS,2.0
COE,2.0
APPH,2.0
BGFV,2.0
BNED,2.0
TTMI,2.0
SPH,2.0
BZH,2.0
IO,2.2
VLDR,2.2
SAND,2.2
EPAY,2.3
LPI,2.3
GPMT,2.4
DHT,2.4
REAL,2.4
NTGR,2.4
CHMA,2.4
FNKO,2.4
RGS,2.5
CBD,2.5
BRMK,2.5
SFL,2.5
MESO,2.5
FGEN,2.5
NS,2.6
GOL,2.6
YELL,2.7
AFIN,2.7
LC,2.7
LLNW,2.7
DK,2.7
TGI,2.7
INSG,2.8
DBI,2.8
BEST,2.8
CCO,2.9
SSYS,2.9
LTRPA,3.0
ELP,3.0
FSM,3.0
SPWH,3.0
CENX,3.0
GCP,3.0
QIWI,3.0
CANG,3.0
NFH,3.0
HYLN,3.0
BTU,3.0
WPG,3.0
GNW,3.0
NWHM,3.0
BGS,3.1
FOE,3.2
TCS,3.3
DHC,3.3
SKT,3.6
YPF,3.6
ORPH,4.0
INVA,4.0
MSC,4.0
GCI,4.3
CCLP,5.0
FHS,6.0
CAP,6.0
GSAH,6.0
HUT,6.0
INST,6.0
NCZ,6.0
ACTG,6.0
SCR,6.0
KNDI,6.0
