Company,Recommendations
CNXC,1.0
SONY,1.0
NVMI,1.5
BTRS,1.6
VNET,1.6
ADI,1.7
ZEN,1.7
WIX,1.7
CD,1.7
HUBS,1.7
MGIC,1.7
MPWR,1.8
BAND,1.8
INTU,1.8
QTWO,1.8
MU,1.9
PD,1.9
PTC,1.9
KEYS,1.9
NVDA,1.9
SMTC,1.9
CRSR,1.9
GLW,1.9
AAPL,2.0
RAAS,2.0
TEAM,2.0
ZBRA,2.0
QCOM,2.0
LRCX,2.0
ZS,2.0
DQ,2.0
AMAT,2.0
NXPI,2.1
MKSI,2.1
LAZR,2.1
LOGI,2.1
OKTA,2.1
DDOG,2.2
QRVO,2.2
VICR,2.2
ZM,2.2
MXL,2.2
KLIC,2.2
LFUS,2.2
AMD,2.3
COUP,2.3
KLAC,2.3
NCNO,2.3
SWKS,2.3
TXN,2.4
FSLR,2.6
HPQ,2.6
AI,2.7
CSOD,2.7
FSLY,3.0
IRBT,3.0
UI,3.3
DCBO,6.0
INST,6.0
YMM,6.0
LSPD,6.0
