,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp1500
3,APA,APA Corporation,Energy,Oil & Gas E&P,11637.76,56.0,17.0,96,1.52,32.6,35.12,7.73,8.34%,28.62%,22.39%,78.48%,74.88%,19.34%,29.26,,22.66,14.03,34.4,56.333333333333336,True
14,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,846.29,69.0,32.0,99,2.2,25.5,29.33,15.02,3.21%,18.09%,-23.96%,34.05%,156.41%,7.49%,24.25,,20.9,7.99,36.23,66.66666666666667,True
19,COP,ConocoPhillips,Energy,Oil & Gas E&P,107349.69,75.0,13.0,96,1.57,87.08,91.8,5.42,6.54%,18.31%,13.23%,50.67%,74.68%,15.85%,77.81,,63.44,39.7,89.11,61.333333333333336,True
28,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,33248.87,75.0,29.0,99,2.07,49.7,51.64,3.9,2.63%,23.05%,28.98%,101.72%,160.45%,12.69%,46.6,,33.11,16.11,51.99,67.66666666666667,True
29,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,1898.63,63.0,17.0,97,1.7,66.8,67.75,1.42,5.27%,9.56%,24.72%,37.57%,92.39%,2.99%,61.83,,50.08,29.21,67.94,59.0,True
30,ENVA,"Enova International, Inc.",Financial,Credit Services,1589.5,69.0,20.0,93,1.35,41.88,44.5,6.26,6.31%,13.53%,21.57%,35.10%,64.35%,6.93%,41.63,,35.68,22.01,44.43,60.666666666666664,True
31,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,58073.7,69.0,11.0,95,1.44,104.84,113.03,7.81,6.78%,19.58%,15.24%,41.21%,69.82%,14.83%,95.23,,81.85,50.08,107.99,58.333333333333336,True
34,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,22874.15,72.0,22.0,98,1.74,125.46,135.03,7.63,0.35%,19.23%,14.01%,58.35%,100.36%,15.05%,116.55,,92.53,56.13,131.75,64.0,True
37,FBP,First BanCorp.,Financial,Banks - Regional,3181.12,69.0,12.0,93,1.32,16.08,23.3,44.9,3.69%,22.70%,19.05%,40.47%,54.44%,16.11%,14.79,,12.99,8.88,16.62,58.0,True
40,FITB,Fifth Third Bancorp,Financial,Banks - Regional,33574.74,72.0,17.0,91,1.26,48.54,49.36,1.69,2.42%,14.89%,14.17%,36.10%,52.24%,13.75%,46.34,,41.18,28.25,50.64,60.0,True
42,GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,Auto Parts,6731.79,63.0,17.0,97,1.67,22.74,24.29,6.82,4.92%,14.33%,23.49%,50.42%,97.89%,9.99%,21.93,,18.73,10.36,24.89,59.0,True
45,HES,Hess Corporation,Energy,Oil & Gas E&P,27620.65,63.0,11.0,89,1.22,91.5,107.21,17.17,6.29%,18.94%,0.74%,18.65%,42.07%,22.40%,81.96,,79.08,53.43,94.51,54.333333333333336,True
46,HMST,"HomeStreet, Inc.",Financial,Banks - Regional,1140.45,59.0,16.0,91,1.25,55.38,56.17,1.43,1.93%,14.42%,32.58%,47.66%,53.93%,8.79%,53.76,,44.16,32.75,57.4,55.333333333333336,True
54,LPI,"Laredo Petroleum, Inc.",Energy,Oil & Gas E&P,1177.51,53.0,15.0,99,2.06,68.97,91.7,32.96,-5.91%,16.37%,-8.14%,16.97%,152.67%,16.56%,68.44,,62.19,22.62,99.26,55.666666666666664,True
58,LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,26350.66,63.0,21.0,90,1.23,113.21,115.0,1.58,-4.58%,5.25%,13.41%,45.00%,55.28%,-4.86%,117.31,,94.1,65.88,127.75,58.0,True
63,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,44516.92,75.0,13.0,93,1.33,73.84,76.25,3.26,4.23%,17.09%,9.66%,37.29%,60.63%,14.27%,68.23,,60.89,42.32,75.88,60.333333333333336,True
65,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,14290.91,63.0,21.0,98,1.87,19.23,20.53,6.76,3.00%,22.33%,15.06%,58.04%,114.19%,13.09%,17.5,,13.74,7.2,20.01,60.666666666666664,True
72,OFG,OFG Bancorp,Financial,Banks - Regional,1477.33,69.0,9.0,90,1.23,29.9,32.67,9.26,3.03%,22.39%,15.72%,43.90%,45.79%,12.80%,28.14,,24.54,16.0,30.93,56.0,True
73,OMI,"Owens & Minor, Inc.",Healthcare,Medical Distribution,3381.46,63.0,19.0,94,1.38,45.36,51.67,13.91,4.74%,16.13%,41.10%,5.26%,69.49%,5.75%,44.63,,39.54,23.58,49.16,58.666666666666664,True
76,OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,31463.08,53.0,7.0,92,1.31,36.24,41.16,13.58,4.24%,18.82%,6.75%,31.65%,40.88%,17.80%,31.93,,28.67,19.46,37.0,50.666666666666664,True
79,PDCE,"PDC Energy, Inc.",Energy,Oil & Gas E&P,5482.56,69.0,25.0,98,1.83,54.07,69.87,29.22,2.08%,16.49%,10.17%,42.56%,116.70%,12.94%,52.32,,45.35,21.53,59.0,64.0,True
82,PTEN,"Patterson-UTI Energy, Inc.",Energy,Oil & Gas Drilling,2144.9,66.0,12.0,92,1.28,10.12,11.15,10.18,2.37%,21.12%,10.47%,20.39%,44.40%,17.40%,9.36,,8.5,5.66,11.27,56.666666666666664,True
86,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,50421.58,72.0,25.0,94,1.37,217.75,229.15,5.24,4.52%,16.78%,10.22%,49.57%,59.24%,13.98%,194.43,,166.63,115.15,218.28,63.666666666666664,True
89,ROCC,Ranger Oil Corporation,Energy,Oil & Gas E&P,1421.07,69.0,13.0,99,2.09,30.58,46.0,50.43,-3.78%,11.36%,-4.17%,63.43%,125.45%,12.56%,29.15,,23.05,9.82,35.31,60.333333333333336,True
92,SBNY,Signature Bank,Financial,Banks - Regional,21941.86,78.0,14.0,98,1.89,352.95,378.28,7.18,0.74%,21.79%,21.36%,54.80%,128.48%,12.89%,341.07,,274.44,146.1,374.76,63.333333333333336,True
93,SCHW,The Charles Schwab Corporation,Financial,Capital Markets,174619.66,69.0,18.0,92,1.28,91.28,97.06,6.33,2.91%,15.58%,19.55%,35.55%,57.39%,11.03%,88.89,,75.52,50.77,95.62,59.666666666666664,True
96,SM,SM Energy Company,Energy,Oil & Gas E&P,4436.3,56.0,29.0,100,3.16,33.3,44.08,32.37,0.87%,18.89%,18.28%,82.08%,291.22%,17.84%,32.25,,24.32,7.76,38.25,61.666666666666664,True
103,TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,12994.81,78.0,18.0,96,1.57,56.75,66.71,17.55,2.79%,13.31%,3.44%,38.18%,83.81%,9.32%,54.15,,46.32,26.65,58.33,64.0,True
105,VBTX,"Veritex Holdings, Inc.",Financial,Banks - Regional,2116.79,78.0,13.0,89,1.21,41.9,46.5,10.98,1.28%,11.01%,6.38%,31.44%,47.25%,7.72%,40.95,,37.16,24.51,45.36,60.0,True
