no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,259012.37,34.65,11.86,8.45,4.69,19.0,21.15,24.12,3.87%,133.00%,4.2,11.50%,-13.34%,21.91%,4.10%,17.00%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.58%,69.70%,1.97%,0.91%,2.15,4.40%,49.90%,19.60%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,1.79%,10.29%,25.22%,21.95%,36.97%,7.50%,0.78,3.02,2.05%,2.16%,3.83%,7.13%,21.69%,-1.13%,19.21%,-1.13%,42.64%,69.14,2.08%,-1.00%,7522.48,1.53,145.56,1.06%,11546836,2/2/2022 8:30:00 AM,149.45,12/10/2012,145.21,-0.24%,69.0,91,1.21,145.56,140.86,136.31,119.76,102.05,147.22,12.0,2.67,57.333333333333336,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29523.22,18.25,12.15,1.76,0.13,121.17,8.34,16.42,1.31%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-44.93%,65.70%,1.02%,1.13%,1.55,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,0.27%,6.87%,16.63%,17.45%,32.02%,5.77%,0.46,3.13,1.92%,2.45%,1.73%,5.36%,14.02%,-2.54%,17.29%,-2.54%,39.57%,58.6,-0.76%,0.10%,1095.06,0.9,140.56,-0.66%,985381,2/2/2022 8:30:00 AM,153.92,4/4/1995,140.56,0.00%,63.0,90,1.2,140.56,138.62,133.79,123.38,100.71,144.22,13.0,9.5,55.333333333333336,True
212,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,4004.86,16.36,15.93,5.45,4.73,0.66,39.65,,1.54%,24.40%,3.48,4.40%,0.99%,-10.00%,3.00%,-15.80%,-77.50%,-32.90%,72.7,66.34,0.20%,-12.45%,91.70%,-4.66%,2.68%,3.97,1.60%,4.20%,4.30%,,,0.27,0.27,,34.50%,32.30%,-1.27%,10.28%,7.13%,14.79%,30.94%,13.47%,1.13,1.53,2.12%,2.81%,2.70%,8.18%,13.97%,-4.81%,26.75%,-4.81%,45.88%,57.29,0.48%,-0.89%,447.2,0.99,56.96,-0.42%,442917,2/24/2022 4:30:00 PM,61.0,4/23/2004,56.96,0.00%,78.0,89,1.17,56.96,55.72,52.82,50.02,41.1,59.84,37.0,7.09,68.0,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,50864.6,9.67,10.1,0.32,1.07,0.78,23.14,9.79,2.08%,11.60%,6.37,257.40%,14.68%,77.40%,30.69%,-0.30%,478.80%,45.60%,833.65,829.46,0.10%,-0.84%,91.40%,-2.44%,0.98%,1.59,1.60%,14.50%,11.70%,,,0.46,0.46,,28.10%,19.60%,4.44%,7.48%,12.12%,13.76%,38.86%,8.35%,1.3,1.93,2.79%,3.44%,2.94%,5.46%,12.97%,-3.04%,18.82%,-3.04%,46.43%,57.56,-0.63%,0.44%,5135.35,1.12,61.61,-0.19%,5749547,2/16/2022 4:30:00 PM,65.62,4/3/1972,62.0,0.63%,63.0,91,1.22,61.61,60.06,58.56,54.59,43.63,63.54,15.0,6.51,56.333333333333336,True
363,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1239.75,36.1,17.6,1.44,3.0,2.91,10.82,27.86,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.86,0.60%,-32.27%,62.50%,4.81%,5.25%,7.01,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,0.19%,5.45%,27.25%,36.15%,46.88%,12.07%,0.69,1.08,2.63%,5.10%,1.87%,7.57%,25.27%,-4.61%,23.52%,-4.61%,54.35%,55.03,-0.57%,0.15%,276.09,0.84,26.1,-0.42%,230947,,28.25,6/25/2014,26.1,0.00%,53.0,94,1.28,26.1,25.69,24.36,20.87,16.91,27.36,12.0,8.24,53.0,True
369,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA,787.15,3.82,10.05,,0.1,1.93,40.57,4.68,,0.00%,17.88,312.90%,-13.72%,68.70%,,2.30%,125.40%,28.20%,11.38,8.44,8.00%,-10.33%,43.90%,2.24%,2.32%,2.14,15.40%,51.30%,17.20%,1.5,0.6,0.23,1.18,3.40%,2.70%,2.30%,-7.14%,18.90%,1.83%,47.07%,152.34%,11.73%,-0.48,2.93,3.60%,4.75%,2.31%,9.71%,19.78%,-11.34%,25.36%,-15.64%,168.98%,53.8,-2.26%,-0.95%,91.55,0.88,68.27,-3.19%,80642,2/8/2022 4:30:00 PM,93.5,3/17/2014,68.05,-0.32%,69.0,99,2.23,68.27,67.17,62.35,57.88,26.24,80.93,55.0,36.96,74.33333333333333,True
393,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,1303.96,13.56,14.98,1.69,0.1,1.28,6.01,,1.81%,26.00%,2.94,-69.00%,-5.57%,18.80%,8.00%,13.90%,,59.00%,33.28,30.77,2.60%,-25.42%,81.30%,4.05%,1.61%,2.58,2.20%,9.00%,0.00%,1.4,0.9,0.53,0.9,4.70%,1.00%,0.70%,2.73%,6.52%,8.97%,28.64%,50.34%,2.92%,0.71,1.44,5.04%,3.81%,4.35%,4.72%,20.93%,-3.88%,16.15%,-3.88%,59.94%,59.85,1.79%,0.05%,191.45,2.13,39.84,1.84%,406976,2/15/2022 4:30:00 PM,45.75,2/20/1996,39.84,0.00%,69.0,94,1.29,39.84,38.26,38.15,32.99,25.07,41.45,16.0,14.83,59.666666666666664,True
449,APR,"Apria, Inc.",Healthcare,Medical Instruments & Supplies,USA,1324.22,18.62,20.32,,1.16,56.45,6.12,17.45,,0.00%,2.0,195.30%,8.65%,18.20%,,0.30%,268.70%,3.80%,35.31,34.63,2.00%,-93.33%,88.97%,-1.10%,4.11%,2.37,10.50%,,14.00%,1.2,1.2,15.2,16.55,70.40%,9.30%,6.50%,0.13%,0.27%,25.24%,-1.17%,74.93%,14.29%,,0.12,0.26%,0.32%,0.02%,7.53%,14.27%,-1.11%,30.39%,-6.85%,85.65%,64.87,0.00%,0.03%,600.34,0.64,37.26,0.03%,382568,,38.33,2/11/2021,37.25,-0.03%,75.0,98,1.58,37.26,37.26,34.78,32.65,20.07,40.0,11.0,2.87,61.333333333333336,True
468,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,6135.65,,6.09,,1.33,1.11,,3.78,,,-0.63,87.00%,-2.79%,26.80%,,22.90%,,82.90%,313.98,273.59,1.70%,-24.22%,76.70%,-1.12%,7.41%,2.72,-1.40%,-3.40%,-0.60%,0.3,0.3,0.37,0.37,72.40%,-2.70%,-4.00%,1.14%,20.04%,12.05%,66.69%,128.36%,16.40%,4.14,1.3,8.63%,6.73%,2.34%,8.11%,23.26%,-8.90%,27.47%,-8.90%,153.67%,53.61,-9.47%,3.78%,7449.02,1.49,20.37,-6.04%,11075617,2/16/2022 4:30:00 PM,29.19,10/10/2013,20.59,1.08%,63.0,99,2.06,20.37,20.04,18.9,16.57,8.03,22.64,17.0,43.3,59.666666666666664,True
478,ARCH,"Arch Resources, Inc.",Energy,Thermal Coal,USA,1779.41,6.24,2.64,,0.81,2.54,5.24,,0.88%,1.10%,18.11,184.40%,124.57%,-17.40%,,2.30%,330.40%,123.40%,15.39,14.99,1.40%,-0.78%,,6.71%,33.17%,9.58,17.70%,79.50%,29.20%,1.7,1.4,0.5,0.83,28.50%,16.60%,15.30%,-0.19%,23.43%,45.25%,64.10%,100.05%,23.80%,0.85,6.05,6.34%,6.02%,7.02%,16.50%,43.62%,-9.74%,41.00%,-9.74%,189.74%,62.9,-2.12%,1.97%,518.72,0.95,113.05,-0.19%,494685,2/15/2022 8:30:00 AM,143.17,10/5/2016,113.05,0.00%,69.0,99,1.8,113.05,106.62,97.6,79.02,39.02,125.25,7.0,26.64,58.333333333333336,True
