,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_russell_3k
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,14674.31,76.5,18.0,79,1.2,233.37,254.06,8.87,0.35%,0.35%,11.76%,23.71%,55.76%,48.16%,231.94,,201.83,143.15,243.05,57.833333333333336,True
1,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,2735.93,81.5,26.0,84,1.29,94.18,105.57,12.09,6.31%,15.02%,28.63%,24.61%,67.10%,72.68%,87.22,,71.37,50.22,95.0,63.833333333333336,True
3,ABCB,Ameris Bancorp,Financial,Banks - Regional,3769.22,84.0,17.0,78,1.17,53.2,59.43,11.71,1.35%,-1.90%,9.85%,-3.43%,48.52%,39.74%,53.67,,51.59,33.86,59.85,59.666666666666664,True
6,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2169.41,86.5,19.0,95,1.84,64.72,68.5,5.84,2.70%,27.25%,33.69%,57.97%,137.50%,122.25%,60.71,,44.21,26.82,65.16,66.83333333333333,True
8,ADNT,Adient plc,Consumer Cyclical,Auto Parts,4591.2,71.5,14.0,77,1.16,48.01,50.9,6.02,3.58%,18.22%,19.64%,-3.73%,49.15%,38.08%,45.54,,42.9,30.23,53.17,54.166666666666664,True
9,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,12268.15,74.0,20.0,78,1.18,141.73,160.33,13.12,0.55%,10.05%,14.41%,31.53%,88.54%,99.22%,141.49,,127.25,79.21,146.63,57.333333333333336,True
10,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,3743.27,89.0,37.0,84,1.3,53.46,61.0,14.1,-0.67%,-1.98%,7.35%,12.83%,60.35%,69.77%,54.58,,47.69,29.73,56.95,70.0,True
11,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,49089.56,76.5,17.0,75,1.13,57.89,63.08,8.97,1.65%,-2.26%,7.16%,9.83%,41.26%,52.91%,58.52,,51.18,36.77,62.54,56.166666666666664,True
13,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,2013.54,74.0,46.0,78,1.18,22.44,24.29,8.24,0.81%,-0.53%,7.37%,3.99%,47.83%,58.14%,22.32,,21.05,13.48,23.33,66.0,True
17,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,7246.4,79.0,15.0,90,1.5,176.14,213.67,21.31,-0.59%,6.79%,4.60%,6.15%,92.71%,73.20%,180.54,,160.19,86.94,191.62,61.333333333333336,True
