rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_russell_3k
1,74.16666666666667,BNED,"Barnes & Noble Education, Inc.",43.0,2.0,98,2.99,10.15,11.5,13.3,$1.91,$10.19,8.6,8.43,6.23,81.5,True
2,70.0,RWT,"Redwood Trust, Inc.",46.0,1.7,75,1.37,13.16,14.04,6.69,$6.52,$12.71,11.93,11.49,9.69,89.0,True
3,70.0,GNRC,Generac Holdings Inc.,20.0,1.5,96,2.43,404.95,497.0,22.73,$134.15,$452.92,422.16,365.8,291.54,94.0,True
4,69.83333333333333,IIPR,"Innovative Industrial Properties, Inc.",39.0,2.0,89,1.71,234.18,257.0,9.74,$91.55,$222.08,198.87,187.34,174.46,81.5,True
5,69.0,EPRT,"Essential Properties Realty Trust, Inc.",42.0,1.9,81,1.48,28.39,32.36,13.98,$14.44,$29.29,27.48,26.65,22.59,84.0,True
6,68.83333333333333,SSTK,"Shutterstock, Inc.",21.0,1.6,94,2.0,116.29,126.0,8.35,$37.31,$104.57,100.29,93.47,80.52,91.5,True
7,66.83333333333333,NAVI,Navient Corporation,19.0,1.8,95,2.24,19.12,21.35,11.66,$6.97,$20.60,19.44,18.66,13.25,86.5,True
8,66.66666666666667,UPWK,Upwork Inc.,14.0,1.7,97,2.62,48.03,66.71,38.89,$12.96,$64.49,55.34,49.27,41.49,89.0,True
9,66.0,OMI,"Owens & Minor, Inc.",24.0,2.3,100,4.51,31.66,46.17,45.83,$7.73,$49.16,43.01,41.19,32.74,74.0,True
10,65.83333333333333,NSA,National Storage Affiliates Trust,42.0,2.2,79,1.43,52.84,58.3,10.33,$28.88,$53.98,51.85,48.57,39.79,76.5,True
11,65.83333333333333,CROX,"Crocs, Inc.",19.0,2.0,97,2.51,141.13,157.7,11.74,$33.34,$120.92,114.65,108.14,79.77,81.5,True
12,65.66666666666667,RDNT,"RadNet, Inc.",13.0,1.3,85,1.57,29.1,43.67,50.07,$13.49,$36.64,33.97,30.42,22.24,99.0,True
13,65.66666666666667,GPI,"Group 1 Automotive, Inc.",23.0,1.9,90,1.75,188.31,251.4,33.5,$69.84,$176.74,159.49,159.45,145.26,84.0,True
14,65.33333333333333,NET,"Cloudflare, Inc.",17.0,1.9,95,2.07,114.98,125.13,8.83,$32.69,$111.97,105.71,92.04,77.25,84.0,True
