no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,259151.17,34.72,11.95,8.47,4.7,19.04,21.16,24.13,3.87%,133.00%,4.2,-48.50%,-13.83%,-2.80%,4.10%,14.90%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.61%,68.40%,0.06%,0.91%,2.19,4.40%,49.90%,12.70%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,1.86%,6.65%,25.30%,24.37%,37.54%,7.73%,0.8,2.86,1.87%,2.10%,5.35%,8.47%,22.41%,0.28%,22.36%,0.28%,42.94%,74.53,0.77%,0.00%,2.0,7362.12,1.09,145.87,0.77%,8027288,2/2/2022 8:30:00 AM,148.05,12/10/2012,145.8,-0.05%,69.0,88,1.21,145.87,138.99,134.96,119.33,102.05,147.22,11.0,1.49,56.0,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,30127.45,18.53,12.33,1.79,0.14,123.04,8.51,16.76,1.29%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-45.72%,65.40%,0.59%,1.13%,1.58,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,-0.13%,6.67%,15.23%,20.37%,35.60%,7.40%,0.47,3.3,1.90%,2.50%,4.42%,8.07%,16.08%,-0.95%,21.19%,-0.95%,41.72%,66.42,1.23%,-0.35%,2.2,1077.03,1.33,142.73,0.88%,1433005,2/2/2022 8:30:00 AM,153.5,4/4/1995,142.73,0.00%,63.0,87,1.19,142.73,137.21,132.55,123.04,100.71,144.1,12.0,7.55,54.0,True
119,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,43004.02,16.08,14.79,2.44,0.5,1.97,39.71,,1.92%,35.50%,4.78,24.80%,0.19%,1.00%,6.60%,-1.00%,130.80%,34.50%,564.0,556.34,0.50%,-19.01%,82.00%,1.10%,0.99%,1.98,4.50%,11.00%,3.60%,1.6,1.0,0.37,0.41,7.00%,2.30%,2.70%,-0.49%,7.90%,15.81%,26.27%,37.76%,13.77%,0.8,1.6,2.08%,2.39%,3.74%,10.19%,19.15%,-1.45%,22.57%,-1.45%,39.97%,68.06,0.22%,-0.09%,1.9,2767.66,0.83,76.9,0.13%,2291717,1/25/2022 8:30:00 AM,73.23,12/24/1924,76.9,0.00%,72.0,88,1.21,76.9,74.42,70.07,64.6,54.94,78.03,23.0,-4.77,61.0,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,51320.98,9.47,11.35,0.31,1.08,0.8,19.01,16.89,2.12%,19.90%,6.37,-286.60%,12.44%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-0.82%,92.90%,-0.75%,0.98%,1.6,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,-3.32%,-0.92%,5.51%,12.24%,43.29%,6.12%,1.33,1.88,3.31%,3.55%,1.54%,3.95%,11.00%,-5.04%,16.37%,-5.04%,46.56%,52.95,0.92%,-0.98%,2.2,5101.19,0.67,60.34,-0.07%,3416512,2/16/2022 4:30:00 PM,64.85,4/3/1972,61.2,1.43%,63.0,90,1.26,60.34,59.5,58.16,54.42,41.49,63.54,15.0,7.47,56.0,True
409,ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,USA,113714.08,18.55,14.22,1.44,0.82,3.12,20.71,23.93,0.99%,24.10%,24.72,-2.60%,13.22%,13.90%,12.86%,9.00%,602.40%,14.90%,243.4,241.15,0.20%,-0.77%,92.60%,0.14%,0.81%,1.73,4.50%,12.30%,9.10%,,,0.61,0.64,,4.60%,3.10%,-2.01%,2.34%,6.53%,23.47%,54.75%,-1.07%,1.06,12.06,2.58%,2.90%,2.56%,2.88%,13.13%,-2.85%,14.91%,-2.85%,59.05%,55.76,2.34%,-0.40%,1.9,1135.79,0.94,458.58,1.93%,1062657,1/26/2022 8:30:00 AM,491.32,10/30/2001,458.0,-0.13%,72.0,94,1.36,458.58,447.63,446.86,405.68,288.93,472.01,18.0,7.14,61.333333333333336,True
688,AXP,American Express Company,Financial,Credit Services,USA,156621.01,19.85,17.47,0.57,3.66,6.38,5.73,18.74,0.87%,20.00%,9.99,-52.90%,17.14%,-5.70%,34.57%,2.20%,73.70%,23.30%,786.0,766.95,0.10%,-38.18%,86.70%,-0.48%,1.31%,2.33,3.70%,28.40%,2.10%,,,1.41,4.96,68.60%,21.40%,16.20%,1.01%,19.38%,9.65%,22.36%,54.39%,21.26%,1.14,5.06,2.08%,3.12%,9.88%,15.20%,17.67%,-0.17%,29.79%,-0.17%,57.35%,72.73,0.45%,-0.24%,2.4,4327.43,0.95,198.38,0.20%,4121905,1/25/2022 8:30:00 AM,195.52,4/4/1972,198.35,-0.02%,56.0,94,1.36,198.38,182.38,172.95,168.81,126.08,199.55,12.0,-1.44,54.0,True
715,BAC,Bank of America Corporation,Financial,Banks - Diversified,USA,399418.7,13.39,12.58,0.56,8.38,1.61,0.46,,1.76%,23.90%,3.56,-32.00%,16.25%,7.40%,23.89%,0.80%,69.00%,7.40%,8430.7,8103.31,0.10%,-1.54%,72.80%,0.04%,0.74%,1.15,0.90%,10.50%,7.30%,,,1.11,2.03,,89.10%,54.90%,-3.25%,3.07%,1.27%,16.89%,39.46%,7.17%,1.41,1.3,2.63%,2.89%,1.62%,3.27%,9.96%,-4.85%,11.96%,-4.85%,41.48%,53.11,0.63%,-0.86%,2.4,51759.56,0.71,47.68,-0.23%,36630855,1/19/2022 8:30:00 AM,51.73,6/5/1979,47.61,-0.15%,56.0,89,1.23,47.68,46.98,46.24,43.39,34.02,50.11,17.0,8.49,54.0,True
919,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,52558.12,15.8,10.83,1.25,17.41,1.35,0.26,,2.18%,31.20%,3.96,-15.10%,21.21%,7.20%,12.65%,4.30%,-2.80%,-15.50%,844.09,823.92,0.10%,0.00%,85.50%,-0.82%,1.11%,2.04,0.70%,8.50%,2.80%,,,0.66,0.66,,93.70%,,-1.82%,-0.67%,5.66%,16.76%,48.17%,7.61%,1.09,1.75,2.59%,3.33%,3.08%,4.71%,13.69%,-3.30%,14.18%,-3.30%,49.16%,57.31,1.12%,-0.67%,2.1,4469.56,0.82,62.5,0.43%,3657776,1/18/2022 8:30:00 AM,68.75,12/4/1969,62.5,0.00%,66.0,91,1.28,62.5,60.79,59.83,55.04,41.9,64.63,29.0,10.0,62.0,True
933,BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,USA,29001.12,,17.32,,1.41,1.5,6.7,59.92,2.42%,,-0.36,2200.00%,35.36%,-27.10%,50.90%,5.60%,103.70%,0.90%,851.0,829.21,0.10%,-99.01%,93.60%,1.00%,8.10%,7.7,-0.10%,-0.20%,-70.90%,1.6,1.2,0.4,0.4,19.70%,3.00%,-0.20%,7.45%,10.86%,17.80%,40.27%,28.73%,23.48%,1.52,1.16,4.37%,4.52%,8.34%,14.37%,22.56%,1.47%,30.51%,1.47%,58.45%,67.98,2.27%,0.90%,2.0,8724.99,1.18,29.71,3.20%,10322561,1/20/2022 8:30:00 AM,32.41,10/3/1961,29.53,-0.61%,69.0,81,1.11,29.71,27.59,26.08,24.28,18.75,30.11,5.0,9.09,51.666666666666664,True
1370,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,USA,15341.68,53.97,6.71,0.86,3.01,5.44,20.27,16.36,1.61%,86.40%,1.38,-33.80%,142.93%,-13.10%,62.70%,-0.90%,-557.70%,60.80%,214.9,213.64,0.40%,-37.92%,94.90%,0.55%,2.07%,1.36,2.50%,9.90%,8.60%,1.8,1.4,1.18,1.18,27.70%,14.50%,5.90%,1.89%,9.04%,13.65%,62.60%,69.64%,5.14%,1.06,4.18,8.32%,6.06%,4.54%,8.36%,30.32%,-3.65%,27.30%,-3.65%,73.68%,56.32,7.86%,-4.46%,2.1,3235.94,1.77,74.42,3.05%,5741609,2/15/2022 4:30:00 PM,73.74,8/11/2005,74.42,0.00%,66.0,95,1.45,74.42,71.56,68.99,57.23,42.85,77.24,14.0,-0.91,58.333333333333336,True
