,ticker,allocation,companyName,start_price,current_price,initial_investment,shares,cash_now,return,rank
2,TRNS,7.680284890859774,"Transcat, Inc.",65.94,73.0,192.01,2.91,212.43,10.63,1.0
8,LSI,21.58307532284642,"Life Storage, Inc.",119.38,131.16,539.58,4.52,592.84,9.87,2.0
9,AFG,5.633944258507321,"American Financial Group, Inc.",126.38,136.34,140.85,1.11,151.34,7.45,3.0
7,UFPT,9.086147703063729,"UFP Technologies, Inc.",65.5,58.83,227.15,3.47,204.14,-10.13,4.0
1,LH,2.9222140442041575,Laboratory Corporation of America Holdings,303.71,265.49,73.06,0.24,63.72,-12.78,5.0
5,DHR,22.089161648424106,Danaher Corporation,318.19,262.52,552.23,1.74,456.78,-17.28,6.0
6,INTU,7.167039624190661,Intuit Inc.,552.49,439.32,179.18,0.32,140.58,-21.54,7.0
4,NAVI,3.447575724680641,Navient Corporation,22.02,16.63,86.19,3.91,65.02,-24.56,8.0
3,NET,19.793203233370363,"Cloudflare, Inc.",124.18,88.72,494.83,3.98,353.11,-28.64,9.0
0,EPAM,0.5973535498528297,"EPAM Systems, Inc.",626.63,200.14,14.93,0.02,4.0,-73.21,10.0
