no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,13315.94,33.34,10.49,,1.1,3.54,9.17,,0.54%,0.00%,2.21,85.00%,-4.97%,28.00%,,-3.70%,769.80%,31.50%,187.0,186.96,0.70%,-29.50%,77.70%,0.20%,5.18%,1.2,3.00%,12.10%,5.00%,1.5,0.9,0.44,0.44,24.70%,8.10%,3.50%,14.48%,18.81%,43.57%,62.48%,239.43%,23.40%,2.39,3.86,6.51%,6.05%,19.32%,28.12%,58.43%,-0.27%,69.95%,-0.27%,250.76%,73.5,6.61%,-3.11%,2.0,8094.84,1.23,73.52,3.30%,9940561.0,1/19/2022 4:30:00 PM,67.91,10/18/2016,73.5,-0.03%,69.0,100,2.87,72.3,62.81,58.53,46.76,21.07,75.21,15.0,-6.07,61.333333333333336,True
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,252293.54,33.8,11.64,8.24,4.57,18.54,20.6,23.49,3.97%,133.00%,4.2,-48.50%,-13.83%,-2.80%,4.10%,14.90%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.61%,68.40%,0.06%,0.91%,2.27,4.40%,49.90%,12.70%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,0.97%,3.44%,21.76%,21.92%,35.97%,4.88%,0.8,2.75,1.46%,2.11%,3.45%,6.85%,19.64%,-1.67%,22.85%,-1.67%,39.16%,66.83,-0.56%,0.07%,2.0,7106.02,0.91,142.01,-0.49%,6474124.0,2/2/2022 8:30:00 AM,148.05,12/10/2012,141.91,-0.07%,69.0,89,1.21,141.42,137.98,133.92,119.01,102.05,144.42,11.0,4.69,56.333333333333336,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29601.86,18.21,12.12,1.76,0.13,120.9,8.36,16.47,1.31%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-45.72%,65.40%,0.59%,1.13%,1.62,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,2.66%,3.34%,11.58%,17.29%,33.33%,5.53%,0.47,3.34,2.30%,2.48%,3.24%,7.41%,14.32%,-2.35%,23.36%,-2.35%,39.25%,61.65,-1.02%,0.10%,2.2,1050.47,1.19,140.24,-0.92%,1249609.0,2/2/2022 8:30:00 AM,153.5,4/4/1995,140.24,0.00%,63.0,89,1.2,139.58,136.28,131.57,122.87,100.71,143.61,11.0,9.97,54.333333333333336,True
119,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,42763.55,15.99,14.71,2.42,0.5,1.96,39.49,,1.94%,35.50%,4.78,24.80%,0.19%,1.00%,6.60%,-1.00%,130.80%,34.50%,564.0,556.34,0.50%,-16.76%,82.00%,1.10%,0.99%,2.0,4.50%,11.00%,3.60%,1.6,1.0,0.37,0.41,7.00%,2.30%,2.70%,1.00%,8.59%,15.62%,22.55%,37.24%,13.14%,0.8,1.61,1.69%,2.31%,4.26%,10.93%,18.83%,-2.00%,23.74%,-2.00%,41.72%,67.72,0.07%,-0.03%,1.9,2737.94,0.94,76.47,0.04%,2563590.0,1/25/2022 8:30:00 AM,73.23,12/24/1924,76.39,-0.10%,72.0,89,1.21,75.81,73.84,69.5,64.48,54.94,78.03,23.0,-3.4,61.333333333333336,True
153,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,3989.41,11.86,8.69,,1.11,0.62,0.31,2.54,0.80%,8.90%,3.59,157.50%,49.53%,20.50%,,9.80%,-78.70%,-32.10%,92.48,90.83,0.30%,-12.76%,97.30%,-0.92%,0.99%,1.98,0.50%,5.50%,-8.40%,,,0.09,0.09,,15.30%,9.50%,1.09%,-0.98%,13.03%,28.32%,42.82%,9.43%,1.11,1.44,3.12%,3.65%,2.38%,7.74%,25.63%,-3.60%,25.37%,-3.60%,62.50%,60.6,-0.98%,-0.26%,2.4,451.61,1.4,42.59,-1.23%,630276.0,2/17/2022 4:30:00 PM,44.11,12/4/2003,42.59,0.00%,56.0,92,1.27,42.64,41.53,39.85,34.01,26.21,44.49,9.0,3.45,52.333333333333336,True
212,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,4091.65,16.65,16.22,5.55,4.84,0.67,40.51,,1.52%,24.40%,3.48,4.40%,0.99%,-10.00%,3.00%,-15.80%,-77.50%,-32.90%,72.7,66.34,0.10%,-22.08%,95.10%,-1.13%,2.68%,4.02,1.60%,4.20%,4.30%,,,0.27,0.27,,34.50%,32.30%,4.92%,5.82%,8.41%,15.96%,47.05%,15.50%,1.15,1.52,2.30%,2.99%,6.89%,12.56%,16.49%,-1.61%,29.02%,-1.61%,53.67%,69.68,-0.62%,-0.41%,1.7,441.5,0.86,57.98,-1.02%,380154.0,2/24/2022 4:30:00 PM,61.0,4/23/2004,57.98,0.00%,78.0,93,1.31,57.4,54.47,51.87,49.84,38.77,59.73,37.0,6.28,69.33333333333333,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,51661.19,9.53,11.43,0.31,1.08,0.8,19.14,17.0,2.11%,19.90%,6.37,-286.60%,12.44%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-5.38%,92.90%,-0.75%,0.98%,1.64,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,-0.41%,-1.03%,3.19%,11.23%,46.71%,6.82%,1.33,1.89,2.67%,3.41%,1.82%,5.40%,12.09%,-4.41%,17.51%,-4.41%,47.53%,55.22,-2.38%,0.00%,2.2,4970.18,1.46,60.74,-2.38%,7241144.0,2/16/2022 4:30:00 PM,64.85,4/3/1972,61.11,0.61%,63.0,91,1.26,59.38,59.47,57.92,54.3,41.17,63.54,15.0,9.21,56.333333333333336,True
249,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,1482.92,19.18,13.17,1.4,0.85,1.45,34.73,31.15,,0.00%,2.17,84.30%,34.64%,0.00%,13.68%,1.60%,41.30%,8.20%,35.1,33.8,0.10%,-68.44%,95.74%,5.90%,5.52%,5.71,4.70%,7.60%,4.20%,3.0,1.3,0.1,0.1,17.30%,6.00%,4.20%,4.97%,-0.34%,8.30%,22.16%,8.41%,6.64%,1.72,1.25,2.99%,3.11%,2.12%,7.26%,12.54%,-3.05%,30.51%,-8.51%,34.69%,59.23,-0.98%,0.53%,2.0,326.51,1.09,41.62,-0.45%,355390.0,12/21/2021 4:30:00 PM,51.0,4/24/1972,41.62,0.00%,69.0,69,0.96,41.78,40.65,39.16,37.0,30.9,45.49,17.0,22.08,51.666666666666664,True
363,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1259.3,37.54,18.3,1.5,3.05,3.03,10.99,28.3,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.61,0.60%,-33.84%,61.40%,3.07%,5.29%,7.21,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,8.39%,5.97%,28.14%,38.47%,43.75%,16.53%,0.7,1.2,5.25%,5.16%,7.66%,15.15%,31.90%,-0.51%,37.42%,-0.51%,60.50%,64.03,2.76%,0.34%,2.5,268.76,0.81,27.14,3.12%,217008.0,,28.25,6/25/2014,27.14,0.00%,53.0,92,1.27,26.18,25.36,23.84,20.67,16.91,27.3,12.0,7.91,52.333333333333336,True
393,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,1255.87,14.65,14.47,1.83,0.11,1.24,5.79,,1.87%,25.70%,2.63,-58.00%,0.00%,20.10%,8.00%,14.30%,,56.00%,33.28,30.77,2.60%,-23.56%,78.00%,-0.31%,1.61%,2.76,2.20%,9.00%,0.70%,1.4,0.9,0.53,0.9,4.80%,1.10%,0.80%,4.88%,-2.26%,0.10%,32.62%,43.34%,-0.54%,0.73,1.21,3.70%,3.36%,1.58%,2.78%,17.87%,-4.44%,16.31%,-4.44%,56.93%,55.26,1.56%,0.48%,2.0,179.13,0.55,38.5,2.04%,98881.0,2/15/2022 4:30:00 PM,44.5,2/20/1996,38.4,-0.26%,69.0,93,1.29,38.57,37.82,37.65,32.76,24.53,40.29,15.0,15.37,59.0,True
