Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange
OVV,OVINTIV INC,Energy,Equity,279055063.8,0.46,279055063.8,6075660,45.93,Canada,New York Stock Exchange Inc.
THC,TENET HEALTHCARE CORP,Health Care,Equity,218853731.04,0.36,218853731.04,2457926,89.04,United States,New York Stock Exchange Inc.
CAR,AVIS BUDGET GROUP INC,Industrials,Equity,199395248,0.33,199395248,958631,208,United States,NASDAQ
TTEK,TETRA TECH INC,Industrials,Equity,199287806.8,0.33,199287806.8,1254961,158.8,United States,NASDAQ
CHK,CHESAPEAKE ENERGY CORP,Energy,Equity,195408903.15,0.32,195408903.15,2425933,80.55,United States,NASDAQ
BJ,BJS WHOLESALE CLUB HOLDINGS INC,Consumer Staples,Equity,194426744.58,0.32,194426744.58,3186279,61.02,United States,New York Stock Exchange Inc.
SYNA,SYNAPTICS INC,Information Technology,Equity,186801541.08,0.31,186801541.08,908612,205.59,United States,NASDAQ
KBR,KBR INC,Industrials,Equity,181635143.61,0.3,181635143.61,3278021,55.41,United States,New York Stock Exchange Inc.
AR,ANTERO RESOURCES CORP,Energy,Equity,177464553.63,0.29,177464553.63,6654089,26.67,United States,New York Stock Exchange Inc.
WSC,WILLSCOT MOBILE MINI HOLDINGS CORP,Industrials,Equity,175853495.4,0.29,175853495.4,4903890,35.86,United States,NASDAQ
EGP,EASTGROUP PROPERTIES REIT INC,Real Estate,Equity,174927849.79,0.29,174927849.79,935293,187.03,United States,New York Stock Exchange Inc.
M,MACYS INC,Consumer Discretionary,Equity,172328035.2,0.29,172328035.2,7289680,23.64,United States,New York Stock Exchange Inc.
AMC,AMC ENTERTAINMENT HOLDINGS INC CLA,Communication,Equity,171205634.6,0.28,171205634.6,11972422,14.3,United States,New York Stock Exchange Inc.
LSCC,LATTICE SEMICONDUCTOR CORP,Information Technology,Equity,169135965.54,0.28,169135965.54,3140289,53.86,United States,NASDAQ
PFGC,PERFORMANCE FOOD GROUP,Consumer Staples,Equity,167008967.11,0.28,167008967.11,3509329,47.59,United States,New York Stock Exchange Inc.
STAG,STAG INDUSTRIAL REIT INC,Real Estate,Equity,161729316.32,0.27,161729316.32,4092341,39.52,United States,New York Stock Exchange Inc.
IIVI,II VI INC,Information Technology,Equity,161323669.77,0.27,161323669.77,2455833,65.69,United States,NASDAQ
SAIA,SAIA INC,Industrials,Equity,161117570.7,0.27,161117570.7,616482,261.35,United States,NASDAQ
SSB,SOUTHSTATE CORP,Financials,Equity,154227283.2,0.26,154227283.2,1785038,86.4,United States,NASDAQ
BHVN,BIOHAVEN PHARMACEUTICAL HOLDING CO,Health Care,Equity,153326569.1,0.25,153326569.1,1290845,118.78,United States,New York Stock Exchange Inc.
RRC,RANGE RESOURCES CORP,Energy,Equity,152555402.72,0.25,152555402.72,5541424,27.53,United States,New York Stock Exchange Inc.
PDCE,PDC ENERGY INC,Energy,Equity,151407294.85,0.25,151407294.85,2264881,66.85,United States,NASDAQ
GTLS,CHART INDUSTRIES INC,Industrials,Equity,148665067.25,0.25,148665067.25,849175,175.07,United States,New York Stock Exchange Inc.
EME,EMCOR GROUP INC,Industrials,Equity,144885639.8,0.24,144885639.8,1241735,116.68,United States,New York Stock Exchange Inc.
FFIN,FIRST FINANCIAL BANKSHARES INC,Financials,Equity,139312239.64,0.23,139312239.64,3020647,46.12,United States,NASDAQ
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,138940000.04,0.23,138940000.04,138940000,1,United States,-
GBCI,GLACIER BANCORP INC,Financials,Equity,137408191.14,0.23,137408191.14,2566938,53.53,United States,New York Stock Exchange Inc.
OMCL,OMNICELL INC,Health Care,Equity,136754060.8,0.23,136754060.8,1014496,134.8,United States,NASDAQ
MTDR,MATADOR RESOURCES,Energy,Equity,136342753.82,0.23,136342753.82,2559466,53.27,United States,New York Stock Exchange Inc.
INSP,INSPIRE MEDICAL SYSTEMS INC,Health Care,Equity,133509720.85,0.22,133509720.85,624023,213.95,United States,New York Stock Exchange Inc.
RPD,RAPID7 INC,Information Technology,Equity,133510151.61,0.22,133510151.61,1302411,102.51,United States,NASDAQ
SGMS,SCIENTIFIC GAMES CORP,Consumer Discretionary,Equity,131381326.86,0.22,131381326.86,2229069,58.94,United States,NASDAQ
SWN,SOUTHWESTERN ENERGY,Energy,Equity,130354465.98,0.22,130354465.98,23529687,5.54,United States,New York Stock Exchange Inc.
TXRH,TEXAS ROADHOUSE INC,Consumer Discretionary,Equity,127758755.2,0.21,127758755.2,1621304,78.8,United States,NASDAQ
SLAB,SILICON LABORATORIES INC,Information Technology,Equity,126907503.76,0.21,126907503.76,921757,137.68,United States,NASDAQ
MUR,MURPHY OIL CORP,Energy,Equity,125587279.94,0.21,125587279.94,3409918,36.83,United States,New York Stock Exchange Inc.
VLY,VALLEY NATIONAL,Financials,Equity,125375664.12,0.21,125375664.12,9280212,13.51,United States,NASDAQ
ASGN,ASGN INC,Industrials,Equity,124885893.6,0.21,124885893.6,1181960,105.66,United States,New York Stock Exchange Inc.
ROLL,RBC BEARINGS INC,Industrials,Equity,124719256.2,0.21,124719256.2,647724,192.55,United States,NASDAQ
