"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",40108.22,33.11,24.32,2.21,6.22,7.61,34.64,38.57,0.64%,19.40%,3.94,71.00%,10.04%,22.90%,15.00%,8.50%,0.20%,8.10%,301.00,300.03,0.20%,-17.45%,91.10%,0.22%,1.63%,2.43,11.50%,23.70%,14.70%,2.20,1.60,0.53,0.00,54.00%,21.60%,18.70%,-0.02%,-8.08%,-12.72%,-27.30%,12.28%,-18.36%,1.05,4.38,3.00%,3.13%,-2.31%,-7.10%,-13.60%,-19.25%,6.71%,-26.87%,13.92%,43.88,2.08%,-1.30%,,2007.99,0.86,131.32,0.75%,936683,2/22/2022 4:30:00 PM,164.94,11/18/1999,,
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",14476.15,39.26,11.48,,1.19,3.35,7.98,27.31,0.47%,4.40%,2.17,347.00%,-11.67%,24.80%,,5.50%,,39.60%,185.40,184.47,0.70%,-32.07%,84.30%,8.19%,5.35%,1.14,2.90%,11.00%,5.00%,1.60,1.00,0.37,0.37,24.70%,7.80%,3.50%,13.35%,36.12%,93.78%,80.89%,199.96%,43.34%,2.27,5.32,8.94%,6.88%,4.72%,20.37%,61.51%,-13.34%,50.21%,-13.34%,195.09%,57.22,-2.02%,-4.39%,2.00,8650.83,1.60,80.00,-6.32%,7479177,1/19/2022 4:30:00 PM,73.27,10/18/2016,,
3,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1218.73,43.57,,,,1.30,1354.15,,,,0.22,,,,,,,,125.00,100.00,,,74.60%,8.13%,0.07%,0.25,,,,1.70,1.70,0.00,0.00,,,,0.10%,0.00%,-0.31%,0.41%,,0.21%,,0.02,0.13%,0.25%,-0.02%,0.02%,-0.15%,-0.41%,0.52%,-2.50%,2.63%,49.41,0.00%,-0.10%,,276.73,0.04,9.75,-0.10%,6340,,,3/25/2021,,
4,"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage","USA",111.71,,14.34,,8.87,0.60,5.27,12.14,,,-0.37,-743.40%,-11.70%,7.90%,-9.37%,,-126.40%,-46.80%,31.93,31.70,3.50%,2.82%,34.50%,-1.26%,0.71%,2.00,0.00%,0.10%,,,,0.49,3.43,34.80%,,1.70%,11.56%,4.39%,-2.19%,-7.27%,-18.12%,2.00%,1.68,0.11,4.01%,3.10%,5.08%,2.85%,-5.27%,-2.75%,13.10%,-19.91%,13.10%,60.68,2.02%,-2.80%,2.70,111.93,0.96,3.54,-0.84%,58144,3/2/2022 4:30:00 PM,4.62,12/23/1997,,
5,"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services","USA",676.23,6.70,8.01,,0.37,0.95,29.66,20.31,1.85%,12.10%,3.23,141.50%,4.68%,10.00%,-12.10%,-1.00%,500.50%,3.50%,31.43,30.31,1.10%,-7.06%,97.50%,-0.74%,4.51%,5.36,7.90%,15.10%,15.10%,,,0.01,0.01,62.90%,7.90%,5.90%,3.19%,1.64%,-5.04%,-19.33%,-12.52%,-12.13%,,1.07,4.25%,4.74%,5.98%,1.26%,-16.34%,-13.29%,23.29%,-39.96%,23.29%,56.46,4.60%,-0.65%,2.70,255.17,0.70,22.51,3.92%,96098,2/23/2022 4:30:00 PM,29.67,11/4/1982,,
6,"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail","USA",12398.68,21.12,12.95,1.39,1.13,4.02,20.62,18.73,1.99%,33.90%,9.53,33.70%,13.85%,9.00%,15.25%,2.80%,-21.30%,1.30%,62.45,60.83,0.10%,-5.38%,,-1.96%,4.93%,3.73,5.20%,18.80%,15.60%,1.20,0.30,0.33,0.00,44.80%,7.60%,5.60%,-1.55%,-13.41%,-11.26%,0.94%,14.06%,-16.08%,1.29,7.28,3.75%,3.50%,-4.64%,-9.76%,-5.76%,-16.49%,7.04%,-16.49%,19.49%,39.08,0.61%,0.83%,2.20,804.97,0.92,204.22,1.45%,400096,2/14/2022 4:30:00 PM,257.59,11/29/2001,,
7,"AAQC","Accelerate Acquisition Corp.","Financial","Shell Companies","USA",388.60,,,,,,,,,,,,,,,,,,40.00,,,,,,,0.17,,,,,,,,,,,0.15%,0.36%,-0.05%,1.09%,,-0.05%,,0.01,0.09%,0.14%,0.02%,0.01%,0.02%,-0.92%,0.31%,-2.51%,1.16%,51.04,0.00%,-0.05%,,54.23,3.65,9.71,-0.05%,106725,,,5/10/2021,,
8,"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified","USA",2216.93,78.35,53.71,26.12,5.90,1.79,15.89,,3.24%,245.20%,0.47,2.30%,23.21%,-8.00%,3.00%,5.00%,181.70%,25.10%,60.00,59.55,0.90%,124.03%,97.30%,-1.14%,1.26%,2.76,0.90%,2.30%,3.30%,,,1.33,1.33,65.50%,25.40%,7.60%,1.37%,5.43%,5.86%,-6.86%,2.15%,-1.25%,1.19,0.92,2.14%,2.43%,3.29%,2.04%,-0.32%,-4.74%,9.57%,-8.55%,18.65%,57.60,0.48%,0.27%,2.80,270.82,0.49,37.34,0.76%,72105,2/8/2022 4:30:00 PM,38.60,1/13/2011,,
9,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",4174.23,10.56,10.10,,10.03,2.49,,,8.74%,92.30%,3.88,34.40%,9.18%,11.80%,-3.88%,11.70%,38.10%,32.20%,98.47,94.42,5.02%,0.00%,14.10%,2.37%,0.92%,2.05,24.10%,24.10%,23.80%,,,0.00,0.00,,100.00%,92.70%,-8.65%,-10.55%,-19.35%,-20.40%,8.59%,-16.13%,1.41,2.01,4.41%,4.19%,-4.94%,-8.20%,-11.87%,-17.50%,9.03%,-24.70%,15.62%,43.84,3.71%,2.00%,2.30,425.06,1.43,43.33,5.79%,327105,2/11/2022 8:30:00 AM,52.30,4/14/1988,,
10,"ABB","ABB Ltd","Industrials","Specialty Industrial Machinery","Switzerland",65409.39,13.23,18.26,0.91,2.26,3.86,11.96,83.43,2.85%,39.30%,2.31,43.90%,10.96%,35.00%,14.60%,3.00%,-85.60%,5.40%,1971.00,1801.56,,,6.20%,0.28%,0.12%,1.07,11.40%,31.80%,22.00%,1.20,0.90,0.27,0.36,33.00%,19.80%,15.70%,-9.44%,-11.05%,-13.89%,-19.03%,1.67%,-20.09%,1.11,0.95,2.61%,2.06%,-4.27%,-9.10%,-8.49%,-17.16%,6.51%,-17.16%,8.47%,42.01,2.18%,3.97%,2.20,2023.85,2.15,32.40,6.23%,2350849,2/3/2022 8:30:00 AM,40.79,4/6/2001,,
