"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",38.58,,,,1.28,1.25,3.24,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.10%,-2.45%,0.08%,0.03,-17.50%,-49.20%,-48.20%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,-7.69%,-22.08%,-9.09%,-56.68%,-70.07%,12.10%,1.44,0.12,7.11%,9.02%,-16.54%,-25.51%,-48.67%,-59.86%,18.01%,-80.53%,18.01%,32.76,0.01%,-1.67%,1.50,683.36,0.06,1.18,-1.66%,23402,,32.50,1/29/2008,,
2,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",203.37,,,,,1.37,508.43,,,,-0.09,,,,,,,,20.71,15.16,26.79%,0.00%,61.60%,,1.24%,4.93,,,,0.40,0.40,0.00,0.00,,,,0.10%,-0.20%,0.41%,,,0.31%,,0.03,0.06%,0.27%,-0.09%,0.01%,0.17%,-1.31%,0.82%,-1.31%,5.14%,49.39,0.00%,0.00%,,38.01,2.00,9.82,0.00%,0,,,11/10/2021,,
3,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,,,,,,-0.09,,,,,,,,,10.72,,,7.66%,,0.00%,0.08,,,,,,,,,,,-1.60%,-1.70%,-0.40%,,,-1.89%,,0.09,0.12%,0.31%,-1.45%,-1.35%,-1.00%,-6.55%,0.20%,-6.55%,0.82%,41.88,0.00%,0.00%,,5.27,0.00,9.84,0.00%,0,,,8/13/2021,,
4,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,69.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.59%,24.57%,-30.24%,,,-37.66%,,0.05,7.54%,15.75%,14.67%,-15.01%,-20.25%,-47.75%,66.38%,-47.75%,66.38%,53.00,0.00%,0.32%,,34.00,0.01,0.35,0.32%,200,,,11/11/2021,,
5,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",357.58,,,,3575.78,1.07,2.22,,,,-11.63,82.30%,52.60%,30.90%,,,-705.00%,,20.89,13.65,1.45%,0.00%,59.60%,9.59%,4.60%,3.76,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,-2.07%,-8.08%,-11.70%,-38.17%,-24.18%,-29.36%,1.55,1.10,4.73%,6.21%,0.43%,-9.97%,-29.96%,-30.04%,15.86%,-63.47%,27.10%,48.88,5.69%,0.88%,1.60,167.01,0.25,18.19,6.62%,22046,,48.75,8/8/2017,,
6,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.51%,-14.92%,-14.86%,-22.45%,-17.81%,-17.37%,,1.54,2.80%,1.80%,-9.86%,-12.31%,-15.97%,-16.47%,2.73%,-21.77%,2.73%,33.10,0.54%,1.66%,,3.94,0.34,54.26,2.21%,718,,,7/21/2010,,
7,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",8975.03,,6.00,,0.30,,0.72,,,,-3.12,83.10%,207.50%,-21.70%,16.09%,-5.70%,62.30%,134.00%,648.76,642.13,1.00%,0.00%,54.20%,-3.31%,13.39%,2.13,-2.90%,26.20%,-1.60%,0.90,0.80,,,57.10%,-3.50%,-6.70%,-25.57%,-22.51%,-22.74%,-33.71%,-40.20%,-28.51%,1.60,1.02,7.83%,5.74%,-18.48%,-19.84%,-28.91%,-29.17%,9.59%,-46.36%,9.59%,34.91,7.65%,1.25%,3.00,40342.01,2.57,13.99,9.00%,55741591,1/20/2022 8:30:00 AM,18.10,12/9/2013,,
8,"AAME","Atlantic American Corporation","Financial","Insurance - Life","USA",49.70,3.71,,,0.24,0.34,3.48,248.51,0.85%,3.20%,0.63,,,24.30%,,3.30%,-161.10%,6.50%,20.40,4.02,2.80%,0.00%,5.50%,-3.87%,0.83%,1.85,3.30%,9.30%,7.70%,,,0.24,0.24,,8.80%,6.20%,-11.36%,-9.30%,-39.22%,-43.20%,-36.24%,-4.49%,0.11,0.19,5.10%,7.30%,-14.49%,-16.36%,-40.32%,-31.27%,5.04%,-66.96%,5.04%,33.94,-7.22%,2.56%,,18.12,1.12,2.23,-4.84%,10854,,,3/17/1980,,
9,"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors","USA",103.35,,,,0.49,0.38,2.98,,,,-2.01,24.70%,56.30%,-25.70%,13.00%,-4.10%,6.20%,4.00%,27.27,25.60,6.30%,0.00%,39.90%,-18.62%,14.94%,7.88,-11.60%,-20.20%,-14.30%,1.80,0.90,0.33,0.56,17.80%,-26.80%,-25.60%,-1.93%,-7.53%,-34.07%,-53.89%,-54.12%,-30.74%,1.66,0.28,5.37%,7.45%,-3.45%,-12.22%,-42.75%,-34.74%,11.08%,-59.89%,11.08%,45.80,4.21%,0.00%,2.80,485.19,0.45,3.71,4.21%,117618,2/24/2022 4:30:00 PM,14.37,9/26/2013,,
10,"AAON","AAON, Inc.","Industrials","Building Products & Equipment","USA",2835.57,49.58,27.21,4.13,5.31,6.11,977.78,,0.70%,33.90%,1.09,-26.60%,24.45%,1.80%,12.00%,6.80%,-67.60%,16.80%,52.44,41.66,16.50%,-0.45%,72.70%,2.35%,2.95%,4.96,10.90%,14.50%,11.50%,2.50,1.00,0.10,0.10,25.80%,13.00%,11.00%,-7.29%,-11.19%,-31.73%,-19.22%,-25.78%,-31.65%,0.70,2.16,4.20%,3.38%,-4.88%,-16.25%,-18.97%,-31.65%,4.53%,-34.44%,4.53%,30.55,1.23%,-0.06%,3.00,247.22,0.32,54.93,1.18%,41859,2/28/2022 4:30:00 PM,71.00,1/3/1991,,
11,"AAPL","Apple Inc.","Technology","Consumer Electronics","USA",2648440.61,26.45,24.25,1.78,7.00,36.29,41.44,30.35,0.55%,14.20%,6.02,71.40%,6.60%,22.00%,14.85%,11.10%,24.80%,11.20%,16391.72,16308.00,0.07%,-4.12%,59.60%,0.73%,0.67%,1.11,28.70%,149.80%,50.00%,1.00,1.00,1.48,1.71,43.00%,30.90%,26.60%,-3.52%,-7.87%,-1.57%,3.24%,36.90%,-10.29%,1.19,4.73,2.70%,2.58%,-3.63%,-5.21%,5.51%,-11.77%,6.18%,-11.77%,38.89%,41.70,1.62%,-0.30%,1.80,97855.98,1.30,161.40,1.32%,68463954,1/27/2022 4:30:00 PM,193.05,12/12/1980,,
12,"AATC","Autoscope Technologies Corporation","Technology","Scientific & Technical Instruments","USA",37.27,12.24,,0.61,2.89,1.69,4.44,20.71,7.33%,0.00%,0.54,-84.90%,,21.20%,20.00%,-2.80%,396.50%,11.80%,5.34,3.12,9.50%,0.37%,27.20%,-6.07%,0.83%,1.31,10.80%,11.60%,5.30%,13.20,12.40,0.00,0.00,78.40%,18.10%,17.80%,-1.80%,-4.10%,0.61%,-19.24%,51.97%,4.13%,1.02,0.29,3.53%,4.13%,-4.79%,1.31%,-3.64%,-12.42%,32.41%,-42.14%,57.28%,47.29,2.29%,0.00%,,19.62,0.81,6.70,2.29%,8544,,,5/5/1995,,
13,"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services","USA",2273.92,4.95,5.83,0.50,0.56,0.82,2.50,2.73,,0.00%,16.05,19.70%,-9.14%,56.90%,10.00%,17.00%,-15.50%,24.70%,29.11,28.79,1.10%,-19.73%,,4.75%,14.29%,6.22,7.90%,19.10%,10.80%,0.90,0.90,0.59,0.82,57.70%,17.50%,12.20%,1.43%,-0.50%,-8.58%,8.03%,38.56%,-15.55%,1.15,3.02,3.47%,3.75%,4.62%,-0.44%,4.41%,-15.65%,11.96%,-15.65%,53.54%,55.59,3.08%,0.00%,2.00,661.12,0.55,81.93,3.08%,193567,2/17/2022 8:30:00 AM,106.43,7/21/2004,,
14,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,1.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.09%,-10.87%,-12.95%,-19.72%,-21.12%,-12.62%,,1.54,1.73%,1.46%,-8.56%,-10.32%,-15.76%,-14.91%,1.02%,-24.33%,1.02%,27.16,0.73%,0.21%,,1337.26,2.03,72.94,0.94%,1454808,,,8/15/2008,,
15,"ABCB","Ameris Bancorp","Financial","Banks - Regional","USA",3211.22,8.21,9.08,1.03,4.57,1.04,0.78,,1.35%,11.10%,5.40,43.20%,6.31%,21.10%,8.00%,24.10%,-12.80%,-0.20%,69.39,65.97,1.30%,-0.18%,91.80%,-0.88%,2.61%,3.76,1.70%,13.20%,15.10%,,,0.28,0.28,,98.30%,53.60%,-10.38%,-8.57%,-9.04%,-7.64%,-14.11%,-10.71%,1.22,2.06,5.33%,3.60%,-7.57%,-9.93%,-10.53%,-18.23%,2.83%,-24.01%,2.83%,38.39,1.81%,0.70%,2.10,458.58,0.78,45.48,2.52%,192916,1/27/2022 4:30:00 PM,58.93,5/19/1994,,
16,"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology","Canada",2491.45,11.58,32.60,1.16,5.61,2.27,5.23,13.39,,0.00%,0.71,6.70%,-49.50%,,10.00%,,-54.50%,-33.00%,282.13,146.12,19.60%,1.06%,40.30%,-10.01%,8.13%,5.43,12.90%,15.70%,13.50%,7.70,7.70,0.00,0.00,,46.10%,34.60%,-4.94%,-11.35%,-40.94%,-55.82%,-69.06%,-42.10%,,0.60,7.26%,6.27%,-8.39%,-18.34%,-48.13%,-46.49%,12.87%,-78.63%,12.87%,39.30,1.89%,-0.72%,1.70,2186.67,0.96,8.38,1.15%,1131165,2/24/2022 4:30:00 PM,34.25,12/11/2020,,
17,"ABCM","Abcam plc","Healthcare","Biotechnology","United Kingdom",3640.48,183.91,,,9.16,4.28,,67.42,,0.00%,0.09,-72.70%,,,,,-85.00%,11.10%,226.30,195.15,,,11.50%,12.54%,0.13%,1.29,1.90%,2.70%,2.00%,4.80,4.10,0.16,0.17,71.10%,8.70%,4.90%,-4.08%,-9.25%,-27.47%,-25.06%,-18.78%,-32.06%,,0.51,2.57%,2.48%,-5.91%,-14.67%,-21.73%,-34.25%,2.14%,-34.25%,2.14%,35.03,0.77%,-2.13%,2.00,189.36,1.59,15.78,-1.38%,161745,,22.67,10/22/2020,,
18,"ABEO","Abeona Therapeutics Inc.","Healthcare","Biotechnology","USA",29.57,,,,9.86,0.34,0.44,,,,-0.57,40.00%,16.40%,-11.50%,,57.30%,6.90%,,97.99,86.02,1.50%,-9.55%,40.20%,51.43%,5.43%,1.25,-39.90%,-60.00%,-78.10%,2.60,2.60,0.00,0.00,,,,7.87%,13.59%,-51.60%,-79.39%,-86.75%,-17.42%,1.28,0.03,10.95%,10.13%,9.35%,3.36%,-69.98%,-26.68%,37.17%,-88.29%,37.17%,53.92,-2.66%,4.20%,2.30,3726.92,0.62,0.28,1.44%,1249507,,3.00,9/19/1980,,
19,"ABGI","ABG Acquisition Corp. I","Financial","Shell Companies","USA",188.47,,,,,1.29,314.11,,,,-0.10,,,,,,,,19.33,15.06,3.22%,0.00%,88.30%,9.59%,0.02%,0.09,,,,4.30,4.30,0.00,0.00,,,,0.21%,0.52%,-0.51%,-0.81%,,-0.31%,,0.02,0.15%,0.17%,0.08%,-0.10%,-0.67%,-1.62%,0.41%,-4.42%,1.35%,50.50,-0.20%,0.10%,,37.44,6.00,9.74,-0.10%,120685,,,2/17/2021,,
20,"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology","USA",29.44,,,,,0.53,0.50,,,,-1.54,50.20%,,42.50%,,,0.70%,,14.41,14.30,0.40%,,7.80%,-26.94%,2.10%,1.93,-30.60%,-32.60%,,18.80,18.80,0.00,0.00,,,,1.97%,12.50%,-8.00%,-33.23%,-47.99%,-3.72%,2.39,0.11,5.68%,5.73%,8.71%,6.60%,-21.37%,-13.36%,25.15%,-50.91%,25.15%,61.62,3.88%,-0.48%,,156.06,1.15,2.14,3.38%,96334,,,8/8/1997,,
21,"ABMD","Abiomed, Inc.","Healthcare","Medical Devices","USA",13483.60,103.16,64.68,17.66,13.44,9.48,20.15,54.83,,0.00%,2.90,11.40%,5.87%,42.20%,5.84%,20.80%,-26.40%,12.70%,45.51,44.59,1.20%,-8.42%,94.30%,1.81%,2.57%,2.95,8.80%,9.80%,12.50%,7.00,6.30,0.00,0.00,81.80%,13.80%,13.30%,-3.89%,2.79%,-0.66%,-19.87%,4.45%,-16.85%,1.32,14.41,4.12%,4.79%,-3.39%,-5.89%,-9.44%,-20.30%,9.98%,-22.15%,13.02%,44.61,-0.06%,-1.06%,2.50,387.79,0.31,295.29,-1.12%,64008,2/3/2022 8:30:00 AM,365.00,7/29/1987,,
22,"ABNB","Airbnb, Inc.","Consumer Cyclical","Travel Services","USA",89924.66,,64.60,,15.01,17.36,10.81,41.55,,,-0.75,92.40%,49.56%,-7.30%,,29.30%,101.40%,78.30%,629.63,293.30,3.60%,-13.00%,61.00%,5.59%,4.46%,2.05,-2.60%,-8.90%,0.00%,1.90,1.90,0.42,0.42,66.60%,0.90%,-5.90%,-13.14%,-12.02%,-21.09%,-16.72%,-27.22%,-20.96%,,9.73,6.19%,6.21%,-12.22%,-11.41%,-11.61%,-25.88%,8.05%,-34.05%,9.56%,41.53,7.80%,0.18%,2.40,6383.99,1.46,142.11,7.99%,5016232,2/15/2022 4:30:00 PM,201.21,12/10/2020,,
23,"ABOS","Acumen Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",232.87,,,,776.22,0.87,1.16,,,,-2.41,4.70%,77.10%,,32.10%,,-58.30%,,38.27,32.20,11.28%,0.00%,81.60%,5.69%,2.84%,4.08,,,42.50%,137.60,137.60,0.00,0.00,,,,-9.73%,10.44%,-32.27%,-66.07%,,-21.75%,,0.49,9.98%,9.31%,-2.36%,-3.00%,-53.33%,-24.83%,18.48%,-79.80%,18.48%,47.87,2.83%,0.19%,2.00,224.48,0.52,5.45,3.02%,62680,,23.50,7/1/2021,,
24,"ABSI","Absci Corporation","Healthcare","Biotechnology","USA",811.18,,,,132.98,1.64,2.90,,,,-0.99,-107.20%,46.90%,,9.70%,,-127.10%,66.70%,73.29,62.27,6.90%,0.21%,40.50%,5.06%,7.19%,3.19,,,16.60%,9.90,9.90,0.01,0.03,,,,-7.58%,24.43%,-12.17%,-56.87%,,5.61%,,0.67,7.51%,8.61%,-0.93%,10.21%,-33.48%,-11.31%,52.48%,-72.77%,52.48%,51.76,-0.87%,0.00%,2.80,1405.01,0.35,8.59,-0.87%,266795,,24.20,7/22/2021,,
