"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",46813.54,39.59,32.28,2.83,7.41,9.58,32.78,45.72,0.50%,24.40%,3.95,-31.60%,14.09%,12.00%,14.00%,5.70%,35.30%,25.80%,303.00,302.58,0.30%,-8.93%,90.30%,0.01%,1.44%,2.90,9.20%,19.00%,8.90%,2.10,1.60,0.55,0.58,53.90%,18.10%,14.60%,3.18%,-1.57%,-9.36%,8.07%,31.91%,31.90%,1.00,4.08,1.89%,2.68%,-2.37%,-2.48%,2.73%,-8.33%,3.81%,-15.42%,35.04%,43.53,-1.94%,-0.90%,,1503.85,1.20,151.88,-2.82%,1811825,11/22/2021 4:30:00 PM,177.31,11/18/1999,151.88,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",9156.08,11.12,7.61,,0.82,2.30,6.31,203.47,0.84%,0.00%,4.29,85.00%,1.88%,28.00%,,-3.70%,769.80%,31.50%,187.00,184.14,0.10%,-49.13%,77.50%,-1.59%,5.28%,1.19,5.60%,23.00%,5.60%,1.50,0.90,0.44,0.44,22.00%,12.60%,7.30%,4.87%,-6.70%,-0.46%,31.66%,109.19%,107.29%,2.41,2.62,5.02%,4.95%,5.79%,4.13%,24.00%,-12.35%,16.64%,-12.35%,191.68%,56.42,3.06%,2.47%,1.80,8188.38,1.78,50.46,5.61%,14614458,10/14/2021 4:30:00 PM,59.02,10/18/2016,50.47,0.02%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51%,-4.08%,-1.00%,-3.95%,-2.95%,-6.18%,,0.15,0.41%,0.74%,-1.69%,-1.38%,-1.18%,-5.20%,1.26%,-9.41%,5.51%,41.05,0.17%,-1.07%,,233.22,0.74,17.61,-0.90%,172594,,,8/15/2018,17.61,0.00%
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1223.73,43.75,,,,1.31,1359.70,,,,0.22,,,,,,,,125.00,100.00,,,67.60%,11.78%,0.07%,0.25,,,,1.70,1.70,0.00,0.00,,,,0.10%,-0.41%,0.31%,0.00%,,-0.71%,,0.03,0.26%,0.33%,-0.15%,-0.13%,0.05%,-0.71%,0.51%,-2.10%,3.05%,46.57,-0.10%,0.00%,,278.66,1.61,9.79,-0.10%,448393,,,3/25/2021,9.79,0.00%
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",44.59,,,,1.49,1.48,3.78,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.50%,5.25%,0.08%,0.51,-17.50%,-49.20%,-48.20%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,2.16%,-35.75%,-49.82%,-54.49%,22.39%,19.33%,1.74,0.15,16.29%,9.51%,-15.45%,-31.35%,-51.21%,-51.03%,14.73%,-92.81%,22.41%,32.69,0.00%,0.00%,1.50,44.85,0.22,1.42,0.00%,10052,11/10/2021 4:30:00 PM,32.50,1/29/2008,,
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",201.92,,,,,1950.00,,,,,,,,,,,,,20.71,,25.41%,0.00%,,,,0.00,,,,,,,,,,,-0.31%,,,,,0.00%,,0.08,0.19%,,-0.16%,-0.16%,-0.16%,-1.52%,4.28%,-1.52%,4.28%,,0.00%,-0.10%,,97.19,0.02,9.74,-0.10%,2086,,,11/10/2021,9.74,0.00%
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,2002.00,,,,,,,,,,,,,,,,,87.84%,,,0.02,,,,,,,,,,,0.25%,0.60%,,,,2.14%,,0.07,1.18%,0.54%,0.29%,0.73%,0.90%,-4.94%,2.14%,-4.94%,2.56%,55.86,0.00%,0.00%,,129.99,0.00,10.01,0.00%,2,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,92.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.98%,,,,,-7.98%,,0.03,3.72%,,-1.47%,-1.47%,-1.47%,-16.67%,8.67%,-16.67%,8.67%,,11.09%,-2.17%,,76.27,0.28,0.50,8.67%,21030,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",490.83,,,,4908.27,1.49,3.04,,,,-11.63,82.30%,48.40%,30.90%,,,-705.00%,,20.89,12.38,0.10%,0.00%,54.40%,418.41%,1.33%,1.26,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,15.55%,8.87%,-15.02%,-15.05%,-29.78%,61.22%,1.45,1.96,6.72%,10.26%,5.96%,-4.24%,-7.43%,-26.09%,28.11%,-51.77%,67.84%,53.72,3.09%,-1.69%,1.70,130.69,1.51,24.02,1.35%,197489,,50.00,8/8/2017,24.00,-0.08%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01%,-4.98%,-7.71%,-7.13%,5.62%,2.19%,,0.81,0.61%,0.82%,-2.42%,-4.17%,-5.42%,-7.18%,1.08%,-11.19%,6.24%,39.18,-0.84%,-0.17%,,2.82,1.49,61.60,-1.01%,4210,,,7/21/2010,61.53,-0.11%
