rank,my_score,ticker,company,sentiment_score,analyst_recom,rs_rating,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,in_sp500
20,69.16666666666667,DVN,Devon Energy Corporation,26.0,86.5,95,2.32,45.09,49.97,10.82,$7.73,$31.99,28.18,27.48,22.9,True
78,65.0,CZR,"Caesars Entertainment, Inc.",26.0,84.0,85,1.59,93.94,138.38,47.31,$43.07,$113.46,94.83,94.16,89.84,True
93,64.66666666666667,URI,"United Rentals, Inc.",40.0,74.0,80,1.45,373.89,401.13,7.29,$159.01,$364.30,347.24,330.6,299.3,True
113,63.833333333333336,ALGN,"Align Technology, Inc.",17.0,86.5,88,1.7,653.2,761.83,16.63,$297.44,$733.33,702.19,667.17,586.9,True
139,62.5,CRL,"Charles River Laboratories International, Inc.",15.0,86.5,86,1.6,377.51,443.73,17.54,$205.40,$450.84,429.96,406.68,321.63,True
145,62.5,PWR,"Quanta Services, Inc.",14.0,86.5,87,1.67,121.98,133.75,9.65,$48.53,$116.72,102.27,94.73,86.38,True
159,62.0,AMP,"Ameriprise Financial, Inc.",25.0,84.0,77,1.38,302.46,337.11,11.46,$141.82,$277.95,269.82,257.98,231.81,True
169,61.666666666666664,ULTA,"Ulta Beauty, Inc.",45.0,74.0,66,1.2,409.56,428.64,4.66,$200.50,$414.98,374.97,355.07,321.57,True
176,61.5,EPAM,"EPAM Systems, Inc.",21.0,81.5,82,1.49,620.27,780.53,25.84,$305.83,$644.14,623.13,575.66,442.97,True
180,61.5,FTNT,"Fortinet, Inc.",16.0,76.5,92,1.99,333.24,367.7,10.34,$106.75,$322.00,307.06,283.91,204.35,True
183,61.333333333333336,SIVB,SVB Financial Group,22.0,74.0,88,1.72,740.45,808.81,9.23,$221.55,$608.84,569.6,566.57,511.35,True
184,61.333333333333336,CBRE,"CBRE Group, Inc.",22.0,79.0,83,1.52,104.24,126.17,21.04,$43.17,$98.93,95.13,91.44,79.32,True
210,60.5,TECH,Bio-Techne Corporation,12.0,86.5,83,1.53,476.97,554.2,16.19,$228.67,$521.46,489.38,475.38,401.08,True
212,60.333333333333336,IPG,"The Interpublic Group of Companies, Inc.",19.0,74.0,88,1.69,34.47,39.83,15.55,$15.92,$37.88,36.87,34.96,29.43,True
220,60.166666666666664,RJF,"Raymond James Financial, Inc.",15.0,86.5,79,1.43,102.5,118.62,15.73,$67.66,$143.14,138.33,133.67,119.95,True
226,60.0,JCI,Johnson Controls International plc,24.0,79.0,77,1.39,78.89,83.39,5.7,$39.80,$75.68,73.99,71.77,60.49,True
227,60.0,IT,"Gartner, Inc.",11.0,79.0,90,1.79,326.11,358.33,9.88,$115.86,$317.43,306.46,280.66,211.47,True
232,59.666666666666664,SCHW,The Charles Schwab Corporation,16.0,79.0,84,1.56,83.14,91.62,10.2,$33.79,$76.37,73.18,71.09,64.69,True
238,59.5,HCA,"HCA Healthcare, Inc.",17.0,81.5,80,1.44,239.85,286.7,19.53,$114.38,$257.42,248.54,237.66,196.48,True
239,59.5,MPWR,"Monolithic Power Systems, Inc.",10.0,86.5,82,1.51,552.58,603.29,9.18,$235.62,$505.82,480.92,438.14,373.33,True
243,59.5,ZBRA,Zebra Technologies Corporation,14.0,76.5,88,1.71,598.02,630.91,5.5,$246.83,$594.77,576.25,554.22,477.16,True
247,59.333333333333336,INTU,Intuit Inc.,22.0,84.0,72,1.31,684.0,734.87,7.44,$295.37,$582.96,550.33,527.2,430.21,True
248,59.166666666666664,TRMB,Trimble Inc.,18.0,81.5,78,1.41,86.23,96.33,11.71,$46.78,$96.49,92.2,87.13,76.91,True
251,59.166666666666664,MS,Morgan Stanley,12.0,81.5,84,1.56,101.12,112.24,11.0,$45.86,$105.81,103.45,97.6,82.25,True
260,58.833333333333336,CARR,Carrier Global Corporation,16.0,81.5,79,1.43,55.69,59.35,6.57,$28.58,$58.89,56.73,53.24,43.82,True
265,58.666666666666664,CDW,CDW Corporation,20.0,79.0,77,1.38,199.79,206.12,3.17,$105.87,$203.82,198.42,187.2,162.73,True
271,58.333333333333336,PAYC,"Paycom Software, Inc.",19.0,84.0,72,1.29,452.3,562.62,24.39,$263.35,$503.25,476.87,425.95,395.29,True
273,58.333333333333336,CTLT,"Catalent, Inc.",16.0,89.0,70,1.26,129.59,159.42,23.02,$79.65,$142.41,128.18,120.29,110.63,True
274,58.333333333333336,LKQ,LKQ Corporation,14.0,94.0,67,1.21,59.43,65.89,10.87,$26.73,$53.17,51.2,50.72,44.31,True
277,58.166666666666664,MSI,"Motorola Solutions, Inc.",20.0,86.5,68,1.23,261.29,270.27,3.44,$149.81,$246.84,239.56,229.21,195.47,True
286,57.833333333333336,FITB,Fifth Third Bancorp,13.0,81.5,79,1.42,44.6,48.58,8.92,$19.32,$43.06,38.43,37.59,35.42,True
288,57.833333333333336,AIG,"American International Group, Inc.",16.0,76.5,81,1.46,57.89,63.08,8.97,$25.57,$55.50,54.27,50.27,45.85,True
293,57.666666666666664,DHR,Danaher Corporation,20.0,84.0,69,1.24,315.48,348.08,10.33,$197.58,$333.29,320.69,299.45,251.32,True
295,57.666666666666664,LNC,Lincoln National Corporation,24.0,69.0,80,1.44,71.32,76.18,6.81,$29.42,$71.68,68.23,64.57,59.64,True
297,57.666666666666664,IQV,IQVIA Holdings Inc.,17.0,89.0,67,1.22,265.36,300.22,13.14,$146.00,$265.34,256.35,250.89,213.69,True
306,57.333333333333336,LH,Laboratory Corporation of America Holdings,10.0,89.0,73,1.32,283.73,336.14,18.47,$173.01,$309.28,303.65,292.41,253.39,True
307,57.333333333333336,KIM,Kimco Realty Corporation,21.0,74.0,77,1.39,24.38,25.21,3.4,$10.04,$22.45,21.73,21.27,18.89,True
313,57.166666666666664,NVDA,NVIDIA Corporation,17.0,81.5,73,1.32,326.74,331.54,1.47,$115.67,$230.43,212.28,203.65,158.53,True
315,57.166666666666664,TXT,Textron Inc.,18.0,76.5,77,1.39,75.31,86.0,14.19,$31.82,$74.80,72.49,70.0,59.02,True
317,57.0,A,"Agilent Technologies, Inc.",10.0,84.0,77,1.38,152.97,175.88,14.98,$95.44,$179.57,168.86,157.77,134.26,True
325,56.5,MET,"MetLife, Inc.",19.0,81.5,69,1.24,62.63,72.73,16.13,$35.19,$67.68,61.68,59.6,56.83,True
333,56.166666666666664,AVY,Avery Dennison Corporation,11.0,76.5,81,1.48,218.85,241.3,10.26,$114.59,$228.88,220.51,212.69,188.96,True
334,56.166666666666664,KLAC,KLA Corporation,11.0,76.5,81,1.47,413.3,416.9,0.87,$171.31,$359.69,332.68,325.51,305.81,True
336,55.833333333333336,DE,Deere & Company,19.0,76.5,72,1.31,367.86,399.07,8.48,$210.18,$400.34,376.02,362.41,337.15,True
348,55.333333333333336,EXR,Extra Space Storage Inc.,12.0,79.0,75,1.35,204.32,209.57,2.57,$102.74,$194.67,181.77,175.63,141.2,True
355,55.166666666666664,GRMN,Garmin Ltd.,21.0,71.5,73,1.32,143.11,163.14,14.0,$91.84,$178.81,171.17,159.9,136.5,True
356,55.0,MGM,MGM Resorts International,19.0,69.0,77,1.38,42.83,55.17,28.81,$19.55,$45.34,41.0,40.17,37.47,True
357,55.0,NTAP,"NetApp, Inc.",14.0,69.0,82,1.49,89.78,95.75,6.65,$40.46,$91.55,84.71,82.04,72.71,True
361,54.833333333333336,WST,"West Pharmaceutical Services, Inc.",11.0,81.5,72,1.3,433.72,457.0,5.37,$253.86,$470.42,447.49,410.92,328.6,True
364,54.333333333333336,ETN,Eaton Corporation plc,16.0,79.0,68,1.23,170.95,180.2,5.41,$96.24,$171.32,167.6,159.87,138.63,True
365,54.333333333333336,MLM,"Martin Marietta Materials, Inc.",13.0,74.0,76,1.37,422.96,429.14,1.46,$201.04,$391.76,379.37,365.6,334.92,True
368,54.333333333333336,PKI,"PerkinElmer, Inc.",14.0,79.0,70,1.26,176.95,188.82,6.71,$112.38,$191.07,184.57,173.3,147.69,True
374,53.333333333333336,PNC,"The PNC Financial Services Group, Inc.",11.0,74.0,75,1.35,208.63,213.22,2.2,$101.58,$203.88,190.1,187.87,172.26,True
375,53.166666666666664,IDXX,"IDEXX Laboratories, Inc.",11.0,71.5,77,1.38,622.45,701.0,12.62,$347.54,$706.95,676.99,673.46,553.79,True
379,53.0,HBAN,Huntington Bancshares Incorporated,17.0,74.0,68,1.23,16.35,17.78,8.75,$8.52,$16.91,15.2,14.56,14.48,True
380,52.666666666666664,DOV,Dover Corporation,18.0,74.0,66,1.2,176.24,186.08,5.58,$105.40,$176.40,173.32,165.04,141.57,True
383,52.333333333333336,WRK,WestRock Company,11.0,79.0,67,1.22,46.84,57.0,21.69,$31.70,$62.03,51.03,50.57,49.68,True
387,52.0,FFIV,"F5, Inc.",13.0,74.0,69,1.24,232.07,238.19,2.64,$116.79,$216.15,203.73,198.37,192.03,True
389,51.666666666666664,JPM,JPMorgan Chase & Co.,14.0,74.0,67,1.22,166.96,175.63,5.19,$91.38,$167.44,159.07,155.57,146.4,True
