"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date","Target Price","IPO Date","After-Hours Close","After-Hours Change"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",42553.10,35.66,26.29,2.55,6.73,7.85,27.02,40.11,0.60%,19.10%,3.94,71.00%,10.37%,22.90%,14.00%,8.50%,102.30%,11.90%,302.00,301.14,0.20%,-19.64%,90.70%,0.22%,1.42%,2.61,11.70%,24.30%,14.70%,2.20,1.70,0.51,0.51,53.90%,21.30%,19.10%,-4.23%,-7.26%,-9.76%,-5.72%,9.62%,-12.04%,1.02,3.80,2.31%,2.30%,-7.62%,-9.00%,-7.24%,-15.24%,0.06%,-21.80%,24.86%,31.61,-0.17%,0.14%,,1634.80,0.90,140.43,-0.03%,1472104,11/22/2021 4:30:00 PM,175.32,11/18/1999,140.43,0.00%
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",10996.96,13.88,9.14,,0.98,2.88,7.57,244.38,0.67%,0.00%,4.29,85.00%,3.85%,28.00%,,-3.70%,769.80%,31.50%,187.00,184.17,0.10%,-49.91%,77.60%,0.28%,8.01%,1.82,5.60%,23.00%,5.60%,1.50,0.90,0.44,0.44,22.00%,12.60%,7.30%,-4.13%,10.98%,11.08%,60.77%,161.08%,0.08%,2.42,2.90,4.79%,4.54%,0.15%,12.69%,35.49%,-7.36%,37.84%,-7.36%,244.68%,56.54,-2.87%,2.23%,1.80,8087.95,0.95,59.63,-0.70%,7708898,1/19/2022 4:30:00 PM,62.85,10/18/2016,60.64,1.69%
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99%,2.55%,3.98%,2.01%,-1.72%,0.72%,,0.15,0.60%,0.66%,1.84%,1.86%,2.19%,-1.43%,4.93%,-3.63%,9.71%,61.49,0.94%,0.67%,,201.42,0.62,18.31,1.61%,124097,,,8/15/2018,18.30,-0.05%
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1220.03,43.48,,,,1.30,1355.59,,,,0.22,,,,,,,,125.00,100.00,,,67.60%,0.00%,0.08%,0.30,,,,1.70,1.70,0.00,0.00,,,,-0.31%,-0.41%,-0.20%,-0.20%,,0.00%,,0.03,0.23%,0.26%,-0.16%,-0.47%,-0.40%,-1.22%,0.41%,-2.60%,2.53%,40.72,0.10%,0.00%,,261.90,0.89,9.74,0.10%,232058,,,3/25/2021,9.74,0.00%
5,"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services","China",55.66,,,,1.86,1.90,4.72,,,,-0.41,40.00%,-14.10%,-36.60%,25.00%,-17.20%,-61.50%,31.00%,31.19,29.64,18.70%,0.00%,17.50%,,0.01%,0.01,-17.50%,-49.20%,-48.20%,0.30,0.30,0.00,0.00,46.60%,-53.20%,-50.50%,-20.52%,43.31%,-28.91%,-42.95%,31.88%,70.01%,1.42,0.33,13.60%,21.60%,10.30%,6.40%,-29.04%,-38.10%,82.00%,-90.78%,82.00%,51.09,3.41%,0.00%,1.50,656.31,0.19,1.82,3.41%,121657,11/10/2021 4:30:00 PM,32.50,1/29/2008,1.81,-0.55%
6,"AACI","Armada Acquisition Corp. I","Financial","Shell Companies","USA",215.32,,,,,223.86,307.60,,,,-0.02,,,,,,,,21.86,17.41,25.41%,0.00%,42.00%,241.16%,0.02%,0.04,,,,4.40,4.40,0.00,0.00,,,,-0.30%,1.03%,,,,0.61%,,0.04,0.11%,0.33%,0.23%,0.62%,0.62%,-0.61%,5.46%,-0.61%,5.46%,53.68,0.00%,0.00%,,76.91,0.28,9.85,0.00%,21766,,,11/10/2021,,
7,"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,228.64,,,,,-0.09,,,,,,,,,,,,87.84%,,,0.01,,,,,,,,,,,0.30%,1.41%,2.55%,,,0.30%,,0.09,0.72%,0.67%,0.28%,0.86%,1.19%,-4.46%,2.65%,-4.46%,3.07%,54.66,0.00%,0.00%,,69.69,0.21,10.06,0.00%,0,,,8/13/2021,,
8,"AACIW","Armada Acquisition Corp. I","Financial","Shell Companies","USA",,,,,,96.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.73%,-2.02%,,,,-14.21%,,0.04,3.91%,8.77%,-8.94%,-6.95%,-6.95%,-28.33%,6.64%,-28.33%,6.64%,43.62,0.00%,-0.06%,,56.51,0.02,0.48,-0.06%,1318,,,11/11/2021,,
9,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",395.41,,,,3954.10,1.26,2.45,,,,-11.63,82.30%,52.60%,30.90%,,,-705.00%,,20.89,12.38,0.10%,0.00%,53.00%,-2.72%,5.11%,3.29,-134.90%,-147.00%,-14.70%,14.00,14.00,0.04,0.04,,,,-17.02%,-22.50%,-25.21%,-38.74%,-0.80%,-17.43%,1.47,1.67,8.10%,6.45%,-16.78%,-15.49%,-23.52%,-38.65%,6.35%,-59.96%,39.33%,36.52,-8.95%,-0.09%,1.60,192.03,1.79,19.94,-9.03%,344199,,48.75,8/8/2017,20.20,1.30%
10,"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,0.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.60%,1.01%,-4.25%,-3.80%,2.00%,-1.86%,,0.67,0.66%,0.72%,-0.92%,-0.83%,-3.13%,-4.87%,3.68%,-9.08%,7.83%,46.12,-0.13%,0.43%,,2.52,0.22,63.06,0.30%,567,,,7/21/2010,63.07,0.02%
11,"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage","USA",109.24,,13.09,,5.41,0.59,5.15,22.29,,,-0.15,-743.40%,19.91%,7.90%,-9.37%,,-126.40%,-46.80%,31.93,30.42,3.40%,4.39%,34.80%,-0.36%,0.77%,1.64,-0.50%,-2.40%,,,,0.49,3.43,53.10%,,-23.80%,-3.88%,-0.57%,-11.48%,-12.15%,-9.40%,-0.86%,1.72,0.07,1.62%,2.26%,-2.05%,-4.50%,-9.78%,-11.03%,3.58%,-21.49%,3.58%,38.17,0.29%,-1.70%,2.70,143.04,0.70,3.47,-1.42%,99546,11/9/2021 4:30:00 PM,4.62,12/23/1997,,
12,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",11723.72,,,,0.48,,0.81,,,,-5.50,-583.80%,96.40%,-29.60%,16.09%,-15.80%,105.40%,182.70%,648.56,641.17,0.50%,0.00%,56.40%,0.03%,14.66%,2.61,-4.80%,43.30%,-30.50%,1.00,0.90,,,54.10%,-11.40%,-13.20%,-8.99%,2.12%,-11.37%,-19.11%,7.05%,-3.62%,1.62,0.81,4.69%,4.20%,-6.20%,-7.34%,-15.73%,-22.55%,7.18%,-33.65%,15.25%,41.20,-3.30%,0.00%,3.00,35987.06,0.99,17.31,-3.30%,35597157,1/20/2022 8:30:00 AM,19.06,12/9/2013,17.29,-0.12%
13,"AAME","Atlantic American Corporation","Financial","Insurance - Life","USA",50.93,3.96,,,0.24,0.36,3.56,254.62,0.80%,3.20%,0.63,,,24.30%,,3.30%,-161.10%,6.50%,20.40,4.02,2.80%,0.00%,5.70%,,2.30%,4.80,3.30%,9.30%,7.70%,,,0.24,0.24,,8.80%,6.20%,-12.28%,-29.78%,-39.76%,-37.34%,4.60%,2.04%,0.11,0.26,10.53%,10.17%,-13.08%,-28.93%,-36.89%,-44.81%,5.04%,-84.35%,12.11%,29.24,-3.85%,3.59%,,19.29,0.59,2.50,-0.40%,11430,,,3/17/1980,2.49,-0.40%
14,"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services","USA",679.81,7.70,7.73,,0.37,0.97,45.93,60.16,1.85%,10.50%,2.81,15.90%,-20.11%,-37.70%,-12.10%,-4.00%,109.20%,-65.30%,32.48,30.81,1.20%,-13.95%,95.40%,-0.26%,2.31%,2.85,7.10%,13.30%,-36.30%,,,0.00,0.00,63.20%,7.00%,5.30%,-6.20%,-9.98%,-24.06%,-25.29%,5.30%,-12.17%,,0.80,3.35%,3.14%,-9.87%,-11.14%,-23.06%,-21.04%,-0.92%,-42.25%,30.11%,29.42,-1.64%,0.00%,2.70,249.28,0.73,21.65,-1.64%,182864,10/26/2021 8:30:00 AM,33.50,11/4/1982,21.65,0.00%
