no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,simple_moving_average_20day,simple_moving_average_50day,simple_moving_average_200day,high_50day,low_50day,high_52week,low_52week,relative_strength_index_14,change_from_open,gap,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
27,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,255882.26,34.28,11.8,8.36,4.64,18.8,20.89,23.83,3.92%,133.00%,4.2,-48.50%,-13.83%,-2.80%,4.10%,14.90%,37.60%,11.20%,1770.0,1765.97,0.10%,-22.61%,68.40%,0.06%,0.91%,2.17,4.40%,49.90%,12.70%,1.0,0.9,5.46,5.96,67.90%,28.20%,12.00%,1.42%,8.27%,23.03%,21.22%,34.53%,6.37%,0.8,2.83,1.87%,2.08%,3.18%,6.35%,20.56%,-2.17%,19.28%,-2.17%,41.14%,65.79,-0.46%,-0.19%,7452.24,1.01,144.03,-0.65%,7556586,2/2/2022 8:30:00 AM,148.05,12/10/2012,144.15,0.08%,69.0,90,1.23,144.03,140.19,135.88,119.61,102.05,147.22,12.0,2.79,57.0,True
28,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,29867.82,18.37,12.23,1.78,0.14,121.98,8.43,16.62,1.30%,22.80%,7.7,144.40%,7.21%,3.20%,10.34%,7.80%,17.30%,13.50%,208.56,149.77,0.20%,-45.72%,65.40%,0.59%,1.13%,1.56,3.00%,,24.30%,0.9,0.6,26.55,27.67,3.30%,1.10%,0.70%,0.90%,6.49%,13.66%,18.37%,33.34%,6.48%,0.47,3.14,1.98%,2.47%,2.78%,6.39%,14.89%,-1.80%,18.47%,-1.80%,40.50%,61.96,-0.42%,-0.01%,1087.02,1.01,141.5,-0.43%,1099296,2/2/2022 8:30:00 AM,153.5,4/4/1995,141.5,0.00%,63.0,89,1.2,141.5,138.17,133.42,123.28,100.71,144.22,13.0,8.48,55.0,True
212,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,4036.6,16.43,16.0,5.48,4.77,0.66,39.97,,1.54%,24.40%,3.48,4.40%,0.99%,-10.00%,3.00%,-15.80%,-77.50%,-32.90%,72.7,66.34,0.10%,-22.08%,95.10%,-1.13%,2.68%,4.03,1.60%,4.20%,4.30%,,,0.27,0.27,,34.50%,32.30%,-1.35%,8.56%,7.32%,15.35%,44.41%,13.94%,1.15,1.52,2.21%,2.82%,3.65%,8.96%,14.52%,-4.41%,27.28%,-4.41%,46.50%,58.67,-0.28%,-0.38%,440.9,1.69,57.2,-0.66%,746929,2/24/2022 4:30:00 PM,61.0,4/23/2004,57.2,0.00%,78.0,93,1.3,57.2,55.46,52.65,49.98,39.05,59.84,37.0,6.64,69.33333333333333,True
237,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,52503.22,9.69,11.61,0.32,1.1,0.82,19.45,17.28,2.07%,19.90%,6.37,-286.60%,12.44%,-43.90%,30.69%,-5.80%,507.80%,25.60%,852.76,829.46,0.10%,-0.82%,92.90%,-0.75%,0.98%,1.59,0.90%,8.60%,-4.20%,,,0.49,0.49,,16.50%,11.70%,1.63%,4.91%,10.00%,15.23%,39.98%,8.56%,1.33,1.92,3.11%,3.46%,3.53%,5.91%,13.31%,-2.85%,19.05%,-2.85%,48.80%,58.19,2.24%,-1.63%,5120.75,1.07,61.73,0.57%,5488007,2/16/2022 4:30:00 PM,64.85,4/3/1972,61.73,0.00%,63.0,93,1.3,61.73,59.85,58.42,54.54,42.08,63.54,15.0,5.05,57.0,True
358,AMNB,American National Bankshares Inc.,Financial,Banks - Regional,USA,415.28,9.73,12.19,2.43,4.33,1.2,0.8,19.14,2.88%,31.10%,4.0,37.90%,4.93%,9.60%,4.00%,11.70%,42.60%,0.40%,10.83,10.3,3.60%,-0.08%,38.70%,-0.51%,0.84%,4.32,1.20%,11.10%,17.70%,,,0.08,0.08,,89.80%,39.70%,2.77%,3.70%,0.83%,18.26%,30.78%,3.29%,1.1,1.09,2.38%,3.12%,2.02%,2.06%,11.00%,-2.68%,8.68%,-3.52%,34.20%,56.16,0.44%,-0.44%,19.92,0.92,38.92,0.00%,18385,1/20/2022 8:30:00 AM,42.0,4/13/1999,38.92,0.00%,69.0,88,1.19,38.92,38.22,38.17,35.08,29.0,40.34,14.0,7.91,57.0,True
363,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,1216.14,36.25,17.67,1.45,2.95,2.93,10.61,27.33,,0.00%,0.72,-97.10%,12.95%,19.70%,25.00%,6.80%,651.50%,34.50%,48.02,36.61,0.60%,-32.79%,61.40%,3.07%,5.29%,7.23,5.60%,8.70%,1.70%,3.1,2.1,0.18,0.18,43.70%,15.00%,8.70%,-3.43%,6.41%,30.40%,38.75%,44.73%,12.54%,0.7,1.11,3.38%,5.21%,2.59%,8.47%,26.04%,-4.20%,24.81%,-4.20%,55.00%,55.9,1.39%,-0.65%,267.73,3.07,26.21,0.73%,820992,,28.25,6/25/2014,26.21,0.00%,53.0,92,1.27,26.21,25.62,24.26,20.84,16.91,27.36,12.0,7.78,52.333333333333336,True
369,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA,805.34,3.94,10.39,,0.1,1.99,41.51,4.79,,0.00%,17.88,312.90%,-13.72%,68.70%,,2.30%,125.40%,28.20%,11.38,8.44,8.00%,-10.42%,44.70%,4.18%,2.32%,2.15,15.40%,51.30%,17.20%,1.5,0.6,0.23,1.18,3.40%,2.70%,2.30%,-5.92%,19.40%,1.15%,54.37%,151.32%,15.42%,-0.46,2.97,3.79%,4.74%,6.73%,13.47%,24.09%,-8.42%,29.49%,-12.86%,177.85%,61.13,-0.52%,-0.53%,91.48,1.1,70.52,-1.05%,100700,2/8/2022 4:30:00 PM,93.5,3/17/2014,70.52,0.00%,69.0,99,2.19,70.52,66.73,62.23,57.74,26.24,80.93,54.0,32.59,74.0,True
393,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,1276.09,14.89,14.71,1.86,0.11,1.26,5.88,,1.84%,25.70%,2.63,-58.00%,0.00%,20.10%,8.00%,14.30%,,56.00%,33.28,30.77,2.60%,-25.49%,78.00%,-0.31%,1.61%,2.54,2.20%,9.00%,0.70%,1.4,0.9,0.53,0.9,4.80%,1.10%,0.80%,1.61%,5.82%,4.91%,28.85%,45.48%,1.06%,0.73,1.44,4.69%,3.88%,2.69%,3.07%,18.89%,-5.62%,14.05%,-5.62%,59.45%,55.79,1.19%,0.49%,194.74,0.88,39.12,1.69%,171936,2/15/2022 4:30:00 PM,44.5,2/20/1996,39.12,0.00%,69.0,95,1.37,39.12,38.18,38.04,32.94,24.91,41.45,16.0,13.75,60.0,True
449,APR,"Apria, Inc.",Healthcare,Medical Instruments & Supplies,USA,1322.38,18.62,20.31,,1.16,56.44,6.11,17.42,,0.00%,2.0,195.30%,8.65%,18.20%,,0.30%,268.70%,3.80%,35.31,34.63,2.00%,-93.37%,94.50%,-7.31%,4.11%,2.33,10.50%,,14.00%,1.2,1.2,15.2,16.55,70.40%,9.30%,6.50%,0.08%,-0.03%,26.44%,1.78%,70.48%,14.26%,,0.13,0.25%,0.33%,0.00%,7.86%,14.41%,-1.14%,30.36%,-6.87%,85.60%,64.72,0.11%,-0.16%,610.21,0.3,37.25,-0.05%,180731,11/4/2021 4:30:00 PM,38.33,2/11/2021,37.24,-0.03%,75.0,97,1.58,37.25,37.25,34.65,32.61,20.07,40.0,11.0,2.9,61.0,True
468,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,6586.6,,6.21,,1.86,1.4,,4.66,,,-3.24,-319.20%,115.62%,-27.40%,,-2.50%,12.20%,40.30%,313.79,273.59,0.90%,-37.44%,78.10%,0.78%,7.41%,2.76,-7.80%,-18.60%,-11.40%,0.3,0.3,0.48,0.48,64.40%,-34.60%,-28.80%,7.54%,24.10%,13.45%,86.57%,147.49%,23.89%,4.2,1.22,7.01%,6.41%,10.22%,15.61%,31.64%,-1.59%,35.67%,-1.59%,169.99%,63.78,5.65%,-1.11%,7345.82,1.6,21.68,4.48%,11784267,2/16/2022 4:30:00 PM,28.25,10/10/2013,21.62,-0.28%,63.0,99,2.17,21.68,19.91,18.84,16.53,8.03,22.36,17.0,30.3,59.666666666666664,True
