rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_russell_3k
2,77.16666666666667,NOTV,"Inotiv, Inc.",26.0,1.0,99,5.14,34.32,38.0,10.72,$4.85,$50.33,33.69,30.78,23.82,106.5,True
3,76.33333333333333,SGH,"SMART Global Holdings, Inc.",53.0,1.7,87,1.64,53.53,69.0,28.9,$24.37,$58.39,47.0,46.89,46.48,89.0,True
4,76.33333333333333,SKIN,The Beauty Health Company,49.0,1.7,91,1.84,25.6,28.17,10.04,$9.71,$28.62,26.29,24.72,16.18,89.0,True
5,76.0,BPOP,"Popular, Inc.",54.0,1.7,85,1.58,79.19,86.25,8.92,$38.05,$83.72,77.78,76.25,72.24,89.0,True
6,74.83333333333333,HCCI,"Heritage-Crystal Clean, Inc",43.0,1.4,85,1.57,30.83,34.6,12.23,$14.11,$34.91,29.16,28.93,27.86,96.5,True
7,74.33333333333333,UEC,Uranium Energy Corp.,32.0,1.5,97,2.68,3.41,3.91,14.66,$0.82,$3.77,3.09,2.78,2.6,94.0,True
8,74.16666666666667,BNED,"Barnes & Noble Education, Inc.",43.0,2.0,98,3.15,10.56,11.5,8.9,$2.10,$12.01,10.69,9.43,8.05,81.5,True
9,73.66666666666667,GDEN,"Golden Entertainment, Inc.",35.0,1.7,97,2.88,50.35,61.5,22.14,$12.30,$54.86,49.12,48.0,36.49,89.0,True
13,71.83333333333333,PDCE,"PDC Energy, Inc.",31.0,1.8,98,3.1,50.83,60.06,18.16,$10.61,$51.81,46.97,43.09,37.96,86.5,True
19,70.0,AKR,Acadia Realty Trust,46.0,2.3,90,1.77,22.43,24.14,7.62,$9.10,$23.00,21.09,21.05,19.97,74.0,True
20,69.83333333333333,CARE,"Carter Bankshares, Inc.",42.0,2.0,86,1.61,14.65,16.17,10.38,$6.73,$16.28,14.46,13.33,12.9,81.5,True
21,69.33333333333333,SB,"Safe Bulkers, Inc.",41.0,2.5,98,3.56,4.61,5.0,8.46,$0.82,$5.44,4.86,4.29,3.32,69.0,True
23,68.83333333333333,KE,"Kimball Electronics, Inc.",10.0,1.0,90,1.8,28.75,33.0,14.78,$11.60,$29.99,26.85,25.04,22.95,106.5,True
25,68.83333333333333,AVID,"Avid Technology, Inc.",39.0,2.4,96,2.63,29.76,42.5,42.81,$8.21,$40.48,28.92,27.56,26.52,71.5,True
26,68.66666666666667,ESTE,"Earthstone Energy, Inc.",30.0,2.1,97,2.97,10.39,14.63,40.81,$2.41,$13.15,9.88,8.93,8.49,79.0,True
27,68.66666666666667,CLH,"Clean Harbors, Inc.",41.0,1.9,81,1.43,107.92,114.5,6.1,$52.22,$109.53,104.73,102.73,91.88,84.0,True
