Company,Recommendations
RETA,1.3
QFIN,1.4
LEGN,1.5
ABCL,1.6
IHRT,1.6
PGNY,1.6
CYRX,1.6
PANW,1.7
ARNA,1.7
MTZ,1.7
TUYA,1.7
IMAB,1.7
ADPT,1.7
FND,1.7
EXAS,1.7
DRNA,1.7
BNR,1.7
ARVN,1.7
RUN,1.8
SDGR,1.8
AMED,1.8
DOCN,1.9
OCFT,1.9
ZNGA,1.9
CRNC,1.9
BLI,1.9
IBRX,2.0
SAVA,2.0
SWTX,2.0
BEKE,2.0
RLX,2.0
NVAX,2.0
SEM,2.0
BRKS,2.0
VLRS,2.0
PTON,2.0
ALLK,2.1
MRTX,2.1
ZG,2.1
OKTA,2.1
KYMR,2.1
ARWR,2.1
Z,2.2
SAGE,2.2
OLED,2.2
ANGI,2.2
FSR,2.3
BGNE,2.3
SRCL,2.3
CVET,2.3
HUYA,2.3
W,2.3
TWST,2.3
PACB,2.4
TRUP,2.4
EXPE,2.4
FEYE,2.4
SAVE,2.4
FROG,2.5
QDEL,2.5
FLGT,2.5
TDC,2.6
BIGC,2.6
RDFN,2.6
GFI,2.6
CVAC,2.7
FLS,2.8
AU,2.8
DLO,2.8
CGNX,2.9
APPN,2.9
AIN,2.9
NVCR,3.0
HMY,4.0
SWIM,6.0
EXPGY,6.0
EDVMF,6.0
NTDOY,6.0
TSP,6.0
VMEO,6.0
DDL,6.0
WXXWY,6.0
DUOL,6.0
DOCS,6.0
ALBHF,6.0
GELYF,6.0
GLBE,6.0
HIPO,6.0
RXRX,6.0
BACHF,6.0
KNBE,6.0
AMEH,6.0
LAW,6.0
AUOTY,6.0
LSRCY,6.0
MDEVF,6.0
APP,6.0
MKKGY,6.0
SQSP,6.0
NCMGY,6.0
