Company,Recommendations
CNXC,1.0
MIXT,1.0
NVMI,1.5
OIIM,1.5
VNET,1.6
BTRS,1.6
UCTT,1.7
WIX,1.7
AVLR,1.7
ADI,1.7
RNG,1.7
NOVA,1.7
MGIC,1.7
BAND,1.8
ICHR,1.8
RUN,1.8
MPWR,1.8
INTU,1.8
GLW,1.9
MU,1.9
NVDA,1.9
LSCC,1.9
KEYS,1.9
PI,1.9
SMTC,1.9
VNT,1.9
PD,1.9
PING,2.0
RAAS,2.0
TEAM,2.0
ZBRA,2.0
LRCX,2.0
QCOM,2.0
AAPL,2.0
ZS,2.0
DQ,2.0
EPAM,2.0
AMAT,2.0
LAZR,2.1
LOGI,2.1
ENTG,2.1
MKSI,2.1
IPGP,2.1
DIOD,2.1
ALRM,2.1
OKTA,2.1
VICR,2.2
APH,2.2
TER,2.2
ST,2.2
OLED,2.2
STM,2.2
QRVO,2.2
KLIC,2.2
LFUS,2.2
FTNT,2.2
ZM,2.2
SQ,2.3
AMD,2.3
SWKS,2.3
SIMO,2.3
KLAC,2.3
NCNO,2.3
FTV,2.3
COUP,2.3
KN,2.4
GRMN,2.4
TXN,2.4
FROG,2.5
SLAB,2.5
EVTC,2.5
HPQ,2.6
AI,2.7
CTS,2.7
SABR,2.8
MXIM,2.8
CGNX,2.9
ARW,2.9
CAJ,3.0
INST,3.0
SPWR,3.1
UI,3.3
DCBO,6.0
DSPG,6.0
YMM,6.0
SABRP,6.0
