rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_russell_3k
2,77.33333333333333,SKIN,The Beauty Health Company,50.0,1.7,93,1.98,29.49,30.0,1.73,$9.71,$29.19,26.7,26.27,17.15,89.0,True
3,77.16666666666667,NOTV,"Inotiv, Inc.",25.0,1.0,100,7.84,54.74,64.5,17.83,$5.00,$54.90,38.39,33.95,25.48,106.5,True
4,75.5,HCCI,"Heritage-Crystal Clean, Inc",46.0,1.4,84,1.48,35.37,38.4,8.57,$16.80,$36.29,31.77,29.98,28.52,96.5,True
5,75.0,SGH,"SMART Global Holdings, Inc.",51.0,1.7,85,1.51,55.69,72.0,29.29,$26.38,$58.39,50.19,48.57,47.27,89.0,True
6,74.66666666666667,UEC,Uranium Energy Corp.,32.0,1.5,98,3.23,4.0,4.03,0.75,$0.85,$4.29,3.58,3.19,2.72,94.0,True
8,73.0,GDEN,"Golden Entertainment, Inc.",34.0,1.7,96,2.62,51.85,62.4,20.35,$13.58,$54.86,50.82,48.88,38.49,89.0,True
10,72.16666666666667,PDCE,"PDC Energy, Inc.",32.0,1.8,98,3.16,53.27,64.06,20.26,$11.13,$54.47,50.89,46.57,39.81,86.5,True
11,72.0,BPOP,"Popular, Inc.",51.0,1.7,76,1.28,80.69,98.75,22.38,$42.68,$85.59,81.28,77.88,73.74,89.0,True
13,70.83333333333333,AJX,Great Ajax Corp.,55.0,2.0,76,1.27,14.07,17.4,23.67,$7.73,$14.57,14.15,13.85,12.56,81.5,True
15,70.83333333333333,FANG,"Diamondback Energy, Inc.",29.0,1.8,97,2.96,114.45,125.62,9.76,$24.57,$114.73,109.29,93.4,81.83,86.5,True
18,70.33333333333333,DAR,Darling Ingredients Inc.,44.0,1.7,78,1.32,82.69,97.33,17.7,$42.11,$85.98,77.22,75.14,71.31,89.0,True
19,70.33333333333333,CLH,"Clean Harbors, Inc.",41.0,1.9,86,1.53,117.15,118.5,1.15,$55.61,$115.85,110.8,105.78,94.01,84.0,True
20,69.83333333333333,KOS,Kosmos Energy Ltd.,31.0,2.0,97,2.76,3.8,5.72,50.53,$0.98,$4.24,3.63,2.97,2.9,81.5,True
21,69.83333333333333,THRY,"Thryv Holdings, Inc.",21.0,1.6,97,2.7,31.67,44.5,40.51,$8.32,$37.26,29.92,29.82,27.62,91.5,True
22,69.83333333333333,DVN,Devon Energy Corporation,25.0,1.8,98,3.17,41.98,45.52,8.43,$9.30,$42.40,40.14,34.75,27.06,86.5,True
