,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp500
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,14825.22,76.5,18.0,79,1.2,231.83,254.06,9.59,0.03%,2.45%,11.09%,24.74%,61.97%,49.69%,231.63,,201.1,143.15,243.05,57.833333333333336,True
19,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,34421.56,84.0,26.0,80,1.21,301.31,337.11,11.88,-1.53%,2.00%,11.47%,18.86%,65.42%,56.42%,304.47,,258.0,182.83,312.15,63.333333333333336,True
25,APA,APA Corporation,Energy,Oil & Gas E&P,10970.91,71.5,15.0,90,1.47,26.53,33.98,28.08,-3.88%,0.89%,57.03%,39.01%,121.38%,100.63%,28.23,,21.06,12.2,31.14,58.833333333333336,True
40,BAC,Bank of America Corporation,Financial,Banks - Diversified,396621.67,71.5,13.0,81,1.24,46.28,47.58,2.81,0.89%,-0.02%,12.69%,12.99%,73.42%,56.71%,47.17,,40.9,27.92,48.69,55.166666666666664,True
101,DRE,Duke Realty Corporation,Real Estate,REIT - Industrial,22343.45,79.0,13.0,79,1.2,58.77,60.81,3.47,2.39%,6.16%,19.53%,28.01%,53.82%,47.94%,57.03,,48.17,37.54,59.33,57.0,True
103,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,31378.88,86.5,23.0,96,2.09,41.14,49.97,21.46,0.02%,6.84%,50.57%,68.02%,208.84%,182.86%,42.16,,28.81,13.78,44.79,68.5,True
104,DXCM,"DexCom, Inc.",Healthcare,Diagnostics & Research,57825.9,91.5,15.0,91,1.53,618.06,638.88,3.37,-8.95%,3.81%,14.00%,66.34%,83.75%,59.58%,624.85,,459.12,311.01,659.45,65.83333333333333,True
125,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,21094.77,86.5,26.0,93,1.74,105.47,131.62,24.79,0.01%,0.71%,46.90%,40.75%,147.67%,127.67%,109.93,,85.23,39.3,117.71,68.5,True
130,FITB,Fifth Third Bancorp,Financial,Banks - Regional,31075.02,81.5,19.0,82,1.26,44.16,48.58,10.01,0.02%,-1.62%,14.13%,7.61%,72.40%,62.64%,44.16,,39.53,25.27,45.92,60.833333333333336,True
135,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,53700.17,76.5,19.0,96,2.17,330.8,367.7,11.15,-3.97%,-1.33%,7.01%,51.81%,179.71%,120.48%,335.79,,251.47,115.71,355.35,63.833333333333336,True
