,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_russell_3k
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,14256.78,76.5,18.0,80,1.2,226.73,254.06,12.05,-2.24%,-1.57%,11.24%,19.50%,51.76%,43.95%,232.03,,202.19,143.15,243.05,58.166666666666664,True
1,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,2681.61,81.5,27.0,85,1.3,92.31,105.57,14.36,2.89%,15.58%,25.03%,23.19%,64.81%,69.25%,87.77,,71.56,50.22,95.0,64.5,True
5,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2106.06,86.5,19.0,95,1.83,62.83,68.5,9.02,-0.19%,25.23%,21.60%,51.62%,133.40%,115.76%,61.15,,44.33,26.82,65.16,66.83333333333333,True
7,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,12038.76,74.0,20.0,79,1.18,139.08,160.33,15.28,-2.98%,9.17%,10.97%,28.73%,87.97%,95.49%,141.55,,127.4,79.21,146.63,57.666666666666664,True
12,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,7001.62,79.0,15.0,90,1.48,170.19,213.67,25.55,-3.47%,6.43%,-2.36%,3.77%,87.45%,67.35%,180.67,,160.31,86.94,191.62,61.333333333333336,True
13,AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,5395.82,89.0,21.0,88,1.39,116.49,133.33,14.46,0.26%,20.99%,6.53%,31.33%,75.33%,70.68%,109.62,,95.3,63.51,124.62,66.0,True
14,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,33036.64,84.0,26.0,80,1.21,291.74,337.11,15.55,-3.77%,-1.55%,5.54%,12.28%,53.39%,50.13%,304.53,,259.27,182.83,312.15,63.333333333333336,True
16,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,835.2,81.5,55.0,95,1.84,70.72,91.0,28.68,1.43%,-1.19%,51.22%,37.12%,141.94%,185.04%,72.33,,49.63,25.08,80.93,77.16666666666667,True
17,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,858.49,76.5,15.0,91,1.5,29.26,33.0,12.78,-7.52%,10.42%,18.70%,21.31%,86.01%,92.50%,29.46,,22.63,13.63,32.67,60.833333333333336,True
18,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,39470.53,74.0,16.0,90,1.45,124.97,127.58,2.09,-5.72%,24.10%,34.07%,47.29%,84.76%,72.03%,127.06,,89.82,65.52,134.14,60.0,True
19,APA,APA Corporation,Energy,Oil & Gas E&P,10111.58,71.5,15.0,91,1.49,26.24,33.98,29.5,-4.86%,-2.45%,40.02%,26.15%,85.84%,84.92%,28.29,,21.21,12.2,31.14,59.166666666666664,True
20,ARCB,ArcBest Corporation,Industrials,Trucking,2670.79,84.0,24.0,96,1.98,105.69,127.56,20.69,-2.80%,21.52%,55.95%,35.78%,148.33%,147.69%,108.55,,73.99,39.84,116.79,68.0,True
21,ARES,Ares Management Corporation,Financial,Asset Management,23964.88,81.5,13.0,89,1.44,82.17,90.12,9.68,-7.50%,-0.78%,9.40%,48.91%,82.44%,74.64%,86.22,,65.91,44.43,90.08,61.166666666666664,True
22,ASGN,ASGN Incorporated,Industrials,Staffing & Employment Services,6370.48,79.0,18.0,80,1.2,121.76,124.8,2.5,-3.43%,6.06%,7.44%,18.11%,49.34%,45.77%,125.67,,106.02,77.45,131.0,59.0,True
23,ASIX,AdvanSix Inc.,Basic Materials,Chemicals,1343.14,94.0,19.0,96,2.01,46.93,58.0,23.59,-4.03%,6.13%,28.54%,48.23%,152.04%,134.77%,48.8,,34.37,17.46,50.95,69.66666666666667,True
24,ASO,"Academy Sports and Outdoors, Inc.",Consumer Cyclical,Specialty Retail,4269.28,86.5,19.0,97,2.2,46.03,55.5,20.57,-7.46%,7.82%,9.10%,26.01%,175.63%,122.05%,46.78,,36.76,15.57,51.08,67.5,True
25,ATEN,"A10 Networks, Inc.",Technology,Software - Infrastructure,1178.95,89.0,15.0,91,1.49,15.23,19.67,29.15,-7.42%,12.15%,5.18%,56.53%,87.33%,54.46%,16.34,,11.77,7.72,19.05,65.0,True
26,ATKR,Atkore Inc.,Industrials,Specialty Industrial Machinery,4876.19,76.5,14.0,96,2.1,105.82,116.75,10.33,-5.18%,17.07%,16.04%,37.07%,160.64%,157.41%,104.9,,81.52,38.75,118.49,62.166666666666664,True
27,AVID,"Avid Technology, Inc.",Communication Services,Electronic Gaming & Multimedia,1436.4,71.5,38.0,96,2.1,32.69,42.5,30.01,-5.27%,14.62%,24.20%,5.86%,170.61%,105.99%,31.99,,28.44,11.64,40.48,68.5,True
28,AVNT,Avient Corporation,Basic Materials,Specialty Chemicals,5324.42,91.5,16.0,81,1.22,57.4,62.64,9.13,-5.67%,7.31%,9.35%,10.43%,54.30%,42.50%,58.38,,49.91,36.36,61.46,62.833333333333336,True
29,AX,"Axos Financial, Inc.",Financial,Banks - Regional,3488.89,91.5,20.0,85,1.32,58.09,62.62,7.8,-3.33%,13.81%,17.12%,22.53%,62.22%,54.78%,59.05,,49.04,33.31,62.44,65.5,True
