rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_russell_3k
2,77.83333333333333,OPCH,"Option Care Health, Inc.",57.0,1.6,85,1.63,24.82,27.81,12.05,$12.47,$27.97,23.98,22.33,19.22,91.5,True
3,76.0,BPOP,"Popular, Inc.",53.0,1.7,86,1.66,78.59,86.25,9.75,$35.51,$83.72,74.17,73.99,69.91,89.0,True
4,75.83333333333333,NOTV,"Inotiv, Inc.",22.0,1.0,99,5.09,30.56,38.0,24.35,$4.66,$50.33,32.36,29.38,22.19,106.5,True
5,75.5,HCCI,"Heritage-Crystal Clean, Inc",43.0,1.4,87,1.67,29.55,34.6,17.09,$13.00,$34.91,28.65,28.51,27.22,96.5,True
6,73.33333333333333,GDEN,"Golden Entertainment, Inc.",35.0,1.7,96,2.51,49.26,61.5,24.85,$12.25,$54.86,48.11,46.35,32.34,89.0,True
7,72.33333333333333,DAR,Darling Ingredients Inc.,42.0,1.7,86,1.66,73.71,96.21,30.53,$33.83,$79.65,73.87,72.58,69.13,89.0,True
8,71.83333333333333,LQDT,"Liquidity Services, Inc.",13.0,1.0,96,2.62,21.68,32.5,49.91,$6.81,$30.00,24.31,22.83,20.65,106.5,True
9,71.83333333333333,INSP,"Inspire Medical Systems, Inc.",59.0,2.0,75,1.38,239.01,254.4,6.44,$115.00,$264.40,239.43,212.74,204.99,81.5,True
11,71.66666666666667,GLDD,Great Lakes Dredge & Dock Corporation,59.0,1.7,67,1.24,15.1,17.68,17.09,$9.10,$16.28,15.19,14.94,14.55,89.0,True
12,70.83333333333333,FANG,"Diamondback Energy, Inc.",31.0,1.8,95,2.35,98.86,112.32,13.62,$23.63,$102.53,79.67,77.39,74.07,86.5,True
13,70.66666666666667,ORMP,Oramed Pharmaceuticals Inc.,18.0,1.5,100,6.73,20.93,23.0,9.89,$2.40,$24.23,20.02,17.63,11.55,94.0,True
16,69.5,OLN,Olin Corporation,24.0,1.8,98,3.2,49.31,62.25,26.24,$12.10,$52.01,48.61,46.96,39.22,86.5,True
17,69.0,ASIX,AdvanSix Inc.,18.0,1.5,95,2.4,42.13,44.5,5.63,$12.35,$40.49,37.15,35.13,29.13,94.0,True
19,69.0,EVC,Entravision Communications Corporation,14.0,1.5,99,4.42,7.45,10.5,40.94,$1.28,$8.11,7.19,6.79,4.71,94.0,True
20,68.83333333333333,AJX,Great Ajax Corp.,54.0,2.0,71,1.32,13.71,16.9,23.27,$7.57,$14.27,13.77,13.15,11.51,81.5,True
22,68.33333333333333,UIS,Unisys Corporation,23.0,1.5,88,1.72,26.0,42.0,61.54,$10.35,$28.60,23.69,23.62,23.39,94.0,True
