rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_sp500
9,71.83333333333333,FANG,"Diamondback Energy, Inc.",32.0,1.8,97,2.77,104.11,112.32,7.89,$23.63,$107.55,88.01,80.6,76.49,86.5,True
43,66.66666666666667,PXD,Pioneer Natural Resources Company,29.0,1.9,87,1.6,181.8,207.44,14.1,$76.58,$184.69,162.05,153.72,149.28,84.0,True
52,65.66666666666667,CZR,"Caesars Entertainment, Inc.",26.0,1.9,87,1.61,114.34,126.91,10.99,$43.07,$119.81,110.4,100.23,93.94,84.0,True
59,65.33333333333333,SBNY,Signature Bank,10.0,1.7,97,2.65,290.62,310.67,6.9,$71.44,$294.34,268.57,257.18,228.07,89.0,True
107,62.166666666666664,PWR,"Quanta Services, Inc.",17.0,1.8,83,1.5,111.71,121.33,8.61,$57.30,$119.70,115.75,105.46,91.03,86.5,True
110,62.0,SLB,Schlumberger Limited,19.0,1.9,83,1.47,29.94,35.94,20.04,$13.70,$36.87,28.88,28.41,28.35,84.0,True
113,61.833333333333336,MPC,Marathon Petroleum Corporation,10.0,1.8,89,1.69,62.86,70.07,11.47,$26.77,$64.84,60.42,58.53,55.17,86.5,True
119,61.666666666666664,SCHW,The Charles Schwab Corporation,20.0,2.1,86,1.57,75.71,83.83,10.73,$36.90,$77.97,72.82,72.33,67.23,79.0,True
122,61.666666666666664,MRO,Marathon Oil Corporation,14.0,2.3,97,2.86,15.09,15.96,5.77,$3.73,$15.70,12.91,12.14,11.17,74.0,True
130,61.333333333333336,AMP,"Ameriprise Financial, Inc.",26.0,1.9,74,1.3,273.19,292.5,7.07,$155.33,$279.00,267.79,267.15,242.03,84.0,True
134,61.166666666666664,RJF,"Raymond James Financial, Inc.",15.0,1.8,82,1.45,94.47,159.0,68.31,$48.87,$96.10,91.38,90.99,83.22,86.5,True
138,61.0,CBRE,"CBRE Group, Inc.",19.0,2.1,85,1.55,97.09,116.43,19.92,$43.17,$101.66,97.16,96.12,82.68,79.0,True
144,60.666666666666664,EOG,"EOG Resources, Inc.",12.0,2.1,91,1.85,86.57,99.85,15.34,$31.22,$89.48,77.06,72.09,71.4,79.0,True
145,60.5,MOS,The Mosaic Company,21.0,2.2,84,1.52,38.36,40.42,5.37,$16.01,$38.94,34.78,32.99,31.56,76.5,True
151,59.833333333333336,CFG,"Citizens Financial Group, Inc.",21.0,2.0,77,1.35,48.56,51.75,6.57,$25.41,$51.14,45.23,44.14,43.98,81.5,True
163,59.166666666666664,APA,APA Corporation,15.0,2.4,91,1.81,22.1,27.5,24.43,$7.45,$24.30,20.77,19.28,19.17,71.5,True
169,58.5,MET,"MetLife, Inc.",21.0,2.0,73,1.27,63.98,71.8,12.22,$35.90,$67.68,61.7,61.11,59.17,81.5,True
176,57.666666666666664,IVZ,Invesco Ltd.,18.0,2.5,86,1.57,25.33,30.85,21.79,$11.97,$29.71,24.82,24.77,24.62,69.0,True
195,56.833333333333336,SPG,"Simon Property Group, Inc.",12.0,2.2,82,1.46,132.61,149.76,12.93,$59.35,$137.38,131.89,131.63,118.63,76.5,True
215,54.666666666666664,ETSY,"Etsy, Inc.",15.0,1.9,65,1.15,209.53,221.37,5.65,$113.49,$251.86,215.04,205.71,198.52,84.0,True
217,54.166666666666664,DISH,DISH Network Corporation,18.0,2.4,73,1.27,44.69,53.44,19.58,$24.51,$47.05,43.48,43.26,39.17,71.5,True
222,53.666666666666664,HBAN,Huntington Bancshares Incorporated,15.0,2.3,72,1.26,15.9,17.08,7.42,$9.30,$16.91,15.3,15.08,14.92,74.0,True
226,52.666666666666664,AXP,American Express Company,14.0,2.5,75,1.31,173.4,183.52,5.84,$89.11,$179.67,167.55,166.49,151.32,69.0,True
