,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_russell_3k
4,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2049.62,86.5,20.0,92,1.81,61.81,68.5,10.82,-0.06%,25.20%,47.41%,63.82%,137.64%,112.26%,51.35,43.3,25.47,63.23,66.16666666666667,True
7,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,2033.98,74.0,46.0,75,1.21,22.46,24.29,8.15,-0.53%,0.13%,9.51%,6.65%,66.74%,58.28%,21.6,20.8,13.48,23.33,65.0,True
9,ALTR,Altair Engineering Inc.,Technology,Software - Infrastructure,6073.02,76.5,20.0,75,1.22,78.18,86.29,10.37,-2.28%,7.46%,9.83%,23.41%,59.52%,34.38%,74.57,68.21,48.28,82.96,57.166666666666664,True
10,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,138473.98,81.5,13.0,90,1.62,156.27,163.37,4.54,2.16%,18.76%,21.33%,28.29%,114.63%,81.08%,137.57,131.36,73.06,158.14,61.5,True
12,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,7364.19,79.0,14.0,89,1.59,183.28,213.83,16.67,-1.00%,14.52%,11.46%,15.22%,111.71%,80.22%,163.75,158.35,84.18,191.62,60.666666666666664,True
13,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,34155.56,84.0,25.0,80,1.29,307.68,333.78,8.48,0.24%,6.14%,14.49%,21.72%,66.42%,58.33%,284.13,255.62,179.77,311.18,63.0,True
15,AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,816.85,81.5,55.0,93,1.83,74.53,91.0,22.1,10.86%,8.33%,57.77%,43.54%,164.37%,200.40%,65.12,48.14,25.08,80.93,76.5,True
17,AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,1117.61,76.5,15.0,92,1.75,30.1,32.33,7.41,0.40%,15.15%,23.61%,32.02%,136.45%,98.03%,26.3,22.04,12.43,30.6,61.166666666666664,True
18,AMTX,"Aemetis, Inc.",Energy,Oil & Gas Refining & Marketing,614.62,86.5,13.0,100,6.85,19.82,31.5,58.93,-11.68%,10.05%,124.21%,61.14%,796.83%,695.98%,17.8,14.6,1.96,27.44,66.5,True
20,ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,2704.51,76.5,18.0,93,1.84,46.16,52.0,12.65,1.58%,17.88%,29.70%,10.30%,155.59%,126.72%,39.65,37.7,18.35,48.97,62.5,True
21,APA,APA Corporation,Energy,Oil & Gas E&P,10741.92,71.5,14.0,94,2.0,29.61,32.73,10.54,-3.42%,12.29%,75.52%,36.64%,186.92%,108.67%,24.38,20.78,10.72,31.14,59.833333333333336,True
23,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,6245.68,74.0,15.0,99,3.71,19.63,26.44,34.69,-5.21%,0.20%,54.81%,56.79%,391.98%,260.18%,19.04,13.49,3.71,21.99,62.666666666666664,True
24,ARCB,ArcBest Corporation,Industrials,Trucking,2804.74,84.0,25.0,95,2.21,110.51,127.56,15.43,-1.37%,29.31%,61.64%,36.96%,197.87%,158.99%,87.0,71.63,37.05,116.79,68.0,True
26,ASIX,AdvanSix Inc.,Basic Materials,Chemicals,1378.79,94.0,19.0,95,2.18,49.74,58.0,16.61,-0.68%,12.36%,39.72%,63.19%,194.67%,148.82%,43.09,33.4,16.54,50.95,69.33333333333333,True
28,ASO,"Academy Sports and Outdoors, Inc.",Consumer Cyclical,Specialty Retail,4436.56,86.5,20.0,96,2.29,47.88,54.3,13.41,2.97%,18.34%,33.33%,36.41%,187.22%,130.97%,43.28,35.8,14.94,48.44,67.5,True
29,ATEN,"A10 Networks, Inc.",Technology,Software - Infrastructure,1228.83,89.0,15.0,90,1.63,16.08,19.67,22.33,-3.65%,16.78%,24.46%,73.09%,110.20%,63.08%,14.38,11.54,7.46,19.05,64.66666666666667,True
33,AVID,"Avid Technology, Inc.",Communication Services,Electronic Gaming & Multimedia,1546.06,71.5,38.0,95,2.16,33.72,42.5,26.04,16.28%,13.31%,25.87%,25.63%,204.74%,112.48%,28.75,27.95,11.36,40.48,68.16666666666667,True
34,AVNT,Avient Corporation,Basic Materials,Specialty Chemicals,5443.82,91.5,15.0,78,1.27,59.58,62.64,5.14,1.79%,16.44%,21.25%,14.03%,69.21%,47.91%,50.86,49.18,34.71,60.09,61.5,True
35,AX,"Axos Financial, Inc.",Financial,Banks - Regional,3576.64,91.5,19.0,82,1.34,59.84,61.38,2.57,-0.58%,10.34%,22.72%,30.54%,82.44%,59.45%,52.12,48.39,32.48,61.28,64.16666666666667,True
38,BAC,Bank of America Corporation,Financial,Banks - Diversified,389821.95,71.5,14.0,81,1.32,47.05,47.58,1.13,-0.61%,1.47%,14.50%,11.60%,74.26%,55.23%,44.36,40.54,26.63,48.69,55.5,True
39,BANC,"Banc of California, Inc.",Financial,Banks - Regional,1381.92,81.5,13.0,76,1.24,21.65,24.0,10.85,-0.05%,13.65%,21.56%,22.32%,65.77%,47.18%,19.42,18.41,12.94,21.84,56.833333333333336,True
40,BDC,Belden Inc.,Industrials,Electrical Equipment & Parts,3050.0,79.0,15.0,85,1.42,68.05,74.67,9.73,3.80%,12.31%,26.56%,31.40%,90.99%,62.41%,60.49,51.81,36.23,68.87,59.666666666666664,True
43,BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,12728.66,94.0,14.0,85,1.44,67.0,82.07,22.49,0.24%,17.40%,34.81%,46.13%,92.34%,64.18%,57.23,48.69,34.42,68.92,64.33333333333333,True
