Company,Recommendations
STLA,1.0
SSL,1.0
IDCC,1.2
LEGN,1.5
MRVI,1.5
VSTO,1.7
AVIR,1.7
OTTR,1.7
OPCH,1.7
NOVA,1.7
ZIM,1.8
FANG,1.8
VLO,1.8
HAYW,1.8
RUN,1.8
MU,1.9
PXD,1.9
WWW,1.9
DY,1.9
DOCN,1.9
RLX,2.0
SAVA,2.0
IT,2.0
TBIO,2.0
TIL,2.0
ETN,2.0
ABM,2.0
BCRX,2.0
CARR,2.0
COOP,2.1
MIME,2.1
AQUA,2.1
ON,2.1
SHLS,2.1
BJ,2.1
CSIQ,2.1
NVT,2.2
CRTO,2.2
PINS,2.2
ENPH,2.2
FTNT,2.2
ATKR,2.2
ACI,2.2
SANA,2.2
BGNE,2.3
BP,2.3
TEX,2.3
WLTW,2.3
SATS,2.3
BLD,2.3
MOS,2.3
SNOW,2.4
RL,2.4
SEDG,2.4
RMBS,2.4
FLGT,2.5
CAR,2.5
PVH,2.5
SAIA,2.5
NUE,2.5
MRNA,2.5
FSLR,2.6
REZI,2.6
UAA,2.6
CVAC,2.7
KR,2.8
JKS,2.8
KMT,2.9
BCC,3.0
CPG,3.0
MNRO,3.0
SPWR,3.1
MYGN,3.2
FMS,3.4
UA,3.5
RAZFF,6.0
YAHOF,6.0
ERAS,6.0
ERIXF,6.0
WHGRF,6.0
AMIGY,6.0
DKILY,6.0
VAL,6.0
TSGTF,6.0
TGLVY,6.0
LYEL,6.0
BKRIF,6.0
STEM,6.0
BDRAF,6.0
SOMMY,6.0
PHJMF,6.0
PWSC,6.0
SGBLY,6.0
DLICY,6.0
YAHOY,6.0
CTKB,6.0
HLPPF,6.0
CRVL,6.0
ME,6.0
SCGLY,6.0
