"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research",47143.09,49.15,0.49%,12.00%,5.70%,303.00,0.10%,-25.37%,91.30%,1.16%,1.53%,20.40%,-1.96%,2.94%,-1.95%,22.55%,43.22%,33.16%,0.99,1.99%,0.03%,-2.50%,9.01%,-12.13%,50.00%,48.32,,157.78,-1.93%,1121270,175.88
"AA","Alcoa Corporation","Basic Materials","Aluminum",9343.77,11.79,0.79%,28.00%,-3.70%,187.00,0.10%,-17.99%,78.10%,-0.83%,4.51%,12.60%,3.62%,-9.59%,21.68%,27.08%,205.55%,119.65%,2.41,4.71%,3.06%,3.59%,32.65%,-12.05%,219.23%,54.77,1.80,50.63,-2.48%,6345965,58.85
"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,2.15%,5.40%,4.36%,-0.43%,-1.44%,-2.16%,,0.69%,3.29%,4.46%,3.97%,-4.68%,11.02%,70.01,,18.53,-0.16%,271985,
"AAC","Ares Acquisition Corporation","Financial","Shell Companies",1228.72,101.44,,,,124.87,,,59.30%,0.82%,0.08%,,0.31%,1.03%,1.23%,0.72%,,-0.30%,,0.37%,0.22%,0.62%,0.58%,-1.60%,3.58%,59.81,,9.84,-0.10%,103517,
"AACG","ATA Creativity Global","Consumer Defensive","Education & Training Services",67.74,,,-36.60%,-17.20%,33.68,18.70%,0.00%,16.70%,0.08%,0.16%,-51.50%,-6.73%,-12.34%,-16.60%,-26.78%,90.59%,81.51%,1.68,6.33%,-7.40%,-11.17%,-34.17%,-89.06%,96.35%,37.13,1.00,2.16,-2.26%,11621,30.50
"AACI","ARMADA ACQUISITION CORP I","Financial","Shell Companies",,,,,,,25.41%,,,,,,,,,,,0.41%,,,0.31%,0.31%,0.31%,-0.31%,0.72%,,,9.79,0.41%,13630,
"AACIU","Armada Acquisition Corp. I","Financial","Shell Companies",,,,,,,,,41.98%,,,,0.00%,0.40%,,,,1.53%,,0.42%,0.12%,0.49%,0.49%,-0.80%,1.95%,52.91,,9.95,-0.65%,400,
"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology",488.24,,,30.90%,,20.87,0.10%,0.00%,14.60%,34.49%,1.35%,,-12.09%,-12.64%,-31.10%,-19.56%,-5.67%,61.70%,1.42,4.97%,-10.03%,-14.08%,-9.89%,-52.27%,66.09%,38.09,1.70,23.77,7.31%,201956,47.67
"AADR","AdvisorShares Dorsey Wright ADR ETF","Financial","Exchange Traded Fund",,,0.31%,,,,,,,,,,-1.04%,-0.32%,-5.52%,0.25%,17.86%,7.62%,,0.55%,-0.18%,0.08%,0.47%,-5.52%,17.06%,50.75,,65.53,0.39%,1440,
"AAIC","Arlington Asset Investment Corp.","Real Estate","REIT - Mortgage",121.21,,,7.90%,,31.93,3.10%,1.55%,45.00%,-0.29%,0.84%,,-1.29%,-2.80%,1.33%,-4.98%,33.10%,1.06%,1.76,1.62%,-1.33%,0.08%,-2.80%,-13.57%,35.94%,46.56,2.70,3.82,0.00%,80956,4.62
"AAL","American Airlines Group Inc.","Industrials","Airlines",13831.82,,,-29.60%,-15.80%,648.56,0.10%,0.00%,55.20%,2.03%,14.91%,-11.40%,-8.67%,1.70%,5.07%,-13.75%,66.01%,28.85%,1.66,2.98%,0.51%,0.46%,-3.86%,-22.12%,71.48%,48.41,3.10,20.32,0.15%,20772892,19.08
"AAMC","Altisource Asset Management Corporation","Financial","Asset Management",49.66,0.68,,-41.60%,,2.05,1.60%,0.00%,25.90%,-3.52%,1.51%,,1.25%,3.37%,73.13%,55.78%,5.13%,4.77%,1.11,4.97%,-1.37%,-1.09%,22.08%,-22.53%,97.00%,51.11,,24.70,0.63%,4631,
"AAME","Atlantic American Corporation","Financial","Insurance - Life",84.59,5.60,0.47%,24.30%,3.30%,21.79,2.90%,0.00%,6.70%,2.47%,3.69%,12.90%,-0.70%,-1.39%,17.31%,-5.32%,94.09%,107.28%,0.21,4.60%,1.02%,3.11%,2.19%,-73.26%,113.50%,51.30,,4.27,0.47%,6422,
"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services",819.11,9.16,1.55%,-37.70%,-4.00%,32.48,1.30%,-13.76%,,3.30%,2.14%,7.00%,-4.38%,-6.30%,-7.37%,-20.70%,,35.81%,,5.23%,-3.07%,-4.56%,-7.61%,-31.32%,58.95%,46.22,2.70,25.75,-1.98%,117088,34.43
"AAOI","Applied Optoelectronics, Inc.","Technology","Semiconductors",163.80,,,-43.50%,4.30%,27.10,7.60%,0.00%,51.30%,5.35%,17.73%,-26.90%,3.25%,-16.34%,-7.36%,-22.37%,-20.42%,-29.02%,1.71,4.88%,-15.50%,-15.80%,-25.37%,-56.70%,8.83%,36.58,2.70,6.04,-0.66%,653454,15.64
