rank,my_score,ticker,company,sentiment_score,analyst_score,relative_strength,returns_multiple,current_price,1yr_target,est_g/l,52_week_low,52_week_high,20_day_ma,50_day_ma,200_day_ma,adj_analyst_recom,in_russell_3k
1,80.16666666666667,OPCH,"Option Care Health, Inc.",57.0,1.6,92,1.94,24.82,27.81,12.05,$10.75,$27.97,23.98,22.33,19.22,91.5,True
2,75.5,NOTV,"Inotiv, Inc.",21.0,1.0,99,4.75,30.56,38.0,24.35,$4.61,$32.37,28.32,28.0,20.9,106.5,True
3,75.33333333333333,BPOP,"Popular, Inc.",53.0,1.7,84,1.55,78.59,86.25,9.75,$34.30,$83.72,75.91,74.45,68.49,89.0,True
4,73.66666666666667,GDEN,"Golden Entertainment, Inc.",36.0,1.7,96,2.69,49.26,61.5,24.85,$12.25,$54.86,48.11,46.35,32.34,89.0,True
5,73.16666666666667,ONTO,Onto Innovation Inc.,40.0,1.8,93,2.11,73.06,90.2,23.46,$28.25,$79.99,73.56,71.24,63.93,86.5,True
6,73.16666666666667,DAR,Darling Ingredients Inc.,42.0,1.6,86,1.6,73.71,96.21,30.53,$31.45,$79.65,74.88,70.38,67.16,91.5,True
7,73.0,GLDD,Great Lakes Dredge & Dock Corporation,58.0,1.7,72,1.3,15.1,17.68,17.09,$8.77,$16.28,14.9,14.7,14.24,89.0,True
9,71.5,LQDT,"Liquidity Services, Inc.",13.0,1.0,95,2.36,21.68,32.5,49.91,$6.63,$30.00,23.99,22.53,20.07,106.5,True
11,70.33333333333333,ORMP,Oramed Pharmaceuticals Inc.,18.0,1.5,99,4.95,20.93,23.0,9.89,$2.40,$23.57,17.96,16.18,10.8,94.0,True
12,69.83333333333333,RWT,"Redwood Trust, Inc.",47.0,1.6,71,1.28,13.16,14.04,6.69,$7.11,$12.71,12.35,12.08,10.38,91.5,True
13,69.16666666666667,OLN,Olin Corporation,23.0,1.8,98,3.26,49.31,62.25,26.24,$11.36,$52.01,47.75,46.11,38.04,86.5,True
15,69.0,ASIX,AdvanSix Inc.,18.0,1.5,95,2.31,42.13,44.5,5.63,$11.62,$38.15,36.01,32.74,27.66,94.0,True
