no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,day_ma_20,day_ma_50,day_ma_200,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp1500
18,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,14264.96,22.96,17.34,1.37,1.3,4.46,23.59,21.67,1.76%,25.10%,9.88,4.40%,10.26%,2.20%,16.70%,0.70%,25.90%,3.10%,62.85,62.08,0.20%,-4.77%,,,5.60%,5.72,5.50%,19.10%,11.80%,1.2,0.3,0.32,0.0,45.10%,8.00%,5.90%,0.06%,-1.78%,13.75%,17.54%,51.10%,44.03%,1.26,6.18,3.44%,2.44%,-1.94%,1.19%,11.49%,-6.66%,10.52%,-6.66%,58.48%,48.72,-0.76%,-0.07%,2.2,607.79,0.89,226.86,-0.83%,539983.0,11/15/2021 4:30:00 PM,254.38,11/29/2001,226.86,0.00%,63.0,81,1.2,226.86,231.19,224.46,203.78,143.15,243.05,18.0,12.13,54.0,True
24,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2506.48,5.09,6.72,0.51,0.66,0.96,,3.4,,0.00%,17.07,218.90%,-26.13%,115.40%,10.00%,12.00%,40.70%,25.50%,29.02,27.16,0.60%,-17.20%,,,13.42%,6.71,8.20%,20.50%,7.80%,0.8,0.8,0.64,0.9,57.00%,16.90%,13.20%,-5.82%,-1.55%,18.17%,16.87%,55.25%,59.41%,1.12,3.0,3.51%,3.22%,-1.68%,3.16%,20.44%,-8.48%,17.23%,-8.48%,73.12%,49.68,0.12%,0.56%,2.0,543.43,0.84,86.94,0.67%,457029.0,11/3/2021 8:30:00 AM,105.57,7/21/2004,86.08,-0.99%,69.0,86,1.28,86.94,88.3,84.47,72.31,50.22,95.0,26.0,21.43,60.333333333333336,True
79,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,2131.42,27.39,17.78,1.37,3.68,4.06,7.86,21.64,,0.00%,2.26,190.80%,30.19%,24.70%,20.00%,9.50%,155.80%,60.10%,33.54,32.68,2.50%,-5.94%,89.40%,0.81%,2.20%,2.2,11.80%,15.70%,9.80%,4.2,2.7,0.09,0.09,43.20%,16.40%,13.40%,-1.38%,4.95%,23.77%,49.12%,119.17%,112.77%,1.49,3.01,5.61%,4.61%,-0.62%,13.07%,38.32%,-7.78%,37.26%,-7.78%,123.20%,56.43,-4.13%,1.00%,1.8,326.41,1.04,61.96,-3.17%,339098.0,11/3/2021 4:30:00 PM,68.5,7/11/2000,61.96,0.00%,75.0,95,1.71,61.96,62.55,55.04,44.91,27.76,67.19,21.0,10.56,63.666666666666664,True
80,ACM,AECOM,Industrials,Engineering & Construction,USA,9969.78,35.38,18.04,1.93,0.75,3.69,8.11,17.54,,0.00%,1.97,83.70%,15.42%,26.20%,18.29%,-5.20%,,-6.00%,143.81,140.52,0.20%,-17.23%,88.60%,-0.84%,1.46%,2.3,1.40%,6.20%,11.00%,1.1,1.1,0.8,0.82,6.00%,4.70%,1.30%,-3.40%,2.29%,4.28%,8.37%,38.51%,39.96%,1.48,2.04,3.81%,2.59%,-2.63%,2.44%,7.57%,-8.26%,12.55%,-8.26%,49.47%,47.74,-0.64%,0.01%,1.6,893.98,0.83,69.67,-0.63%,745841.0,11/15/2021 8:30:00 AM,84.44,5/10/2007,69.75,0.11%,81.0,76,1.11,69.67,71.62,68.08,64.83,46.61,75.94,18.0,21.2,58.333333333333336,True
255,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,34515.82,35.73,28.01,2.65,4.35,4.07,12.62,34.39,1.16%,39.30%,4.63,19.40%,7.91%,15.30%,13.50%,5.40%,18.30%,15.60%,207.0,205.46,0.30%,-5.85%,85.10%,-0.37%,0.86%,1.81,3.70%,12.70%,9.80%,1.3,1.3,0.6,0.65,36.50%,15.20%,11.80%,1.43%,2.59%,13.74%,15.28%,42.94%,33.76%,0.69,3.58,2.59%,1.92%,1.15%,3.22%,15.07%,-1.79%,11.37%,-1.79%,46.55%,55.66,-0.97%,0.35%,2.3,974.03,0.74,165.48,-0.62%,716492.0,10/28/2021 4:30:00 PM,178.58,6/20/1984,163.25,-1.35%,59.0,79,1.16,165.48,163.84,160.58,144.04,112.92,168.5,14.0,7.92,50.666666666666664,True
273,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,30576.24,133.05,42.87,4.46,9.23,5.17,51.39,,0.62%,80.70%,1.89,-29.90%,46.14%,5.40%,29.83%,2.10%,-465.10%,11.20%,116.97,116.5,0.10%,-38.85%,83.00%,-2.37%,1.80%,1.74,2.00%,3.90%,5.60%,1.3,0.8,0.36,0.36,31.00%,27.80%,6.40%,-5.76%,-4.00%,3.97%,47.25%,90.91%,70.47%,1.59,11.34,5.37%,3.89%,-7.72%,1.66%,28.09%,-13.73%,19.47%,-13.73%,92.31%,41.94,-4.11%,0.33%,2.4,1204.15,1.3,251.47,-3.80%,1570612.0,11/3/2021 4:30:00 PM,262.9,2/22/1994,251.47,0.00%,56.0,91,1.46,251.47,271.43,247.82,196.8,133.82,291.48,21.0,4.55,56.0,True
348,AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,USA,5317.63,24.02,17.99,1.24,1.63,5.05,38.81,24.38,,0.00%,4.59,-38.10%,-13.35%,-2.40%,19.35%,10.30%,181.60%,59.10%,47.74,46.88,0.30%,-17.62%,96.60%,-0.08%,1.86%,1.76,8.50%,23.70%,7.60%,1.4,1.4,0.81,0.81,33.30%,10.40%,6.80%,-5.25%,3.68%,-5.45%,17.14%,65.92%,61.71%,0.26,5.15,3.77%,5.41%,-1.27%,1.01%,14.93%,-11.43%,18.25%,-11.43%,73.78%,48.81,-2.61%,0.75%,1.7,494.83,0.76,110.37,-1.88%,377427.0,11/4/2021 4:30:00 PM,133.33,11/13/2001,110.37,0.00%,78.0,89,1.38,110.37,111.69,109.17,96.19,63.51,124.62,20.0,20.8,62.333333333333336,True
384,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,USA,37882.27,49.23,35.19,2.69,13.67,9.64,11.19,41.43,,0.00%,2.46,-24.90%,24.11%,36.70%,18.27%,22.60%,32.20%,23.70%,307.46,225.41,0.10%,-88.81%,65.90%,0.96%,1.70%,1.83,15.50%,21.90%,17.90%,5.1,4.4,0.0,0.0,63.90%,30.80%,28.30%,-3.02%,-5.64%,33.51%,37.53%,79.76%,66.84%,1.17,4.62,3.27%,3.11%,-6.07%,10.84%,33.60%,-9.64%,42.29%,-9.64%,84.98%,49.5,-2.45%,0.79%,2.3,2096.67,0.88,121.2,-1.69%,1836717.0,11/1/2021 4:30:00 PM,127.24,6/6/2014,120.8,-0.33%,59.0,91,1.43,121.2,128.54,109.98,90.94,65.52,134.14,16.0,4.98,55.333333333333336,True
459,ARCB,ArcBest Corporation,Industrials,Trucking,USA,2653.67,16.2,11.65,0.7,0.73,2.77,5.66,12.16,0.31%,4.80%,6.41,78.10%,14.49%,10.00%,23.30%,2.00%,115.20%,27.90%,25.63,25.15,0.70%,-4.67%,92.60%,-0.45%,6.44%,4.16,9.40%,19.40%,6.90%,1.5,1.5,0.18,0.25,77.00%,6.20%,4.80%,-1.85%,-6.08%,49.03%,64.67%,137.99%,143.12%,1.53,5.47,4.91%,4.60%,-4.91%,8.22%,38.41%,-11.17%,39.25%,-11.17%,151.67%,50.38,-0.10%,0.06%,1.9,389.38,0.64,103.74,-0.04%,249250.0,11/2/2021 8:30:00 AM,127.56,5/13/1992,103.74,0.00%,72.0,96,1.88,103.74,108.59,96.41,75.19,41.22,116.79,25.0,22.96,64.33333333333333,True
521,ASGN,ASGN Incorporated,Industrials,Staffing & Employment Services,USA,6417.81,29.51,20.96,2.95,1.62,3.5,9.45,19.27,,0.00%,4.13,14.80%,10.16%,22.80%,10.00%,13.90%,40.90%,18.70%,52.7,50.52,0.80%,-30.92%,99.40%,0.16%,1.00%,2.2,11.10%,22.40%,9.20%,2.4,2.4,0.56,0.56,27.90%,8.50%,9.60%,0.02%,-0.41%,7.73%,24.34%,54.41%,45.79%,2.05,3.56,3.48%,2.46%,-3.13%,0.50%,14.26%,-7.04%,7.67%,-7.04%,56.77%,47.27,-1.58%,0.45%,2.1,230.55,1.07,121.78,-1.14%,247237.0,10/27/2021 4:30:00 PM,124.8,9/22/1992,121.78,0.00%,66.0,81,1.2,121.78,125.56,121.28,106.72,79.51,131.0,18.0,2.48,55.0,True
