,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),20_day_ma,50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_sp1500
0,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,14576.17,76.5,18.0,77,1.21,231.92,240.65,3.76,-2.74%,2.32%,10.61%,18.97%,56.60%,47.24%,231.64,,200.37,142.59,243.05,57.166666666666664,True
1,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,2596.5,81.5,27.0,79,1.25,89.72,105.57,17.67,5.08%,14.61%,17.65%,21.05%,60.21%,64.50%,84.9,,70.61,50.22,91.77,62.5,True
5,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2087.42,86.5,19.0,93,1.83,62.95,68.5,8.82,2.98%,25.98%,48.05%,59.04%,142.58%,116.17%,57.96,,43.7,25.47,65.16,66.16666666666667,True
7,AFG,"American Financial Group, Inc.",Financial,Insurance - Property & Casualty,12606.2,74.0,20.0,78,1.23,143.35,157.33,9.75,4.60%,11.43%,14.42%,34.88%,103.06%,101.49%,140.49,,126.47,79.21,146.63,57.333333333333336,True
8,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,3706.48,89.0,37.0,81,1.29,53.3,61.0,14.45,-0.34%,-2.79%,7.48%,13.89%,68.83%,69.26%,54.82,,47.38,29.73,56.95,69.0,True
10,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,2031.26,74.0,46.0,76,1.2,22.43,24.29,8.29,-1.75%,-1.49%,8.88%,7.01%,61.25%,58.07%,22.36,,20.91,13.48,23.33,65.33333333333333,True
15,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,7083.73,79.0,14.0,90,1.57,176.3,213.83,21.29,-3.56%,7.39%,9.36%,11.77%,103.49%,73.35%,178.28,,159.33,84.18,191.62,61.0,True
16,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,33654.9,84.0,26.0,80,1.26,303.17,333.78,10.1,-0.96%,2.17%,15.89%,19.23%,65.37%,56.01%,304.24,,257.11,179.77,312.15,63.333333333333336,True
22,ANF,Abercrombie & Fitch Co.,Consumer Cyclical,Apparel Retail,2803.53,76.5,17.0,93,1.78,47.85,52.0,8.67,5.63%,26.52%,25.85%,28.77%,140.09%,135.02%,43.53,,38.03,18.69,48.97,62.166666666666664,True
23,APA,APA Corporation,Energy,Oil & Gas E&P,10005.47,71.5,14.0,94,1.85,27.58,32.73,18.67,-6.22%,0.47%,71.62%,32.02%,149.82%,94.36%,28.4,,20.96,10.89,31.14,59.833333333333336,True
24,ARCB,ArcBest Corporation,Industrials,Trucking,2759.82,84.0,24.0,95,2.15,108.74,127.56,17.31,-1.58%,27.42%,68.64%,38.96%,183.69%,154.84%,103.66,,72.59,37.06,116.79,67.66666666666667,True
27,ASIX,AdvanSix Inc.,Basic Materials,Chemicals,1355.51,94.0,19.0,96,2.18,48.9,58.0,18.61,-1.35%,9.40%,43.61%,60.70%,187.14%,144.62%,48.18,,33.79,16.54,50.95,69.66666666666667,True
35,AVNT,Avient Corporation,Basic Materials,Specialty Chemicals,5559.86,91.5,15.0,82,1.3,60.85,62.64,2.94,2.98%,16.33%,25.36%,17.88%,71.75%,51.07%,57.23,,49.48,34.71,61.46,62.833333333333336,True
36,AX,"Axos Financial, Inc.",Financial,Banks - Regional,3591.58,91.5,20.0,85,1.37,60.09,61.38,2.15,0.99%,12.19%,23.41%,31.40%,76.74%,60.11%,57.0,,48.65,32.48,61.28,65.5,True
39,BAC,Bank of America Corporation,Financial,Banks - Diversified,383773.7,71.5,14.0,82,1.31,46.32,47.58,2.72,-2.46%,-1.64%,14.74%,9.25%,71.68%,52.82%,47.34,,40.77,26.63,48.69,55.833333333333336,True
40,BANC,"Banc of California, Inc.",Financial,Banks - Regional,1371.07,81.5,13.0,77,1.21,21.48,24.0,11.73,-1.33%,12.52%,21.08%,20.54%,59.94%,46.02%,21.14,,18.47,12.94,21.89,57.166666666666664,True
42,BDC,Belden Inc.,Industrials,Electrical Equipment & Parts,3043.73,79.0,15.0,86,1.4,67.91,74.67,9.95,0.77%,12.30%,24.74%,31.58%,83.79%,62.08%,64.19,,52.08,36.23,68.87,60.0,True
46,BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,13524.68,94.0,14.0,88,1.48,71.19,82.07,15.28,5.53%,22.13%,44.96%,61.94%,97.48%,74.44%,63.72,,49.13,34.42,72.08,65.33333333333333,True
47,BLFS,"BioLife Solutions, Inc.",Healthcare,Medical Instruments & Supplies,2214.16,79.0,26.0,76,1.19,52.0,63.43,21.98,6.56%,22.50%,14.59%,59.85%,57.62%,30.36%,51.24,,42.06,28.15,60.67,60.333333333333336,True
51,BSIG,BrightSphere Investment Group Inc.,Financial,Asset Management,2420.35,76.5,18.0,80,1.27,30.46,31.75,4.24,-0.56%,13.83%,15.82%,35.14%,66.81%,57.99%,29.58,,24.05,17.45,30.88,58.166666666666664,True
61,CASH,"Meta Financial Group, Inc.",Financial,Banks - Regional,1981.03,89.0,17.0,86,1.39,63.05,68.5,8.64,-0.79%,2.59%,28.62%,24.56%,85.06%,72.46%,61.51,,50.63,32.76,65.96,64.0,True
76,CNXC,Concentrix Corporation,Technology,Information Technology Services,9708.75,106.5,13.0,93,1.77,186.42,208.67,11.94,2.83%,1.17%,13.36%,24.31%,,88.88%,182.0,,157.29,80.0,191.35,70.83333333333333,True
