date,DVN,portfolio
2022-01-18,2500.0,2500.0
2022-01-19,2429.0111056471155,2429.0111056471155
2022-01-20,2414.1183716605874,2414.1183716605874
2022-01-21,2289.5154077105362,2289.5154077105362
2022-01-24,2399.225637674059,2399.225637674059
2022-01-25,2544.678201959585,2544.678201959585
2022-01-26,2570.988894352885,2570.988894352885
2022-01-27,2568.5068035836944,2568.5068035836944
2022-01-28,2559.07459354083,2559.07459354083
2022-01-31,2510.4248948534314,2510.4248948534314
2022-02-01,2609.2136981868525,2609.2136981868525
2022-02-02,2642.970662887723,2642.970662887723
2022-02-03,2631.5527044809514,2631.5527044809514
2022-02-04,2624.602774578664,2624.602774578664
2022-02-07,2610.702914774089,2610.702914774089
2022-02-08,2541.203237008441,2541.203237008441
2022-02-09,2587.3708449266496,2587.3708449266496
2022-02-10,2592.3352158364173,2592.3352158364173
2022-02-11,2686.159648260071,2686.159648260071
2022-02-14,2594.3207748289374,2594.3207748289374
2022-02-15,2552.6210060438257,2552.6210060438257
2022-02-16,2673.2524732660627,2673.2524732660627
2022-02-17,2742.7521510317106,2742.7521510317106
2022-02-18,2719.420081184271,2719.420081184271
2022-02-22,2614.6742221305162,2614.6742221305162
2022-02-23,2658.3597392795346,2658.3597392795346
2022-02-24,2618.64571885833,2618.64571885833
2022-02-25,2740.2700602625205,2740.2700602625205
2022-02-28,2956.215176495648,2956.215176495648
2022-03-01,2941.3224425091194,2941.3224425091194
2022-03-02,2911.536974536063,2911.536974536063
2022-03-03,2921.465337612824,2921.465337612824
2022-03-04,2957.2080506776015,2957.2080506776015
2022-03-07,2973.093658846083,2973.093658846083
2022-03-08,2952.7402115445043,2952.7402115445043
2022-03-09,2925.933176745921,2925.933176745921
2022-03-10,3006.8506235469536,3006.8506235469536
2022-03-11,2911.0404427593926,2911.0404427593926
